Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-04,10A100020,122180406,113761011,現金及び預金,73659897,82079292,流動資産
2021-04,10A100060,39689677,24690618,受取手形,77631436,92630495,流動資産
2021-04,10A100090,60337616,98338289,売掛金,8130812723,8092812050,流動資産
2021-04,10A100610,0,40000,短期貸付金,480000,440000,流動資産
2021-04,10A230570,125000,0,保険積立金,1528000,1653000,投資その他の資産
2021-04,10B100030,24104558,26027566,支払手形,52251735,54174743,流動負債
2021-04,10B100040,52131298,35491682,買掛金,264051101,247411485,流動負債
2021-04,10B100630,7584692,7369946,未払金,57584692,57369946,流動負債
2021-04,10B100690,1426819,2013716,預り金,2309575,2896472,流動負債
2021-04,10B100790,653500,0,短期借入金,7842000,7188500,流動負債
2021-04,10D100101,0,15951282,電子取引総売上高,0,15951282,売上高
2021-04,10D100102,0,44386334,電子取引以外総売上高,0,44386334,売上高
2021-04,10D100111,24480,0,電子取引売上値引及び戻り高,0,24480,売上高
2021-04,10D100112,143456,0,電子取引以外売上値引及び戻り高,0,143456,売上高
2021-04,10E100121,0,51555,電子取引仕入値引及び戻し高,0,51555,売上原価
2021-04,10E100122,0,150824,電子取引以外仕入値引及び戻し高,0,150824,売上原価
2021-04,10E100131,12286234,0,電子取引当期商品仕入高,0,12286234,売上原価
2021-04,10E100132,23205448,0,電子取引以外当期商品仕入高,0,23205448,売上原価
2021-04,10E200020,2266000,0,販売手数料,0,2266000,販売費及び一般管理費
2021-04,10E200050,191500,0,広告宣伝費,0,191500,販売費及び一般管理費
2021-04,10E200090,1720000,0,役員報酬,0,1720000,販売費及び一般管理費
2021-04,10E200140,302784,0,福利厚生費,0,302784,販売費及び一般管理費
2021-04,10E200150,387529,0,交際費,0,387529,販売費及び一般管理費
2021-04,10E200180,1314451,0,通信費,0,1314451,販売費及び一般管理費
2021-04,10E200200,704154,352077,消耗品費,0,352077,販売費及び一般管理費
2021-04,10E200210,56000,0,租税公課,0,56000,販売費及び一般管理費
2021-04,10E200240,318820,0,保険料,0,318820,販売費及び一般管理費
2021-04,10E200370,5702352,0,給料及び手当,0,5702352,販売費及び一般管理費
2021-04,10E200520,396465,0,雑給,0,396465,販売費及び一般管理費
2021-04,10E200540,743926,0,法定福利費,0,743926,販売費及び一般管理費
2021-04,10E200600,139710,0,支払報酬,0,139710,販売費及び一般管理費
2021-04,10E200690,10552,0,支払手数料,0,10552,販売費及び一般管理費
2021-04,10E200720,3449000,0,地代家賃,0,3449000,販売費及び一般管理費
2021-04,10E200730,293850,0,借地借家料,0,293850,販売費及び一般管理費
2021-04,10E200870,3580147,0,運賃,0,3580147,販売費及び一般管理費
2021-04,10E201000,35850,0,修繕維持費,0,35850,販売費及び一般管理費
2021-04,10E201040,615042,0,水道光熱費,0,615042,販売費及び一般管理費
2021-04,10E201110,142108,0,事務用消耗品費,0,142108,販売費及び一般管理費
