Klassifikaatori elementide täielik loetelu,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/VARAGRUPP2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,VARAGRUPP2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Tehingu varagrupp,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
VG_101,,1,1,Maa,Land,,Kasutus: Kinnisvarainvesteeringud ja materiaalne põhivara,Usage: Real estate investments and tangible fixed assets,,,,,,,,,,,,,,,2024-01-01,
VG_102,,1,1,Hooned ja rajatised (uued),Buildings (new),,Kasutus: Kinnisvarainvesteeringud ja materiaalne põhivara,Usage: Real estate investments and tangible fixed assets,,,,,,,,,,,,,,,2024-01-01,
VG_103,,1,1,Hooned ja rajatised (kasutatud/ renoveerimine),Buildings (used),,Kasutus: Kinnisvarainvesteeringud ja materiaalne põhivara (EKOMAR aruandes),Usage: Real estate investments and tangible fixed assets (in the EKOMAR report),,,,,,,,,,,,,,,2024-01-01,
VG_104,,1,1,Transpordivahendid,Transportation,,Kasutus: Materiaalne põhivara,Usage: Tangible fixed assets,,,,,,,,,,,,,,,2024-01-01,
VG_105,,1,1,Arvutid ja arvutisüsteemid,Computers and computer systems,,Kasutus: Materiaalne põhivara,Usage: Tangible fixed assets,,,,,,,,,,,,,,,2024-01-01,
VG_106,,1,1,Meditsiiniseadmed,Medical equipment,,Kasutus: Materiaalne põhivara (tervishoiualase majandustegevuse korral),Usage: Tangible fixed assets (in the case of healthcare economic activities),,,,,,,,,,,,,,,2024-01-01,
VG_107,,1,1,Masinad ja seadmed ning inventar,Machinery and equipment,,Kasutus: Materiaalne põhivara,Usage: Tangible fixed assets,,,,,,,,,,,,,,,2024-01-01,
VG_108,,1,1,Firmaväärtus,Goodwill,,Kasutus: Immateriaalne Põhivara,Usage: Intangible assets,,,,,,,,,,,,,,,2024-01-01,
VG_109,,1,1,Arenguväljaminekud,Development expenditures,,Kasutus: Immateriaalne Põhivara,Usage: Intangible assets,,,,,,,,,,,,,,,2024-01-01,
VG_110,,1,1,Arvutitarkvara,Computer software,,Kasutus: Immateriaalne Põhivara,Usage: Intangible assets,,,,,,,,,,,,,,,2024-01-01,
VG_111,,1,1,"Kontsessioonid, patendid, litsentsid, kaubamärgid","Concessions, patents, licences, trademarks",,Kasutus: Immateriaalne Põhivara,Usage: Intangible assets,,,,,,,,,,,,,,,2024-01-01,
VG_112,,1,1,Loomsed varad,Animals,,Kasutus: Bioloogiline vara,Usage: Biological assets,,,,,,,,,,,,,,,2024-01-01,
VG_113,,1,1,Istandikud,Plantations,,Kasutus: Bioloogiline vara,Usage: Biological assets,,,,,,,,,,,,,,,2024-01-01,
VG_114,,1,1,Mets,Forest,,Kasutus: Bioloogiline vara,Usage: Biological assets,,,,,,,,,,,,,,,2024-01-01,
VG_115,,1,1,Vili,Crop,,Kasutus: Bioloogiline vara,Usage: Biological assets,,,,,,,,,,,,,,,2024-01-01,
VG_116,,1,1,Rohumaad,Grasslands,,Kasutus: Bioloogiline vara,Usage: Biological assets,,,,,,,,,,,,,,,2024-01-01,
VG_201,,1,1,Osalused,Shares,,Kasutus: Finantsinvesteeringud (va tütar ja sidusettevõtete osalused),Usage:  Financial Investments (Other shares other than subsidiaries and associates),,,,,,,,,,,,,,,2024-01-01,
VG_202,,1,1,Fondiosakud,Fund Units,,Kasutus: Finantsinvesteeringud,Usage:  Financial Investments,,,,,,,,,,,,,,,2024-01-01,
VG_203,,1,1,Võlakirjad,Bonds,,Kasutus: Finantsinvesteeringud,Usage:  Financial Investments,,,,,,,,,,,,,,,2024-01-01,
VG_999,,1,1,Muud,Others,,Kasutus: Kõik põhivara liigid,Usage: All types of fixed assets,,,,,,,,,,,,,,,2024-01-01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
