"Andmeesitaja poolt esitatavad üldised andmeväljad, mis esinevad igal andmeedastusel (üksikute väljade puhul vastavalt vajadusele)",,,,,,,,,,
Välja nimetus,Aegpideva klassifikaatori kood,Viide aegpideva klassifikaatori asukohale,XBRL GL element/elemendi grupp,Selgitus,,,,,,
Raamatupidamiskirjendid (gl-cor: accountingEntries) - XBRL GL juurelement:,,,,,,,,,,
Aruande üldine info (gl-cor: documentInfo):,,,,,,,,,,
Kirjete tehingutüüp,,,gl-cor:entriesType,"XBRL GL standardist tulenev kirjete tehingutüüp.
Nt palgataksonoomia puhul kasutatakse tehingutüübiks ""other"".",,,,,,
Aruande unikaalne tunnus,,,gl-cor:uniqueID,"Struktuur, mida tuleb andmete esitamisel kasutada: asutuse äriregistrikood (kelle andmeid esitatakse) + aruande kuupäev + kellaaeg. Nt: 10002456-2016-01-08T15:16:44.554",,,,,,
Aruandele kehtestatud keel,,,gl-cor:language,Aruande esitamine toimub riigikeeles. Väärtus tuleneb ISO 639-1988 standardist ja on antud struktuuriga: iso639:et,,,,,,
Aruande koostamise kuupäev,,,gl-cor:creationDate,"Aruande koostamise kuupäev. 
Kuupäeva struktuur: YYYY-MM-DD ",,,,,,
Aruande looja,,,gl-bus:creator,"Aruande looja (üksus, isik, isikukood vm). Antud väljal võiks esitada kontakti, kelle poole saab asutus vajadusel pöörduda.",,,,,,
Aruande üldine kommentaar,,,gl-cor:entriesComment ,"Saadetava aruande osas üldine kommentaar/selgitus, mis annab aimu, mis eesmärgil dokument on koostatud. Nt ""Andmepõhise aruandluse palgaandmed Statistikaametile"". ",,,,,,
Aruandeperioodi algus,,,gl-cor:periodCoveredStart,"Kuiste andmete arvestuskuu alguskuupäev, millest alates on väljamakse tehtud (nt TSD andmed).
Sündmuspõhiste andmesektsioonide (nt TÖRi andmed) puhul kõige esimese sündmuse kuupäev.
Kuupäeva struktuur: YYYY-MM-DD ",,,,,,
Aruandeperioodi lõpp,,,gl-cor:periodCoveredEnd,"Kuiste andmete arvestuskuu lõpp - kuupäev, milleni on väljamakse tehtud (nt TSD andmed).
Sündmuspõhiste andmesektsioonide (nt TÖRi andmed) puhul sündmuse viimane kuupäev.
Kuupäeva struktuur: YYYY-MM-DD ",,,,,,
Aruande koostamise majandustarkvara või infosüsteem,,,gl-bus:sourceApplication,"Majandustarkvara või infosüsteemi nimetus, mida kasutatakse aruande edastamiseks.",,,,,,
Aruandes kasutatav valuuta,,,gl-muc:defaultCurrency,Aruande valuutaks on euro ning see esitatakse antud struktuuriga: iso4217:eur,,,,,,
Asutuse info (gl-cor:entityInformation):,,,,,,,,,,
Asutuse telefoninumber,,,gl-bus:phoneNumber,"Asutuse telefoninumber, mille kaudu saab asutusega kontakteeruda.
Majutuse puhul on vajalik esitada antud välja kaudu asukohapõhise majutusüksuse (toimla) kontakt.",,,,,,
Asutuse e-mailiaadress,,,gl-bus:entityEmailAddres,"Asutuse e-mailiaadress, mille kaudu saab asutusega kontakteeruda.
Majutuse puhul on vajalik esitada antud välja kaudu asukohapõhise majutusüksuse (toimla) kontakt.",,,,,,
Asutust tuvastav tunnus,,,gl-bus:organizationIdentifier,"Andmeid esitava juriidilise isiku tunnus. Esitatakse alati seotult koos ""asutust tuvastava tunnuse kirjeldus"" (gl-bus:organizationDescription) väljaga, kus tuuakse välja, mis koodiga on antud väljal tegu.
",,,,,,
Asutust tuvastava tunnuse kirjeldus,ORGANIZATONDESCRIPTION_enum,https://estat.stat.ee/codelists/codelist/ORGANIZATONDESCRIPTION_enum,gl-bus:organizationDescription,"""Asutust tuvastava tunnuse"" (gl-bus:organizationIdentifier) välja kirjeldus, mis viitab, mis tunnusega on tegu. 
Vaata võimalikke väärtusi ning sektsioonide seoseid lehel: ORGANIZATIONDESCRIPTION_enum",,,,,,
Asutuse tegevuskoht,,,gl-bus:organizationAddressLocationIdentifier,"Asutuse tegevuse asukoht Maa-Ameti klassifikaatori ee-ads koodi järgi.
Vajalik majutuse failides, kus on vajalik esitada andmeid asukohapõhiste üksuste (toimlate) lõikes.",,,,,,
Esitatava andmesektsiooni info (gl-cor:entryHeader):,,,,,,,,,,
Üldine päise info:,,,,,,,,,,
Andmepõhise aruandluse sektsioonid,APA_SEKTSIOONID_enum,https://estat.stat.ee/codelists/codelist/APA_SEKTSIOONID_enum,gl-cor:entryNumber,"Antud klassifikaator hõlmab endast unikaalseid andmesektsiooni koode, mis tähistavad asutustele edastatavaid andmekomplekte. Andmepõhise aruandluse kaudu edastatakse algandmeid nn raamatupidamismoodulite (nt palk, ost, müük) kaupa ja iga bloki sees võib olla üks või mitu andmesektsiooni.  Vt täpsemalt APA_SEKTSIOONID_enum lehel.
Unikaalse tunnuse struktuur: EEXXYYZZZ
EE - riigi kood
XX - asutuse nr, kes andmed saab (SA = 01, MTA = 02, RIK = 03, KLIM = 04, PPA = 05)
YY - asutusepõhine valdkondliku liigituse number (nt Tööjõukulu = 01, TÖR = 02)
ZZZ - asutusepõhine sektsiooni (ehk esitatava andmekoosseisu) number (nt tööjõumaksud = 001, TÖRi andmed = 001)
Näide: EE0202001 (TÖR andmed Maksu- ja Tolliametile)",,,,,,
Sektsiooni infot täpsustav kommentaar,ENTRYCOMMENT_enum,https://estat.stat.ee/codelists/codelist/ENTRYCOMMENT_enum,gl-cor:entryComment,"Hetkeseisuga vajalik kasutada vaid juhul, kui TSD sektsioonide osas on vaja esitada kinnitatud andmete muutmise põhjuseid. Võimalikud muutmise põhjused on sektsiooniti erinevad ning need on välja toodud ENTRYCOMMENT_enum lehel.",,,,,,
Kirjendi detail (gl-cor:entryDetail). Iga eraldi esitatav rahasumma nõuab eraldi kirjendi detaili:,,,,,,,,,,
Kirje unikaalne tunnus,,,gl-cor:lineNumber,"Kirje unikaalne tunnus, mis on perioodiliste andmeedastuste korral valikuline väli ning sündmuspõhiste sektsioonide puhul kohustuslik väli. Sh võib perioodiliste sektsioonide puhul väli olla sama üle mitme kirje, kui sündmuspõhiste sektsioonide puhul peab see olema unikaalne (nt TÖR sektsioonis EE0202001 tähistab see sisulise infona TÖR unikaalset ID-d). 
",,,,,,
Kirje sektsioonisisene järjekorranumber,,,gl-cor:lineNumberCounter,Kirjete järjekorranumber ühe andmesektsiooni (entryNumber) sees.,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Kirjendi detaili alamkonto sektsioon (gl-cor:accountSub). Antud elemendi all esitatakse klassifikaatori osas käivat informatsiooni.
Osad klassifikaatorid/andmeväljad on omavahel lahutamatult seotud ja need tuleb sel juhul esitada XML failis accountSub sektsioonis nn liitklassifikaatorina, eristatult komadega (näited on lisatud XML näidisesse).",,,,,,,,,,
Klassifikaatori elemendi kood,,,gl-cor:accountSubID,"Antud väljal esitatakse klassifikaatori elemendi kood (nt A11001)
Liitklassifikaatori puhul eristatakse koodid komadega (nt LV,TSD001)",,,,,,
Klassifikaatori tähis,,,gl-cor:accountSubType,"Antud väljal esitatakse klassifikaatori tähis (nt TKL2017ap).
Liitklassifikaatori puhul eristatakse tähised komadega (nt RTK2T2013ap,RIIGIROLL2022ap)",,,,,,
"Kirjendi measurable plokk, milles kajastatakse koguseliseid klassifikaatoreid (gl-bus:measurable).",,,,,,,,,,
Koguselise klassifikaatori elemendi kood,,,gl-bus:measurableID,"Antud väljal esitatakse selle klassifikaatorite elemendi kood, mille osas esitatakse mõõdetavat kogust (nt TOR01)",,,,,,
Koguselise klassifikaatori tähis,,,gl-bus:measurableIDSchema,"Antud väljal esitatakse selle klassifikaatorite elemendi tähis, mille osas esitatakse mõõdetavat kogust (nt SYNDMUS2017ap)",,,,,,
