sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local
167,1,Class,,Activities,,,,,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,0,GE01,,
168,2,Composition,,Activities,Approved,0..1,,,Activity,"Occurs at a specific date and time when a system user confirms the status of a data entry, indicating that it has been reviewed, validated, and authorized for further processing or inclusion in the financial records.",General,0,GE01_01,,
169,2,Composition,,Activities,Created,0..1,,,Activity,"The initial action where a system user inputs new data into the accounting system at a specific date and time, generating a record representing a financial transaction or relevant account information. It involves the validation, approval, and official recording of the data entry, affirming its accuracy and completeness.",General,0,GE01_02,,
170,2,Composition,,Activities,Last Modified,0..1,,,Activity,"Refers to the most recent action taken to alter or update a data entry within the accounting system. It indicates the date and time of the last modification made to the entry, reflecting the latest revision or adjustment.",General,0,GE01_03,,
171,2,Composition,,Activities,Posted,0..1,,,Activity,"Involves the validation, approval, and official recording of a data entry within the accounting system by a system user at a specific date and time, affirming its accuracy and completeness.",General,0,GE01_04,,
172,1,Class,,Activity,,,,,,A class that records specific actions or tasks completed or in progress.,General,0,GE02,,
173,2,Attribute,,Activity,Date,0..1,Date,DATE,,"The date marks when an activity occurred, ideally recorded automatically by the system.",General,0,GE02_01,,
174,2,Attribute,,Activity,Time,0..1,Time,TIME,,The specified time at which an activity occurs.,General,0,GE02_02,,
175,2,Reference Association,,Activity,,0..1,,,User,"A class containing information on system users, essential for managing access, security, and auditing system interactions.",General,0,GE02_03,,
176,1,Class,,Address,,,,,,A class that specifies the location details of an individual or entity.,General,0,GE03,,
177,2,Attribute,,Address,Street Address1,0..1,Name,Name Medium,,The primary line of the street address.,General,0,GE03_01,,
178,2,Attribute,,Address,Street Address2,0..1,Name,Name Medium,,"The secondary line of the street address, if applicable.",General,0,GE03_02,,
179,2,Attribute,,Address,City Name,0..1,Name,CITY NAME,,The municipal designation within an address.,General,0,GE03_03,,
180,2,Attribute,,Address,State Province Code,0..1,Code,STATE PROVINCE CODE,,The code for the state or province of the address as specified by ISO 3166-2.,General,0,GE03_04,,
181,2,Attribute,,Address,Postal Code,0..1,Code,POSTAL CODE,,The code that identifies a specific geographic delivery area for an address.,General,0,GE03_05,,
182,2,Attribute,,Address,Country Code,0..1,Code,COUNTRY CODE,,"The official code representing the country of an address, as standardized by ISO 3166-1.",General,0,GE03_06,,
183,1,Class,,Amount,,,,,,A class that specifies a value of money in a given currency.,General,0,GE04,,
184,2,Attribute,,Amount,Value,0..1,Decimal,AMOUNT,,The numerical value representing a sum of money.,General,0,GE04_01,,
185,2,Reference Association,,Amount,,0..1,,,Currency,A class holds information about different currencies.,General,0,GE04_02,,
186,1,Class,,Amounts,,,,,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",General,0,GE05,,
187,2,Composition,,Amounts,Functional,0..1,,,Amount,The monetary amount recorded in the functional currency. Primarily used for accounting purposes.,General,0,GE05_01,,
188,2,Composition,,Amounts,Local,0..1,,,Amount,The monetary amount expressed in the currency of the country where the transaction took place.,General,0,GE05_02,,
189,2,Composition,,Amounts,Reporting,0..1,,,Amount,"The amount used in financial reporting, recorded in the reporting currency.",General,0,GE05_03,,
190,2,Composition,,Amounts,Transaction,0..1,,,Amount,The monetary amount documented in business transaction records.,General,0,GE05_04,,
202,1,Class,,Bill,,,,,,"A class of document that is officially cited within another record or transaction, serving as verification or supporting detail for financial or operational activities.",General,0,GE06,,
203,2,Attribute,,Bill,ID,0..1,Identifier,Identifier Long,,The unique identifier for the referenced document.,General,0,GE06_01,,
204,2,Attribute,,Bill,Date,0..1,Date,DATE,,The date associated with a business transaction.,General,0,GE06_02,,
205,2,Reference Association,,Bill,,0..1,,,Bill Type,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",General,0,GE06_03,,
206,1,Class,,Bill Type,,,,,,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",Base,26,BS01,,
207,2,Attribute,PK,Bill Type,Code,1..1,Identifier,Identifier Medium,,The unique code that classifies the type of bill.,Base,26,BS01_01,,
208,2,Attribute,,Bill Type,Name,0..1,Name,Name Short,,The classification or designation of a bill reflecting its nature.,Base,26,BS01_02,,
209,2,Attribute,,Bill Type,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a bill type is currently recognized and valid for use.,Base,26,BS01_03,,
210,1,Class,,Business Segment,,,,,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,4,BS02,,
211,2,Attribute,PK,Business Segment,Code,1..1,Identifier,Identifier Short,,The unique code identifying a specific business segment.,Base,4,BS02_01,,
212,2,Attribute,,Business Segment,Name,0..1,Name,Name Medium,,The designated label for a distinct area of a company's operations.,Base,4,BS02_02,,
213,2,Attribute,PK,Business Segment,Segment Reference Level,1..1,Char,Char Short,,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,BS02_03,,
214,2,Attribute,,Business Segment,Organization Type Name,0..1,Name,Name Short,,"The designation of the type of organizational unit, such as a department or cost center.",Base,4,BS02_04,,
215,1,Class,,Business Segment Hierarchy,,,,,,"A class organizes and links the structure and relationships of business units, allowing transaction integration from lower to higher levels.",Base,6,BS03,,
216,2,Reference Association,PK,Business Segment Hierarchy,Child,1..1,,,Business Segment,The business segment instance that is designated as a subordinate in a business segment hierarchy structure.,Base,6,BS03_01,,
217,2,Reference Association,PK,Business Segment Hierarchy,Parent,1..1,,,Business Segment,The business segment instance that is designated as a superior in a business segment hierarchy structure.,Base,6,BS03_02,,
218,1,Class,,Contact,,,,,,A class that details the communication information for an individual or entity.,General,0,GE07,,
219,2,Attribute,,Contact,Name,0..1,Name,Name Medium,,The full name of an individual or entity that is a point of contact.,General,0,GE07_01,,
220,2,Attribute,,Contact,Phone,0..1,Char,PHONE NUMBER,,The telephone number associated with a contact.,General,0,GE07_02,,
221,2,Attribute,,Contact,Email,0..1,Char,EMAIL,,The electronic mail address associated with a contact.,General,0,GE07_03,,
249,1,Class,,Currency,,,,,,A class holds information about different currencies.,Base,30,BS04,,
250,2,Attribute,PK,Currency,Code,1..1,Identifier,CURRENCY CODE,,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,BS04_01,,
251,2,Attribute,,Currency,Name,0..1,Name,Name Short,,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,BS04_02,,
252,2,Attribute,,Currency,Minor Unit,0..1,Integer,UNIT,,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,Base,30,BS04_03,,
253,2,Attribute,,Currency,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a currency code is currently accepted for financial transactions.,Base,30,BS04_04,,
254,1,Class,,Customer,,,,,,A class holds basic and broad details about customers.,Base,14,BS05,,
255,2,Attribute,PK,Customer,Account ID,1..1,Identifier,Identifier Long,,The unique identifier for a customer account.,Base,14,BS05_01,,
256,2,Attribute,,Customer,Account Number,0..1,Char,Char Long,,The number for a customer's account.,Base,14,BS05_02,,
257,2,Attribute,,Customer,Account Name,0..1,Name,Name Long,,The legal or registered name of the customer.,Base,14,BS05_03,,
258,2,Attribute,,Customer,Abbreviation,0..1,Name,Name Medium,,The abbreviated representation of a customer's full name used for simplified referencing in a system.,Base,14,BS05_04,,
259,2,Attribute,,Customer,TIN,0..1,Char,TAX IDENTIFICATION NUMBER,,The tax identification number assigned to the customer by a tax authority.,Base,14,BS05_05,,
260,2,Attribute,,Customer,Inactive Date,0..1,Date,DATE,,"The date marking the change of a customer's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or bankruptcy.",Base,14,BS05_06,,
261,2,Attribute,,Customer,Terms Discount Percentage,0..1,Decimal,Percent,,"Discount percentage the customer can take if an invoice is paid before a certain number of days.
",Base,14,BS05_07,,
