sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
157,1,Class,,Account Segment,,,,,,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General,0,GE01
158,2,Attribute,,Account Segment,Number,0..1,Char,Char Medium,,The number for an account segment.,General,0,GE01_01
159,2,Attribute,,Account Segment,Type Name,0..1,Name,Name Medium,,The designation of an account segment category.,General,0,GE01_02
160,2,Attribute,,Account Segment,Value Code,0..1,Char,Char Medium,,The identifier assigned to a specific account segment.,General,0,GE01_03
161,2,Attribute,,Account Segment,Value Code Name,0..1,Name,Name Medium,,The title assigned to an account segment's identifier.,General,0,GE01_04
167,1,Class,,Activities,,,,,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,0,GE02
168,2,Composition,,Activities,Approved,0..1,,,Activity,"Occurs at a specific date and time when a system user confirms the status of a data entry, indicating that it has been reviewed, validated, and authorized for further processing or inclusion in the financial records.",General,0,GE02_01
169,2,Composition,,Activities,Created,0..1,,,Activity,"The initial action where a system user inputs new data into the accounting system at a specific date and time, generating a record representing a financial transaction or relevant account information. It involves the validation, approval, and official recording of the data entry, affirming its accuracy and completeness.",General,0,GE02_02
170,2,Composition,,Activities,Last Modified,0..1,,,Activity,"Refers to the most recent action taken to alter or update a data entry within the accounting system. It indicates the date and time of the last modification made to the entry, reflecting the latest revision or adjustment.",General,0,GE02_03
171,2,Composition,,Activities,Posted,0..1,,,Activity,"Involves the validation, approval, and official recording of a data entry within the accounting system by a system user at a specific date and time, affirming its accuracy and completeness.",General,0,GE02_04
172,1,Class,,Activity,,,,,,A class that records specific actions or tasks completed or in progress.,General,0,GE03
173,2,Attribute,,Activity,Date,0..1,Date,DATE,,"The date marks when an activity occurred, ideally recorded automatically by the system.",General,0,GE03_01
174,2,Attribute,,Activity,Time,0..1,Time,TIME,,The specified time at which an activity occurs.,General,0,GE03_02
175,2,Reference Association,,Activity,,0..1,,,User,"A class containing information on system users, essential for managing access, security, and auditing system interactions.",General,0,GE03_03
176,1,Class,,Address,,,,,,A class that specifies the location details of an individual or entity.,General,0,GE04
177,2,Attribute,,Address,Street Address1,0..1,Name,Name Medium,,The primary line of the street address.,General,0,GE04_01
178,2,Attribute,,Address,Street Address2,0..1,Name,Name Medium,,"The secondary line of the street address, if applicable.",General,0,GE04_02
179,2,Attribute,,Address,City Name,0..1,Name,CITY NAME,,The municipal designation within an address.,General,0,GE04_03
180,2,Attribute,,Address,State Province Code,0..1,Code,STATE PROVINCE CODE,,The code for the state or province of the address as specified by ISO 3166-2.,General,0,GE04_04
181,2,Attribute,,Address,Postal Code,0..1,Code,POSTAL CODE,,The code that identifies a specific geographic delivery area for an address.,General,0,GE04_05
182,2,Attribute,,Address,Country Code,0..1,Code,COUNTRY CODE,,"The official code representing the country of an address, as standardized by ISO 3166-1.",General,0,GE04_06
183,1,Class,,Amount,,,,,,A class that specifies a value of money in a given currency.,General,0,GE05
184,2,Attribute,,Amount,Value,0..1,Decimal,AMOUNT,,The numerical value representing a sum of money.,General,0,GE05_01
185,2,Reference Association,,Amount,,0..1,,,Currency,A class holds information about different currencies.,General,0,GE05_02
186,1,Class,,Amounts,,,,,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",General,0,GE06
187,2,Composition,,Amounts,Functional,0..1,,,Amount,The monetary amount recorded in the functional currency. Primarily used for accounting purposes.,General,0,GE06_01
188,2,Composition,,Amounts,Local,0..1,,,Amount,The monetary amount expressed in the currency of the country where the transaction took place.,General,0,GE06_02
189,2,Composition,,Amounts,Reporting,0..1,,,Amount,"The amount used in financial reporting, recorded in the reporting currency.",General,0,GE06_03
190,2,Composition,,Amounts,Transaction,0..1,,,Amount,The monetary amount documented in business transaction records.,General,0,GE06_04
202,1,Class,,Bill,,,,,,"A class of document that is officially cited within another record or transaction, serving as verification or supporting detail for financial or operational activities.",General,0,GE07
203,2,Attribute,,Bill,ID,0..1,Identifier,Identifier Long,,The unique identifier for the referenced document.,General,0,GE07_01
204,2,Attribute,,Bill,Date,0..1,Date,DATE,,The date associated with a business transaction.,General,0,GE07_02
205,2,Reference Association,,Bill,,0..1,,,Bill Type,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",General,0,GE07_03
218,1,Class,,Contact,,,,,,A class that details the communication information for an individual or entity.,General,0,GE08
219,2,Attribute,,Contact,Name,0..1,Name,Name Medium,,The full name of an individual or entity that is a point of contact.,General,0,GE08_01
220,2,Attribute,,Contact,Phone,0..1,Char,PHONE NUMBER,,The telephone number associated with a contact.,General,0,GE08_02
221,2,Attribute,,Contact,Email,0..1,Char,EMAIL,,The electronic mail address associated with a contact.,General,0,GE08_03
840,1,Class,,Quantity,,,,,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",General,0,GE15
841,2,Attribute,,Quantity,Value,0..1,Decimal,QUANTITY,,The numerical amount of a specified item or resource.,General,0,GE15_01
842,2,Reference Association,,Quantity,,0..1,,,Measurement Unit,The base unit of measure used to quantify a meaured value.,General,0,GE15_02
930,1,Class,,Tax,,,,,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,0,GE16
931,2,Composition,,Tax,Local,0..1,,,Amount,"The monetary amount of tax assessed based on local tax regulations, recorded in the local currency.",General,0,GE16_01
932,2,Composition,,Tax,Transaction,0..1,,,Amount,"The total monetary amount of tax applied to a specific transaction, recorded in the transaction currency.",General,0,GE16_02
933,2,Reference Association,,Tax,Credit,0..1,,,Ledger Account,The ledger account that records credits related to tax transactions.,General,0,GE16_03
934,2,Reference Association,,Tax,Debit,0..1,,,Ledger Account,The ledger account that records debits related to tax transactions.,General,0,GE16_04
935,2,Reference Association,,Tax,,0..1,,,Tax Type,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",General,0,GE16_05
1,1,Class,,JP Product,,,,,,"Although ISO 21378:2019 does not define a textual name or description for inventory products, such textual information is essential for auditors to understand the context and details of the inventory. Therefore, it is recommended to add a description for each inventory product.",JP,0,JP01
459,2,Attribute,PK,JP Product.Inventory Product,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an inventory item.,JP,125,JP01_IV06_01
460,2,Attribute,,JP Product.Inventory Product,Code,0..1,Char,Char Long,,The exclusive code assigned to a product within an inventory system for tracking and internal management.,JP,125,JP01_IV06_02
