No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action,要素名,要素定義,
1001,1,Class,,Document Information SA,,,,,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,,,【文書情報】,この会計仕訳に関する情報の親タグ。,gl-cor:documentInfo
1002,2,Specialization,,Document Information SA,,,Document Information,1,,gl-cor,,,,,,
1003,2,Attribute,,Document Information SA,Revises Audit Number,Char,,0..0,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,,,,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,gl-cor:revisesUniqueID
1004,2,Attribute,,Document Information SA,Action to Take with Previous Data,Char,,0..0,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,,,,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)",gl-cor:revisesUniqueIDAction
1005,2,Attribute,,Document Information SA,Period Count,Integer,,0..0,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-cor,,,,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,gl-bus:periodCount
1006,2,Attribute,,Document Information SA,Period Unit,Char,,0..0,Type of periods covered by periodCount,gl-cor,,,,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) ",gl-bus:periodUnit
1007,2,Attribute,,Document Information SA,Period Unit Description,Text,,0..0,Free format description of the period unit,gl-cor,,,,期間単位説明,対象期間単位の説明。,gl-bus:periodUnitDescription
1008,2,Attribute,,Document Information SA,Target Application,Name,,0..0,Particular use for which file was generated.,gl-cor,,,,対象アプリケーション,ファイルが作成された用途。,gl-bus:targetApplication
1009,2,Composition,,Document Information SA,,,Summary Reporting Taxonomies,0..0,0,gl-cor,,,,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,gl-srcd:summaryReportingTaxonomies
1010,1,Class,,Entity Information SA,,,,,Holder for entity information - information about the reporting organization.,gl-cor,,,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,gl-cor:entityInformation
1011,2,Specialization,,Entity Information SA,,,Entity Information,1,,gl-cor,,,,,,
1012,2,Attribute,,Entity Information SA,Business Description,Text,,0..0,Description of the nature of the gl-business of the entity.,gl-cor,,,,業種説明,事業体の事業の種類についての説明。,
1013,2,Attribute,,Entity Information SA,Fiscal Year Start,Date,,0..0,"Start of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-bus,,,,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-bus:fiscalYearStart
1014,2,Attribute,,Entity Information SA,Fiscal Year End,Date,,0..0,"End of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-bus,,,,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-bus:fiscalYearEnd
1015,2,Composition,,Entity Information SA,,,Accountant,0..0,Information about the relevant external accountant,gl-cor,,,,【会計士情報】,関連する外部会計士に関する情報。,gl-bus:accountantInformation
1016,2,Composition,,Entity Information SA,,,Reporting Calendar,0..0,A tool to collect the periods used to summarise results from transactions.,gl-cor,,,,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,gl-bus:reportingCalendar
1017,2,Composition,,Entity Information SA,,,Registered Entity Identifier,0..0,,gl-cor,,,,,,
1018,2,Composition,,Entity Information SA,,,Phone Number,0..0,Primary phone number of the entity.,gl-cor,,,,【事業体電話番号】,事業体の主要電話番号情報。,gl-cor:identifierPhoneNumber
1019,2,Composition,,Entity Information SA,,,Fax Number,0..0,Tuple for holding company fax information.,gl-cor,,,,【事業体FAX番号】,事業体のFAX番号情報のタプル。,gl-bus:entityFaxNumberStructure
1020,2,Composition,,Entity Information SA,,,Email Address,0..0,Tuple for holding company email information.,gl-cor,,,,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,gl-cor:identifierEMail
1021,2,Composition,,Entity Information SA,,,Web Site,0..0,Primary web site of the entity.,gl-cor,,,,【事業体Webサイト】,事業体の代表ウェブサイト。,gl-bus:entityWebSite
1022,2,Composition,,Entity Information SA,,,Address,0..0,Address structure for the reporting entity,gl-cor,,,,【住所】,報告事業体の住所構造体。,gl-bus:organizationAddress
1023,2,Composition,,Entity Information SA,,,Contact,0..0,Information about contacts.,gl-cor,,,,【担当者情報】,担当者に関する情報。,gl-bus:contactInformation
1024,2,Composition,,Entity Information SA,,,Accounting Method,0..0,Section for identifying the methods of accounting used by the entity for different reporting purposes,gl-cor,,,,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,gl-bus:organizationAccountingMethodStructure
1025,2,Composition,,Entity Information SA,,,,,,,,,,,,
1026,1,Class,,Entry Header SA,,,,,Parent for entry headers/journal entry headers.,gl-cor,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader
1027,2,Specialization,,Entry Header SA,,,Entry Header,1,,gl-cor,,,,,,
1028,2,Attribute,,Entry Header SA,Date Posted,Date,,0..0,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,,,,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,gl-cor:postedDate
1029,2,Attribute,,Entry Header SA,Entry Creator,Name,,0..0,Initials/name of operator originally entering.,gl-cor,,,,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,gl-cor:enteredBy
1030,2,Attribute,,Entry Header SA,Entry Last Modifier,Name,,0..0,Identification for the last person modifying this entry before posting.,gl-cor,,,,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,gl-bus:enteredByModified
