Sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,mult,definition,module,table,Domain Name,,xbrl-gl,
358,1,Class,,Accounting Entries TS,,,,,Root for XBRL GL. No entry made here.,gl-cor,,,,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。
359,2,Aggregation,,Accounting Entries TS,,,Document Information,0,,gl-cor,,,,,
360,2,Aggregation,,Accounting Entries TS,,,Entity Information,0,,gl-cor,,,,,
361,2,Composition,,Accounting Entries TS,,,Entry Header,0,,gl-cor,,,,,
359,2,Aggregation,,Accounting Entries TS,,,Document Information TS,0..*,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,,,文書情報,この会計仕訳に関する情報の親タグ。
360,2,Aggregation,,Accounting Entries TS,,,Entity Information TS,0..*,Holder for entity information - information about the reporting organization.,gl-cor,,,,事業体情報,事業体情報（報告組織に関する情報）の入れ物。
361,2,Composition,,Accounting Entries TS,,,Entry Header TS,0..*,Parent for entry headers/journal entry headers.,gl-cor,,,,仕訳情報,エントリヘッダー/仕訳記入ヘッダーの親タグ。
134,1,Class,,Document Information TS,,,,,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,,,【文書情報】,この会計仕訳に関する情報の親タグ。
135,2,Specialization,,Document Information TS,,,Document Information,1,,gl-cor,,,,,
137,2,Attribute,,Document Information TS,Revises Audit Number,Char,,0,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,,,,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。
138,2,Attribute,,Document Information TS,Action to Take with Previous Data,Char,,0,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,,,,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)"
145,2,Attribute,,Document Information TS,Period Count,Integer,,0,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-cor,,,,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。
146,2,Attribute,,Document Information TS,Period Unit,Char,,0,Type of periods covered by periodCount,gl-cor,,,,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) "
147,2,Attribute,,Document Information TS,Period Unit Description,Text,,0,Free format description of the period unit,gl-cor,,,,期間単位説明,対象期間単位の説明。
151,2,Composition,,Document Information TS,,,Summary Reporting Taxonomies,0,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,gl-cor,,,,集約報告タクソノミ,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
113,1,Class,,Entity Information TS,,,,,Holder for entity information - information about the reporting organization.,gl-cor,,,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
113,2,Specialization,,Entity Information TS,,,Entity Information,1,,gl-cor,,,,,
114,2,Attribute,,Entity Information TS,Description,Text,,0..0,Description of the nature of the gl-business of the entity.,gl-cor,,,,業種説明,事業体の事業の種類についての説明。
115,2,Attribute,,Entity Information TS,Fiscal Year Start,Date,,0..0,"Start of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,,,,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
116,2,Attribute,,Entity Information TS,Fiscal Year End,Date,,0..0,"End of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,,,,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
117,2,Aggregation,,Entity Information TS,,,Identifier Reference,0..0,"Identification for customer, vendor, or employee.",gl-cor,,,,CVE情報,顧客、仕入先、従業員のための識別子。
