No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action
1,1,Class,,Account Segment,,,,,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General,,,
2,2,Attribute,,Account Segment,Number,Char,,0..1,The number for an account segment.,General,,Char Medium,
3,2,Attribute,,Account Segment,Type Name,Name,,0..1,The designation of an account segment category.,General,,Name Medium,
4,2,Attribute,,Account Segment,Value Code,Char,,0..1,The identifier assigned to a specific account segment.,General,,Char Medium,
5,2,Attribute,,Account Segment,Value Code Name,Name,,0..1,The title assigned to an account segment's identifier.,General,,Name Medium,
6,1,Class,,Accounting Period,,,,,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Base,22,,
7,2,Attribute,PK,Accounting Period,Fiscal Year,Identifier,,1..1,"The year for which financial records are kept, expressed in four digits.",Base,22,YEAR,
8,2,Attribute,PK,Accounting Period,ID,Identifier,,1..1,The span of time covered by an accounting record.,Base,22,PERIOD IDENTIFIER,
9,2,Attribute,,Accounting Period,Beginning Date,Date,,0..1,The start date for a given accounting period.,Base,22,DATE,
10,2,Attribute,,Accounting Period,Ending Date,Date,,0..1,The close date for a given accounting period.,Base,22,DATE,
11,1,Class,,Activities,,,,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,,
12,2,Composition,,Activities,Approved,,Activity,0..1,"Occurs at a specific date and time when a system user confirms the status of a data entry, indicating that it has been reviewed, validated, and authorized for further processing or inclusion in the financial records.",General,,,
13,2,Composition,,Activities,Created,,Activity,0..1,"The initial action where a system user inputs new data into the accounting system at a specific date and time, generating a record representing a financial transaction or relevant account information. It involves the validation, approval, and official recording of the data entry, affirming its accuracy and completeness.",General,,,
14,2,Composition,,Activities,Last Modified,,Activity,0..1,"Refers to the most recent action taken to alter or update a data entry within the accounting system. It indicates the date and time of the last modification made to the entry, reflecting the latest revision or adjustment.",General,,,
15,2,Composition,,Activities,Posted,,Activity,0..1,"Involves the validation, approval, and official recording of a data entry within the accounting system by a system user at a specific date and time, affirming its accuracy and completeness.",General,,,
16,1,Class,,Activity,,,,,A class that records specific actions or tasks completed or in progress.,General,,,
17,2,Attribute,,Activity,Date,Date,,0..1,"The date marks when an activity occurred, ideally recorded automatically by the system.",General,,DATE,
18,2,Attribute,,Activity,Time,Time,,0..1,The specified time at which an activity occurs.,General,,TIME,
19,2,Reference Association,,Activity,,,User,0..1,"A class containing information on system users, essential for managing access, security, and auditing system interactions.",General,,,
20,1,Class,,Address,,,,,A class that specifies the location details of an individual or entity.,General,,,
21,2,Attribute,,Address,Street Address1,Name,,0..1,The primary line of the street address.,General,,Name Medium,
22,2,Attribute,,Address,Street Address2,Name,,0..1,"The secondary line of the street address, if applicable.",General,,Name Medium,
23,2,Attribute,,Address,City Name,Name,,0..1,The municipal designation within an address.,General,,CITY NAME,
24,2,Attribute,,Address,State Province Code,Code,,0..1,The code for the state or province of the address as specified by ISO 3166-2.,General,,STATE PROVINCE CODE,
25,2,Attribute,,Address,Postal Code,Code,,0..1,The code that identifies a specific geographic delivery area for an address.,General,,POSTAL CODE,
26,2,Attribute,,Address,Country Code,Code,,0..1,"The official code representing the country of an address, as standardized by ISO 3166-1.",General,,COUNTRY CODE,
27,1,Class,,Amount,,,,,A class that specifies a value of money in a given currency.,General,,,
28,2,Attribute,,Amount,Value,Decimal,,0..1,The numerical value representing a sum of money.,General,,AMOUNT,
29,2,Reference Association,,Amount,,,Currency,0..1,A class holds information about different currencies.,General,,,
30,1,Class,,Currency,,,,,A class holds information about different currencies.,Base,30,,
31,2,Attribute,PK,Currency,Code,Identifier,,1..1,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,CURRENCY CODE,
32,2,Attribute,,Currency,Name,Name,,0..1,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,Name Short,
