sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,element,label_local,definition_local,id
81,1,Class,,bus:Accountant,,,,0..*,Information about the relevant external accountant,bus,bus:accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,BU10
82,2,Attribute,,bus:Accountant,bus:Accountant Name,String,,0..1,Name of the accountant,bus,bus:accountantName,会計事務所名,会計事務所の名前。,BU10_01
83,2,Attribute,,bus:Accountant,bus:Accountant Type of Engagement,Token,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",bus,bus:accountantTypeOfEngagement,契約種別,"外部会計事務所によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",BU10_02
84,2,Attribute,,bus:Accountant,bus:Accountant Type of Engagement Description,String,,0..1,Free format description of the type of engagement,bus,bus:accountantTypeOfEngagementDescription,契約種別説明,契約種別の説明。,BU10_03
85,2,Composition,,bus:Accountant,bus:Accountant,,bus:Address,0..*,Class which contains accountant address information.,bus,bus:accountantAddress,【会計事務所住所】,会計事務所の住所情報を含むクラス。,BU10_04
86,2,Composition,,bus:Accountant,bus:Accountant,,bus:Contact,0..*,Accountant Contact Information Class,bus,bus:accountantContact,【会計事務所担当者情報】,会計事務所の担当者情報のクラス。,BU10_05
74,1,Class,,bus:Accounting Method,,,,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,bus,bus:accountingMethod,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのクラス。,BU09
75,2,Attribute,,bus:Accounting Method,bus:Accounting Method Code,Token,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",bus,bus:accountingMethodCode,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",BU09_01
76,2,Attribute,,bus:Accounting Method,bus:Accounting Method Description,String,,0..1,Free format description of the accounting method,bus,bus:accountingMethodDescription,会計処理方法説明,会計処理方法の説明。,BU09_02
77,2,Attribute,,bus:Accounting Method,bus:Accounting Method Purpose,Token,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",bus,bus:accountingMethodPurpose,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU09_03
78,2,Attribute,,bus:Accounting Method,bus:Accounting Method Purpose Description,String,,0..1,Free format description of the accounting method purpose,bus,bus:accountingMethodPurposeDescription,会計処理方法目的説明,会計処理方法の目的の説明。,BU09_04
79,2,Attribute,,bus:Accounting Method,bus:Accounting Method Start Date,Date Time,,0..1,Accounting Method Start Date,bus,bus:accountingMethodStartDate,会計処理方法開始日付,会計処理方法の開始日。,BU09_05
80,2,Attribute,,bus:Accounting Method,bus:Accounting Method End Date,Date Time,,0..1,Accounting Method End Date,bus,bus:accountingMethodEndDate,会計処理方法終了日付,会計処理方法の終了日。,BU09_06
30,1,Class,,bus:Address,,,,0..*,Class which contains address information.,bus,bus:address,【住所】,住所情報。,BU06
31,2,Attribute,,bus:Address,bus:Address Name,String,,0..1,Address Name,bus,bus:addressName,住所名,住所の名前。,BU06_01
32,2,Attribute,,bus:Address,bus:Address Description,String,,0..1,Address Description,bus,bus:addressDescription,住所説明,住所の説明。,BU06_02
33,2,Attribute,,bus:Address,bus:Address Purpose,String,,0..1,Address Purpose,bus,bus:addressPurpose,住所目的,住所の目的。,BU06_03
34,2,Attribute,,bus:Address,bus:Location ID,String,,0..1,A code used to identify the location and to associate it with contacts and transactions,bus,bus:locationId,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU06_04
35,2,Attribute,,bus:Address,bus:Building Number,String,,0..1,Building Number,bus,bus:buildingNumber,住所建物番号,建物番号。,BU06_05
