seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Definition,module,LocalLabel,LocalDocumentation
1,1,Class,,Amount,,,,0..*,Structure combining a monetary amount with its currency and currency role information.,btx,【金額構造】,金額と、その通貨および通貨の役割に関する情報を組み合わせて表現する構造。
2,2,Attribute,,Amount,Amount Value,Monetary,,1,Numeric value of the monetary amount expressed in the specified currency.,btx,金額,指定された通貨で表現された金額の数値。
3,2,Attribute,,Amount,Amount Type,Token,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",btx,金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。
4,2,Attribute,,Amount,Currency Code,Token,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",btx,通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。
5,2,Attribute,,Amount,Currency Code Type,Token,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",btx,通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。
6,1,Class,,Header_ Amount,,,,0..*,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",btx,【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。
7,2,Specialization,,Header_ Amount,,,Amount,1,,btx,,
8,2,Attribute,,Header_ Amount,Amount Value,Monetary,,1,Numeric value of the monetary amount expressed in the specified currency.,btx,金額,指定された通貨で表現された金額の数値。
9,2,Attribute,,Header_ Amount,Amount Type,String,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",btx,金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。
10,2,Attribute,,Header_ Amount,Currency Code,Token,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",btx,通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。
11,2,Attribute,,Header_ Amount,Currency Code Type,Token,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",btx,通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。
12,1,Class,,Detail_ Amount,,,,0..*,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",btx,【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。
13,2,Specialization,,Detail_ Amount,,,Amount,1,,btx,,
14,2,Attribute,,Detail_ Amount,Amount Value,Monetary,,1,Numeric value of the monetary amount expressed in the specified currency.,btx,金額,指定された通貨で表現された金額の数値。
15,2,Attribute,,Detail_ Amount,Amount Type,String,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",btx,金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。
16,2,Attribute,,Detail_ Amount,Currency Code,Token,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",btx,通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。
17,2,Attribute,,Detail_ Amount,Currency Code Type,Token,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",btx,通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。
18,2,Attribute,,Detail_ Amount,Adjustment Reason Description Code,Code,,0..1,UNTDED 4465 Adjustment reason description code. Code specifying the reason for an adjustment.,btx,調整理由説明コード,調整（値引・加算等）の理由を指定するコード（UNTDED 4465）。
19,1,Class,,Header_ Multicurrency,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies applicable to the document as a whole and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,btx,【ヘッダ多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
20,2,Specialization,,Header_ Multicurrency,,,Multicurrency,1,,muc,,
21,2,Attribute,,Header_ Multicurrency,Exchange Rate Date,Date Time,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,btx,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。
22,2,Attribute,,Header_ Multicurrency,Foreign Currency Amount,Monetary,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,btx,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。
23,2,Attribute,,Header_ Multicurrency,Foreign Currency,QName,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,btx,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。
24,2,Attribute,,Header_ Multicurrency,Exchange Rate,Pure,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),btx,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）
25,2,Attribute,,Header_ Multicurrency,Exchange Rate Source,String,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",btx,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
26,2,Attribute,,Header_ Multicurrency,Exchange Rate Type,String,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",btx,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
