sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id
1,1,Class,,btx:Business Transactions,,,,1..*,"Economic event represented by one or more business documents and corresponding accounting entries, such as orders, shipments, invoices, and journal entries.",btx,【ビジネス取引】,XBRL GLのルート要素。 注文、出荷、請求書およびそれに対応する仕訳など、1つまたは複数の業務文書と会計仕訳によって表現される経済事象。,BT01
2,2,Composition,,btx:Business Transactions,,,btx:Entity_ Party,0..1,Holder for entity information - information about the reporting organization.,btx,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,BT01_01
3,1,Class,,btx:Entity_ Party,,,,0..1,Holder for entity information - information about the reporting organization.,btx,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,BT02
54,2,Attribute,PK,btx:Entity_ Party,cor:Party_ ID,String,,0..1,ID Number of the party,cor,,,BT02_CO02_01
55,2,Attribute,,btx:Entity_ Party,cor:Party_ Name,String,,0..1,Name of the party,cor,,,BT02_CO02_02
56,2,Attribute,,btx:Entity_ Party,cor:Party_ Business Description,String,,0..1,Description of the nature of the business of the party.,cor,業種説明,事業体の事業の種類についての説明。,BT02_CO02_03
57,2,Reference Association,,btx:Entity_ Party,,,cor:Party_ Authority Registered Identifier,0..*,Class which contains various identifiers for the party.,cor,【事業体識別子】,組織に関する様々な識別子を含むクラス。,BT02_CO02_04
58,2,Composition,,btx:Entity_ Party,,,bus:Party_ Phone,0..*,Primary phone number of the party.,bus,【事業体電話番号】,事業体の主要電話番号情報。,BT02_CO02_05
59,2,Composition,,btx:Entity_ Party,,,bus:Party_ Address,0..*,Address class for the party,bus,【住所】,報告事業体の住所クラス。,BT02_CO02_06
60,2,Composition,,btx:Entity_ Party,,,bus:Party_ Contact,0..*,Information about contacts.,bus,【担当者情報】,担当者に関する情報。,BT02_CO02_07
28,1,Class,,bus:Accountant,,,,0..*,Information about the relevant external accountant,bus,【会計事務所情報】,関連する外部会計事務所に関する情報。,BU06
29,2,Attribute,,bus:Accountant,bus:Accountant Name,String,,0..1,Name of the accountant,bus,会計事務所名,会計事務所の名前。,BU06_01
30,2,Attribute,,bus:Accountant,bus:Accountant Type of Engagement,Token,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",bus,契約種別,"外部会計事務所によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",BU06_02
31,2,Composition,,bus:Accountant,,,bus:Address,0..*,Class which contains accountant address information.,bus,【会計事務所住所】,会計事務所の住所情報を含むクラス。,BU06_03
32,2,Composition,,bus:Accountant,,,bus:Contact,0..*,Accountant Contact Information Class,bus,【会計事務所担当者情報】,会計事務所の担当者情報のクラス。,BU06_04
23,1,Class,,bus:Accounting Method,,,,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,bus,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのクラス。,BU05
24,2,Attribute,,bus:Accounting Method,bus:Code,Token,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",bus,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",BU05_01
25,2,Attribute,,bus:Accounting Method,bus:Description,String,,0..1,Free format description of the accounting method,bus,会計処理方法説明,会計処理方法の説明。,BU05_02
26,2,Attribute,,bus:Accounting Method,bus:Start Date,Date Time,,0..1,Accounting Method Start Date,bus,会計処理方法開始日付,会計処理方法の開始日。,BU05_03
27,2,Attribute,,bus:Accounting Method,bus:End Date,Date Time,,0..1,Accounting Method End Date,bus,会計処理方法終了日付,会計処理方法の終了日。,BU05_04
10,1,Class,,bus:Address,,,,0..*,Class which contains address information.,bus,【住所】,住所情報。,BU03
11,2,Attribute,,bus:Address,bus:Street,String,,0..1,Street address,bus,住所通り,住所の通り。,BU03_01
