seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
1,1,Class,,Communication,,,,0..*,The exchange of messages or information between parties using a specified communication channel.,bus,【通信手段】,当事者間でメッセージまたは情報を交換するための通信手段情報。
2,2,Attribute,,Communication,URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,URI,メールアドレスやWebアドレス等のURI。
3,2,Attribute,,Communication,Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
AO (Uniform Resource Location : URL) Identification of the Uniform Resource Location (URL) Synonym: World wide web address.
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
AO(URL) URL（Uniform Resource Location）の識別。同義語：ワールドワイドウェブアドレス。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。"
4,2,Attribute,,Communication,Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。
6,1,Class,,Phone,,,,0..*,"Phone number information, as a specialisation of Communication.",bus,【電話番号】,電話番号情報（通信手段の特化）。
7,2,Specialization,,Phone,,,Communication,1,Specialisation of Communication for telephone. Communication Channel Code SHALL be 'telephone'.,bus,【通信手段】,通信手段（電話）としての特化。通信チャネルコードは 'telephone' とする。
8,2,Attribute,,Phone,Communication_ URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,URI,メールアドレスやWebアドレス等のURI。
9,2,Attribute,,Phone,Communication_ Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。"
10,2,Attribute,,Phone,Communication_ Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。
30,1,Class,,Address,,,,0..*,Class which contains address information.,bus,【住所】,住所情報。
36,2,Attribute,,Address,Street,String,,0..1,Street address,bus,住所通り,住所の通り。
