code,qname,name,description
AAA,uncl_5153:AAA,Petroleum tax,A tax levied on the volume of petroleum being transacted.
AAB,uncl_5153:AAB,Provisional countervailing duty cash,Countervailing duty paid in cash prior to a formal finding of subsidization by Customs.
AAC,uncl_5153:AAC,Provisional countervailing duty bond,Countervailing duty paid by posting a bond during an investigation period prior to a formal decision on subsidization by Customs.
AAD,uncl_5153:AAD,Tobacco tax,A tax levied on tobacco products.
AAE,uncl_5153:AAE,Energy fee,General fee or tax for the use of energy.
AAF,uncl_5153:AAF,Coffee tax,A tax levied specifically on coffee products.
AAG,uncl_5153:AAG,"Harmonised sales tax, Canadian","A harmonized sales tax consisting of a goods and service tax, a Canadian provincial sales tax and, as applicable, a Quebec sales tax which is recoverable."
AAH,uncl_5153:AAH,Quebec sales tax,A sales tax charged within the Canadian province of Quebec which is recoverable.
AAI,uncl_5153:AAI,Canadian provincial sales tax,A sales tax charged within Canadian provinces which is non-recoverable.
AAJ,uncl_5153:AAJ,Tax on replacement part,"A tax levied on a replacement part, where the original part is returned."
AAK,uncl_5153:AAK,Mineral oil tax,Tax that is levied specifically on products containing mineral oil.
AAL,uncl_5153:AAL,Special tax,To indicate a special type of tax.
AAM,uncl_5153:AAM,Insurance tax,A tax levied specifically on insurances.
AAO,uncl_5153:AAO,Provincial Cannabis Tax,A tax levied on Cannabis products
AAP,uncl_5153:AAP,Outstanding duty interest,Fee levied due to outstanding duties to be paid
ADD,uncl_5153:ADD,Anti-dumping duty,Duty applied to goods ruled to have been dumped in an import market at a price lower than that in the exporter's domestic market.
BOL,uncl_5153:BOL,Stamp duty (Imposta di Bollo),"Tax required in Italy, which may be fixed or graduated in various circumstances (e.g. VAT exempt documents or bank receipts)."
CAP,uncl_5153:CAP,Agricultural levy,Levy imposed on agricultural products where there is a difference between the selling price between trading countries.
CAR,uncl_5153:CAR,Car tax,A tax that is levied on the value of the automobile.
COC,uncl_5153:COC,Paper consortium tax (Italy),Italian Paper consortium tax.
CST,uncl_5153:CST,Commodity specific tax,"Tax related to a specified commodity, e.g. illuminants, salts."
CUD,uncl_5153:CUD,Customs duty,"Duties laid down in the Customs tariff, to which goods are liable on entering or leaving the Customs territory (CCC)."
CVD,uncl_5153:CVD,Countervailing duty,A duty on imported goods applied for compensate for subsidies granted to those goods in the exporting country.
ENV,uncl_5153:ENV,Environmental tax,Tax assessed for funding or assuring environmental protection or clean-up.
EXC,uncl_5153:EXC,Excise duty,"Customs or fiscal authorities code to identify a specific or ad valorem levy on a specific commodity, applied either domestically or at time of importation."
EXP,uncl_5153:EXP,Agricultural export rebate,Monetary rebate given to the seller in certain circumstances when agricultural products are exported.
FET,uncl_5153:FET,Federal excise tax,Tax levied by the federal government on the manufacture of specific items.
