seq,level,Property type,Identifier,class,Property term,representation,Associate class,card,description,module,table,domain_name,element,label_local,definition_local,note
1,1,Class,,Account Structure,,,,,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: \n/account/accountMainID 1000  \n/account/accountMainDescription Cash  \n/account/accountSub/accountSubID 4783HG  \n/account/accountSub/accountSubDescription Department  \n/account/accountSub/accountSubID QOWI  \n/account/accountSub/accountSubDescription Branch  \n/account/accountSub/accountSubID 192837  \n/account/accountSub/accountSubDescription Division",gl-cor,,,gl-cor:account,【科目識別子】,タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。\n/account/accountMainID 1000  /account/accountMainDescription Cash  /account/accountSub/accountSubID 4783HG  /account/accountSub/accountSubDescription Department  /account/accountSub/accountSubID QOWI  /account/accountSub/accountSubDescription Branch  /account/accountSub/accountSubID 192837  /account/accountSub/accountSubDescription Division,
2,2,Attribute,,Account Structure,Main Account Number,xbrli:stringItemType,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",gl-cor,,,gl-cor:accountMainID,主勘定科目コード,主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。\n部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。,
3,2,Attribute,,Account Structure,Main Account Description,xbrli:stringItemType,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,gl-cor,,,gl-cor:accountMainDescription,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,
4,2,Attribute,,Account Structure,Account Classification,xbrli:stringItemType,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associate other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange.",gl-cor,,,gl-cor:mainAccountType,主勘定科目区分,主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。\n[設定値のリスト]\n(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他) ,
5,2,Attribute,,Account Structure,Account Classification Description,xbrli:stringItemType,,0..1,Free format description of the account classification,gl-cor,,,gl-cor:mainAccountTypeDescription,主勘定科目区分説明,主勘定科目の区分の説明。,
6,2,Attribute,,Account Structure,Parent Account Number,xbrli:stringItemType,,0..1,Roll up item from child natural account to parent natural account.,gl-cor,,,gl-cor:parentAccountMainID,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。,
7,2,Attribute,,Account Structure,Purpose of Account,xbrli:stringItemType,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",gl-cor,,,gl-cor:accountPurposeCode,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。\n[設定値のリスト]\n(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)",
8,2,Attribute,,Account Structure,Description of Purpose of Account,xbrli:stringItemType,,0..1,Description of usage for aggregate account,gl-cor,,,gl-cor:accountPurposeDescription,勘定科目目的説明,勘定科目群の使用法の説明。,
9,2,Attribute,,Account Structure,Account Type,xbrli:stringItemType,,0..1,Type of account,gl-cor,,,gl-cor:accountType,科目種別,科目の種別。\n[設定値のリスト]\n(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他) ,
10,2,Attribute,,Account Structure,Account Type Description,xbrli:stringItemType,,0..1,Free format description of the account type,gl-cor,,,gl-cor:accountTypeDescription,科目種別説明,科目の種別の説明。,
11,2,Attribute,,Account Structure,Entry Accounting Method,xbrli:stringItemType,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,,,gl-bus:entryAccountingMethod,仕訳会計処理方法,この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他\n[設定値のリスト]\n(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)\n,
12,2,Attribute,,Account Structure,Entry Accounting Method Description,xbrli:stringItemType,,0..1,Free format description of the entry accounting method,gl-bus,,,gl-bus:entryAccountingMethodDescription,仕訳会計処理方法説明,仕訳の会計処理方法の説明。,
13,2,Attribute,,Account Structure,Entry Accounting Method Purpose,xbrli:stringItemType,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,,,gl-bus:entryAccountingMethodPurpose,仕訳会計処理方法目的,仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)\n,
14,2,Attribute,,Account Structure,Entry Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the entry accounting method purpose,gl-bus,,,gl-bus:entryAccountingMethodPurposeDescription,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。,
