type,shape,label,description,uri,thumbnail,source_seq,target_seq,group,visible,text_color,text_size,color,style,size,width,height,radius,x,y,seq
Topic,RECTANGLE,Sales Invoice,,,,,,,TRUE,Black,M,WhiteSmoke,Text Start,,240,32,,-400,-480,1
Topic,RECTANGLE,ID(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-300,-440,2
Topic,RECTANGLE,Date(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-300,-400,3
Topic,RECTANGLE,Due Date(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-300,-360,4
Topic,RECTANGLE,(Transaction) Amount(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-300,-320,5
Topic,RECTANGLE,Value(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,-280,6
Topic,RECTANGLE,Currency(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,-240,7
Topic,RECTANGLE,Code(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-100,-200,8
Topic,RECTANGLE,Customer(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-300,-160,9
Topic,RECTANGLE,Account ID(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,-120,10
Topic,RECTANGLE,Tax(0..*),,,,,,,TRUE,Black,M,WhiteSmoke,Text Start,,240,32,,-300,-80,11
Topic,RECTANGLE,(Transaction) Amount(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,-40,12
Topic,RECTANGLE,Value(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-100,-4,13
Topic,RECTANGLE,Currency(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-100,40,14
Topic,RECTANGLE,Code(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-4,80,15
Topic,RECTANGLE,Tax Type(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,120,16
Topic,RECTANGLE,Code(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-100,160,17
Topic,RECTANGLE,Sales Invoice Line(1..*),,,,,,,TRUE,Black,M,WhiteSmoke,Text Start,,240,32,,-300,200,18
Topic,RECTANGLE,ID(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,240,19
Topic,RECTANGLE,(Tax Exclude) Amount(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,280,20
Topic,RECTANGLE,Value(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-100,320,21
Topic,RECTANGLE,Currency(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-100,360,22
Topic,RECTANGLE,Code(1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-4,400,23
Topic,RECTANGLE,Inventory Product(0..1),,,,,,,TRUE,Black,M,White,Text Start,,240,32,,-200,440,24
