accountingEntries,identifiers,entryHeader,entryDtl,identifierReference,measurable,identifiersOrganizationID,identifiersOrganizationDesc,entryID,datePosted,sourceJournal,journalDesc,entryOrigin,entryDesc,lineNum,entryDtlMonetaryAmount,postingDate,memoLine,entryDtlDocumentType,documentNum,documentReference,entryDtlDocumentDate,entryDtlReceivedDate,entryDtlDocumentLocation,description,maturityDateOrDateDue,paymentTerms,identifierCode,identifierDescription,identifierType,measurableID,measurableCode,measurableDesc,measurableQuantity,measurableUnitOfMeasure,measurablePerUnitCostPrice
1,1,,,,,ABC Company,Company Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,50,2005-07-01,pj,Vendor purchases journal,imported entry,Invoice: #51029 Vendor: #1130,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,1,500,2005-06-30,false,voucher,51029,Voucher#: 100900,2005-06-15,2005-06-14,Fred's desk drawer.,Vendor#: 1130 Document#: 51029 Date: 6/15/05,2005-07-15,2% 10 Net 30,,,,,,,,,
1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1130,Rettaler Property Ltd,V,,,,,,
1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Widget1,IN,Red Widger,100,Each,5
1,,1,2,,,,,,,,,,,2,300,2005-06-30,false,voucher,51029,Voucher#: 100900,2005-06-15,2005-06-14,Fred's desk drawer.,Vendor#: 1130 Document#: 51029 Date: 6/15/05,2005-07-15,2% 10 Net 30,,,,,,,,,
1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,1130,Rettaler Property Ltd,V,,,,,,
1,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,Gidget3,IN,Sally Field of Dreams Edition,15,Each,20
1,,2,,,,,,51,2005-07-01,pj,Vendor purchases journal,imported entry,Invoice: #4321 Vendor: #8765,,,,,,,,,,,,,,,,,,,,,,
1,,2,1,,,,,,,,,,,1,54000,2005-06-30,false,voucher,234,Voucher#: 100901,2005-06-15,2005-06-14,Fred's desk drawer.,Vendor#: 1412 Document#: 234 Date: 6/15/05,2005-07-15,2% 10 Net 30,,,,,,,,,
1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,1412,Fitzsimmons Office Supplies,V,,,,,,
1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4576,IN,Self Adjusting Paper Clips,2000,Each,27
1,,2,2,,,,,,,,,,,2,1500,2005-06-30,false,voucher,234,Voucher#: 100901,2005-06-15,2005-06-14,Fred's desk drawer.,Vendor#: 1412 Document#: 234 Date: 6/15/05,2005-07-15,2% 10 Net 30,,,,,,,,,
1,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,1412,Fitzsimmons Office Supplies,V,,,,,,
1,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,4800,IN,Self Expanding Paper Sheets,100,Each,15
1,,2,3,,,,,,,,,,,3,500,2005-06-30,false,voucher,234,Voucher#: 100901,2005-06-15,2005-06-14,Fred's desk drawer.,Vendor#: 1412 Document#: 234 Date: 6/15/05,2005-07-15,2% 10 Net 30,,,,,,,,,
1,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,1412,Fitzsimmons Office Supplies,V,,,,,,
1,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,120,IN,Waste Basket,50,Each,10
