No.,Level,Property type,Identifier,Class,Property Term,Representation Term,Associate Object Class Term,Multiplicity,Description,Module,Table,Value Domain,XBRL-GL
1666,1,Class,,Activity,,,,0..1,,Core,75,,
1667,2,Reference Association,,Activity,By,,User,0..1,User ID (from User Listing file) for person who did this activity.,Core,75,TEXT100,gl-cor:identifierCode with gl-cor:identifierCategory = 'systemUser'
1668,2,Attribute,,Activity,Date,Date,,0..1,"The date the activity was recorded into the system. This is sometimes referred to as the creation date. This should be a system- generated date (rather than user-entered date), when possible. This date does not necessarily correspond with the date of the transaction itself.",Core,75,DATE,gl-cor:enteredDate
1669,2,Attribute,,Activity,Time,Time,,0..1,"The time the activity was recorded into the system. ISO 8601 representing time in 24-hour time (hhmm) (for example, 1:00 PM = 1300).",Core,75,TIME,"(This is included in the ISO 8601 representation of gl-cor:enteredDate, mentioned previously.)"
1666,1,Class,,Activity Records,,,,0..1,,Core,75,,
1667,2,Composition,,Activity Records,Entered,,Activity,0..1,User ID (from User Listing file) for person who created the record.,Core,75,TEXT100,gl-cor:identifierCode with gl-cor:identifierCategory = 'systemUser'
1670,2,Composition,,Activity Records,Approved,,Activity,0..1,User ID (from User Listing file) for person who approved the entry.,Core,75,TEXT100,gl-cor:entryResponsiblePerson
1673,2,Composition,,Activity Records,Last Modified,,Activity,0..1,User ID (from User Listing file) for the last person modifying this entry.,Core,75,TEXT100,gl-bus:enteredByModified
1676,1,Class,,Address,,,,0..1,,Core,76,,
1677,2,Attribute,,Address,Street Address1,Text,,0..1,The street address line 1.,Core,76,TEXT100,gl-bus:identifierStreet (*) with gl-bus:identifierAddressPurpose = 'physical' or 'billing'
1678,2,Attribute,,Address,Street Address2,Text,,0..1,The street address line 2.,Core,76,TEXT100,gl-bus:identifierAddressStreet2*
1679,2,Attribute,,Address,City,Text,,0..1,The city where located.,Core,76,TEXT100,gl-bus:identifierCity*
1680,2,Attribute,,Address,State Province,Text,,0..1,The state or province where located. Recommend ISO 3166-2.,Core,76,TEXT6,gl-bus:identifierStateOrProvince*
1681,2,Attribute,,Address,ZipPostalCode,Code,,0..1,The zip code of the city where located.,Core,76,TEXT20,gl-bus:identifierZipOrPostalCode*
1682,2,Attribute,,Address,Country,Code,,0..1,The country code where located. Recommend ISO 3166-1 Alpha 2 or ISO 3166-1 Alpha 3 format (XX or XXX).,Core,76,TEXT3,gl-bus:identifierCountry*
1683,1,Class,,Contact,,,,0..1,,Core,77,,
1684,2,Attribute,,Contact,Name,Text,,0..1,,Core,77,TEXT100,gl-cor:identifierContactAttentionLine
1685,2,Attribute,,Contact,Phone,Code,,0..1,,Core,77,NUMERIC,gl-cor:identifierContactPhoneNumber
1686,2,Attribute,,Contact,Email,Code,,0..1,,Core,77,TEXT100,gl-cor:identifierContactEmailAddress
1687,1,Class,,Charged TaxN,,,,0..1,,Core,78,,
1688,2,Composition,,Charged TaxN,Tax1,,Charged Tax,0..1,,Core,78,,
1689,2,Composition,,Charged TaxN,Tax2,,Charged Tax,0..1,,Core,78,,
1690,2,Composition,,Charged TaxN,Tax3,,Charged Tax,0..1,,Core,78,,
1691,1,Class,,Charged Tax,,,,,,Core,79,,
1692,2,Reference Association,,Charged Tax,,,Tax,1,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",Core,79,TEXT25,gl-cor:taxCode (Note that XBRL GL permits an unlimited number of tax codes and amounts with the gl-cor:taxes structure.)
1693,2,Attribute,,Charged Tax,Tax Type Description,Text,,1,"Description of Tax1 type (for example, authority tax is paid to and other information to identify tax).",Core,79,TEXT100,gl-cor:taxDescription (Note that XBRL GL formalizes the tax authority with gl-cor:taxAuthority and provides other standard fields as well.)
1694,2,Composition,,Charged Tax,Tax Local,,Local Amount,0..1,The amount of Tax1 Type included in the transaction. Recorded in local currency.,Core,79,NUMERIC,gl-cor:taxAmount
1695,2,Reference Association,,Charged Tax,Debit,,Ledger Account Number,1,GL account number on which the debit side of the Tax1 transaction has been posted.,Core,79,TEXT100,"XBRL GL does not have fields explicitly associating GL accounts to tax, although it does permit specification of accounts as tax accounts (gl-cor:accountPurposeCode); it associates tax detail in the gl-cor:taxes structure with specific accounts by including them within the same gl-cor:entryDetail if the gl-cor:amount is the same, or within the same gl-cor:entryHeader if amounts differ. As with the previous GL lines, the account numbers would be mapped to gl-cor:accountMainID."
1696,2,Reference Association,,Charged Tax,Credit,,Ledger Account Number,1,GL account number on which the credit side of the Tax1 transaction has been posted.,Core,79,TEXT100,Same as above
1697,1,Class,,Amount,,,,,,Core,88,,gl-muc:multicurrencyDetail
1698,2,Attribute,,Amount,Value,Numeric,,1,Monetary amount value,Core,88,NUMERIC,gl-cor:amount
1699,2,Attribute,,Amount,Currency,Code,,1,Currency code related to the amount. See ISO 4217 coding.,Core,88,TEXT3,gl-muc:amountCurrency
1697,1,Class,,Multi Currency Amount,,,,,,Core,88,,gl-muc:multicurrencyDetail
1698,2,Composition,,Multi Currency Amount,Functional,,Amount,1,Transaction monetary amount recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all transactions should be recorded in a single currency.,Core,88,NUMERIC,gl-cor:amount
1700,2,Composition,,Multi Currency Amount,Reporting,,Amount,0..1,Transaction monetary amount recorded in the reporting currency.,Core,88,NUMERIC,gl-muc:amountTriangulationAmount
1702,2,Composition,,Multi Currency Amount,Local,,Amount,0..1,Transaction monetary amount in local currency.,Core,88,NUMERIC,gl-muc:amountOriginalAmount
1704,1,Class,,Unit Price Amount,,,,,,Core,90,,
1705,2,Composition,,Unit Price Amount,,,Amount,1,Transaction monetary amount recorded in the functional or group currency.,Core,90,NUMERIC,gl-muc:amountOriginalAmount
1704,1,Class,,Local Currency Amount,,,,,,Core,90,,
1705,2,Composition,,Local Currency Amount,Local,,Amount,1,Transaction monetary amount recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all transactions should be recorded in a single currency.,Core,90,NUMERIC,gl-muc:amountOriginalAmount
1697,1,Class,,Quantity,,,,,,Core,88,,gl-muc:multicurrencyDetail
1698,2,Composition,,Quantity,Value,,Amount,1,Monetary amount value,Core,88,NUMERIC,gl-cor:amount
1699,2,Attribute,,Quantity,Unit of Measure,Code,,1,Currency code related to the amount. See ISO 4217 coding.,Core,88,TEXT3,gl-muc:amountCurrency
1707,1,Class,,Product,,,,,,Core,91,,
1708,2,Reference Association,,Product,,,Inventory Product,1,"Unique identifier for each sales product. This ID may need to be created by concatenating fields (for example, business unit, product number, year, and so on) to uniquely identify each product.",Core,91,TEXT25,gl-bus:measurableIDOther
1709,2,Attribute,,Product,Product Code,Code,,1,The local product item number code appearing on the trade document.,Core,91,TEXT25,gl-bus:measurableID
1710,2,Attribute,,Product,Product Description,Text,,1,Product description (plain English) to indicate the name or other identifying characteristics of the product.,Core,91,TEXT100,gl-bus:measurableDescription
1711,2,Attribute,,Product,Product Group 01,Code,,0..1,"Product descriptor #1, for example, tires or accessories.",Core,91,TEXT25,gl-bus:measurableCodeDescription
1712,2,Attribute,,Product,Product Group 02,Code,,0..1,"Product descriptor #2, for example, brand.",Core,91,TEXT25,gl-bus:measurableCategory
1000,1,Class,,Business Unit,,,,,The business unit listing includes a description of business units and the definition of any business unit hierarchy.,Base,1,,"The preceding design assumes a single hierarchy in which Business_Unit_Hierarchy_(n+1) is a further breakdown of Business_Unit_Hierarchy_(n). XBRL GL can track an unlimited number of breakdowns and hierarchies, with proportionate allocation of subunits to units.<br>gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor:entriesComment value = 'ads:Business_Unit_Listing' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
