No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain
167,1,Class,,Activities,,,,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,
168,2,Composition,,Activities,Approved,,Activity,0..1,"Occurs at a specific date and time when a system user confirms the status of a data entry, indicating that it has been reviewed, validated, and authorized for further processing or inclusion in the financial records.",General,,
169,2,Composition,,Activities,Created,,Activity,0..1,"The initial action where a system user inputs new data into the accounting system at a specific date and time, generating a record representing a financial transaction or relevant account information. It involves the validation, approval, and official recording of the data entry, affirming its accuracy and completeness.",General,,
170,2,Composition,,Activities,Last Modified,,Activity,0..1,"Refers to the most recent action taken to alter or update a data entry within the accounting system. It indicates the date and time of the last modification made to the entry, reflecting the latest revision or adjustment.",General,,
171,2,Composition,,Activities,Posted,,Activity,0..1,"Involves the validation, approval, and official recording of a data entry within the accounting system by a system user at a specific date and time, affirming its accuracy and completeness.",General,,
172,1,Class,,Activity,,,,,A class that records specific actions or tasks completed or in progress.,General,,
173,2,Attribute,,Activity,Date,Date,,0..1,"The date marks when an activity occurred, ideally recorded automatically by the system.",General,,DATE
174,2,Attribute,,Activity,Time,Time,,0..1,The specified time at which an activity occurs.,General,,TIME
175,2,Reference Association,,Activity,,,User,0..1,"A class containing information on system users, essential for managing access, security, and auditing system interactions.",General,,
176,1,Class,,Address,,,,,A class that specifies the location details of an individual or entity.,General,,
177,2,Attribute,,Address,Street Address1,Name,,0..1,The primary line of the street address.,General,,Name Medium
178,2,Attribute,,Address,Street Address2,Name,,0..1,"The secondary line of the street address, if applicable.",General,,Name Medium
179,2,Attribute,,Address,City Name,Name,,0..1,The municipal designation within an address.,General,,CITY NAME
180,2,Attribute,,Address,State Province Code,Code,,0..1,The code for the state or province of the address as specified by ISO 3166-2.,General,,STATE PROVINCE CODE
181,2,Attribute,,Address,Postal Code,Code,,0..1,The code that identifies a specific geographic delivery area for an address.,General,,POSTAL CODE
182,2,Attribute,,Address,Country Code,Code,,0..1,"The official code representing the country of an address, as standardized by ISO 3166-1.",General,,COUNTRY CODE
183,1,Class,,Amount,,,,,A class that specifies a value of money in a given currency.,General,,
184,2,Attribute,,Amount,Value,Decimal,,0..1,The numerical value representing a sum of money.,General,,AMOUNT
185,2,Reference Association,,Amount,,,Currency,0..1,A class holds information about different currencies.,General,,
186,1,Class,,Amounts,,,,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",General,,
187,2,Composition,,Amounts,Functional,,Amount,0..1,The monetary amount recorded in the functional currency. Primarily used for accounting purposes.,General,,
188,2,Composition,,Amounts,Local,,Amount,0..1,The monetary amount expressed in the currency of the country where the transaction took place.,General,,
189,2,Composition,,Amounts,Reporting,,Amount,0..1,"The amount used in financial reporting, recorded in the reporting currency.",General,,
190,2,Composition,,Amounts,Transaction,,Amount,0..1,The monetary amount documented in business transaction records.,General,,
202,1,Class,,Bill,,,,,"A class of document that is officially cited within another record or transaction, serving as verification or supporting detail for financial or operational activities.",General,,
203,2,Attribute,,Bill,ID,Identifier,,0..1,The unique identifier for the referenced document.,General,,Identifier Long
204,2,Attribute,,Bill,Date,Date,,0..1,The date associated with a business transaction.,General,,DATE
205,2,Reference Association,,Bill,,,Bill Type,0..1,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",General,,
206,1,Class,,Bill Type,,,,,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",Base,26,
207,2,Attribute,PK,Bill Type,Code,Identifier,,1..1,The unique code that classifies the type of bill.,Base,26,Identifier Medium
208,2,Attribute,,Bill Type,Name,Name,,0..1,The classification or designation of a bill reflecting its nature.,Base,26,Name Short
209,2,Attribute,,Bill Type,Active Indicator,Indicator,,0..1,The flag indicating if a bill type is currently recognized and valid for use.,Base,26,Indicator
210,1,Class,,Business Segment,,,,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,4,
211,2,Attribute,PK,Business Segment,Code,Identifier,,1..1,The unique code identifying a specific business segment.,Base,4,Identifier Short
212,2,Attribute,,Business Segment,Name,Name,,0..1,The designated label for a distinct area of a company's operations.,Base,4,Name Medium
213,2,Attribute,PK,Business Segment,Segment Reference Level,Char,,1..1,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Char Short
214,2,Attribute,,Business Segment,Organization Type Name,Name,,0..1,"The designation of the type of organizational unit, such as a department or cost center.",Base,4,Name Short
215,1,Class,,Business Segment Hierarchy,,,,,"A class organizes and links the structure and relationships of business units, allowing transaction integration from lower to higher levels.",Base,6,
216,2,Reference Association,PK,Business Segment Hierarchy,Child,,Business Segment,1..1,The business segment instance that is designated as a subordinate in a business segment hierarchy structure.,Base,6,
217,2,Reference Association,PK,Business Segment Hierarchy,Parent,,Business Segment,1..1,The business segment instance that is designated as a superior in a business segment hierarchy structure.,Base,6,
