code,qname,name,description
1,uncl_1225:_1,Cancellation,Message cancelling a previous transmission for a given transaction.
2,uncl_1225:_2,Addition,Message containing items to be added.
3,uncl_1225:_3,Deletion,Message containing items to be deleted.
4,uncl_1225:_4,Change,Message containing items to be changed.
5,uncl_1225:_5,Replace,Message replacing a previous message.
6,uncl_1225:_6,Confirmation,Message confirming the details of a previous transmission where such confirmation is required or recommended under the terms of a trading partner agreement.
7,uncl_1225:_7,Duplicate,The message is a duplicate of a previously generated message.
8,uncl_1225:_8,Status,Code indicating that the referenced message is a status.
9,uncl_1225:_9,Original,Initial transmission related to a given transaction.
10,uncl_1225:_10,Not found,Message whose reference number is not filed.
11,uncl_1225:_11,Response,Message responding to a previous message or document.
12,uncl_1225:_12,Not processed,Message indicating that the referenced message was received but not yet processed.
13,uncl_1225:_13,Request,Code indicating that the referenced message is a request.
14,uncl_1225:_14,Advance notification,Code indicating that the information contained in the message is an advance notification of information to follow.
15,uncl_1225:_15,Reminder,Repeated message transmission for reminding purposes.
16,uncl_1225:_16,Proposal,Message content is a proposal.
17,uncl_1225:_17,"Cancel, to be reissued","Referenced transaction cancelled, reissued message will follow."
18,uncl_1225:_18,Reissue,New issue of a previous message (maybe cancelled).
19,uncl_1225:_19,Seller initiated change,Change information submitted by buyer but initiated by seller.
20,uncl_1225:_20,Replace heading section only,Message to replace the heading of a previous message.
21,uncl_1225:_21,Replace item detail and summary only,Message to replace item detail and summary of a previous message.
22,uncl_1225:_22,Final transmission,"Final message in a related series of messages together making up a commercial, administrative or transport transaction."
23,uncl_1225:_23,Transaction on hold,Message not to be processed until further release information.
24,uncl_1225:_24,Delivery instruction,Delivery schedule message only used to transmit short- term delivery instructions.
25,uncl_1225:_25,Forecast,Delivery schedule message only used to transmit long- term schedule information.
26,uncl_1225:_26,Delivery instruction and forecast,Combination of codes '24' and '25'.
27,uncl_1225:_27,Not accepted,Message to inform that the referenced message is not accepted by the recipient.
28,uncl_1225:_28,"Accepted, with amendment in heading section",Message accepted but amended in heading section.
29,uncl_1225:_29,Accepted without amendment,Referenced message is entirely accepted.
30,uncl_1225:_30,"Accepted, with amendment in detail section",Referenced message is accepted but amended in detail section.
31,uncl_1225:_31,Copy,"Indicates that the message is a copy of an original message that has been sent, e.g. for action or information."
32,uncl_1225:_32,Approval,A message releasing an existing referenced message for action to the receiver.
33,uncl_1225:_33,Change in heading section,Message changing the referenced message heading section.
34,uncl_1225:_34,Accepted with amendment,The referenced message is accepted but amended.
35,uncl_1225:_35,Retransmission,Change-free transmission of a message previously sent.
36,uncl_1225:_36,Change in detail section,Message changing referenced detail section.
37,uncl_1225:_37,Reversal of a debit,Reversal of a previously posted debit.
38,uncl_1225:_38,Reversal of a credit,Reversal of a previously posted credit.
39,uncl_1225:_39,Reversal for cancellation,Code indicating that the referenced message is reversing a cancellation of a previous transmission for a given transaction.
40,uncl_1225:_40,Request for deletion,The message is given to inform the recipient to delete the referenced transaction.
