Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81
20210401,18,21,0,1,010,Sapporo Sales Office,726,Travel and Transportation Expenses,,,Q5,Purchase 10%,19500,1772,1,000,Common Department,111,Cash,,,00,Out of Scope,19500,0,Travel Expenses,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210401,246,21,0,1,030,Nagoya Branch,726,Travel and Transportation Expenses,,,Q5,Purchase 10%,10000,909,1,000,Common Department,111,Cash,,,00,Out of Scope,10000,0,Travel Expenses,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,19,21,0,1,010,Sapporo Sales Office,726,Travel and Transportation Expenses,,,Q5,Purchase 10%,11000,1000,1,000,Common Department,111,Cash,,,00,Out of Scope,11000,0,Travel Expenses,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,68,21,0,1,010,Sapporo Sales Office,791,Miscellaneous Expenses,,,Q5,Purchase 10%,2970,270,1,000,Common Department,111,Cash,,,00,Out of Scope,2970,0,Toilet Paper and Others,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,122,21,0,1,040,Osaka Branch,727,Communication Expenses,,,Q5,Purchase 10%,1050,95,1,000,Common Department,111,Cash,,,00,Out of Scope,1050,0,Certificate issuance fee,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,Osaka Branch,740,Vehicle Expenses,,,Q5,Purchase 10%,2458,223,1,000,Common Department,111,Cash,,,00,Out of Scope,13384,0,Highway Toll,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,Osaka Branch,740,Vehicle Expenses,,,Q5,Purchase 10%,591,53,0,,,,,,,,,,,Parking Fee,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,Osaka Branch,740,Vehicle Expenses,,,Q5,Purchase 10%,4620,420,0,,,,,,,,,,,Gasoline Cost,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,Osaka Branch,740,Vehicle Expenses,,,Q5,Purchase 10%,5715,519,0,,,,,,,,,,,Car wash fee,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
20210403,41,21,0,1,020,Tokyo Branch,733,Entertainment Expenses,,,Q5,Purchase 10%,12000,1090,1,000,Common Department,111,Cash,,,00,Out of Scope,12000,0,Wedding fee,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,2/1/2021 13:55,,,,,,,,,,,,,,,,,,,,,,,,,
