column,name,card,Representation,semSort,path,semPath,value,line,fixedValue,term,example
dColumn2,,,,3101,/JISC03,/JISC03,JISC03_GL02_01='*',[*],,JISC General Ledger,
"dColumn14,dColumn25",,1..*,,3137,/JISC03/JISC04b,/JISC03/JISC04b,[JISC04b_GL03_06='true'] [JISC04b_GL03_06='false'] [not(JISC04b_GL03_06)],[*],,JISC General Ledger Line,
"dColumn6,dColumn17",,0..*,,3195,/JISC03/JISC04b/BS05bC,/JISC03/JISC04b[JISC04b_GL03_06]/BS05bC,[BS05bC_04='Department'],,,Business Segment,
"dColumn10,dColumn21",,0..*,,3178,/JISC03/JISC04b/GL01d,/JISC03/JISC04b[JISC04b_GL03_06]/GL01d,[GL01d_04='Sub-account'],,,General Ledger Account Segment,
Column1,伝票日付,0..1,Date,3104,/JISC03/JISC03_GL02_03,/JISC03/JISC03_GL02_03,,,,Effective Date,20210405
Column2,伝票番号,1..1,Identifier,3102,/JISC03/JISC03_GL02_01,/JISC03/JISC03_GL02_01,,,,Journal ID,254
Column3,仕訳区分,0..1,Identifier,3106,/JISC03/JISC03_GL02_06,/JISC03/JISC03_GL02_06,,,,Journal Entry Type,21
Column4,管理仕訳区分,,,,,,,,,0,0
Column5,借方税計算モード,,,,,,,,,0,1
Column6,借方部門コード,0..1,Identifier,3196,/JISC03/JISC04b/BS05bC/BS05bC_01,/JISC03/JISC04b[JISC04b_GL03_06='true']/BS05bC[BS05bC_04='Department']/BS05bC_01,,,,Business Segment Code,000
Column7,借方部門名,0..1,Name,3197,/JISC03/JISC04b/BS05bC/BS05bC_02,/JISC03/JISC04b[JISC04b_GL03_06='true']/BS05bC[BS05bC_04='Department']/BS05bC_02,,,,Business Segment Name,共通部門
Column8,借方科目コード,1..1,Identifier,3148,/JISC03/JISC04b/JISC20b/JISC20b_BS13_01,/JISC03/JISC04b[JISC04b_GL03_06='true']/JISC20b/JISC20b_BS13_01,,,,General Ledger Account Number,131
Column9,借方科目名,0..1,Text,3149,/JISC03/JISC04b/JISC20b/JISC20b_BS13_02,/JISC03/JISC04b[JISC04b_GL03_06='true']/JISC20b/JISC20b_BS13_02,,,,General Ledger Account Name,普通預金
Column10,借方補助コード,0..1,Identifier,3179,/JISC03/JISC04b/GL01d/GL01d_01,/JISC03/JISC04b[JISC04b_GL03_06='true']/GL01d[GL01d_04='Sub-account']/GL01d_01,,,,General Ledger Account Segment ID,50
Column11,借方補助名,0..1,Code,3182,/JISC03/JISC04b/GL01d/GL01d_04,/JISC03/JISC04b[JISC04b_GL03_06='true']/GL01d[GL01d_04='Sub-account']/GL01d_02,,,,Account Segment Name,福岡　北九州
Column12,借方税区分コード,1..1,Code,3204,/JISC03/JISC04b/JISC02c/JISC02c_04,/JISC03/JISC04b[JISC04b_GL03_06='true']/JISC02c/JISC02c_04,,,,Tax Category,00
Column13,借方税区分名,,,,,,,,,0,対象外
Column14,借方金額,1..1,Monetary Amount,3157,/JISC03/JISC04b/CC04w/CC04w_01,/JISC03/JISC04b[JISC04b_GL03_06='true']/CC04w/CC04w_01,,,,Functional Amount,2959035
Column15,借方消費税額,0..1,Monetary Amount,3201,/JISC03/JISC04b/JISC02c/JISC02c_BS21_01,/JISC03/JISC04b[JISC04b_GL03_06='true']/JISC02c/JISC02c_BS21_01,,,,Tax Local Amount,0
Column16,貸方税計算モード,,,,,,,,,0,1
Column17,貸方部門コード,0..1,Identifier,3196,/JISC03/JISC04b/BS05bC/BS05bC_01,/JISC03/JISC04b[JISC04b_GL03_06='false']/BS05bC[BS05bC_04='Department']/BS05bC_01,,,,Business Segment Code,000
Column18,貸方部門名,0..1,Name,3197,/JISC03/JISC04b/BS05bC/BS05bC_02,/JISC03/JISC04b[JISC04b_GL03_06='false']/BS05bC[BS05bC_04='Department']/BS05bC_02,,,,Business Segment Name,共通部門
Column19,貸方科目コード,1..1,Identifier,3148,/JISC03/JISC04b/JISC20b/JISC20b_BS13_01,/JISC03/JISC04b[JISC04b_GL03_06='false']/JISC20b/JISC20b_BS13_01,,,,General Ledger Account Number,152
Column20,貸方科目名,0..1,Text,3149,/JISC03/JISC04b/JISC20b/JISC20b_BS13_02,/JISC03/JISC04b[JISC04b_GL03_06='false']/JISC20b/JISC20b_BS13_02,,,,General Ledger Account Name,売掛金
Column21,貸方補助コード,0..1,Identifier,3179,/JISC03/JISC04b/GL01d/GL01d_01,/JISC03/JISC04b[JISC04b_GL03_06='false']/GL01d[GL01d_04='Sub-account']/GL01d_01,,,,General Ledger Account Segment ID,22
Column22,貸方補助名,0..1,Code,3182,/JISC03/JISC04b/GL01d/GL01d_04,/JISC03/JISC04b[JISC04b_GL03_06='false']/GL01d[GL01d_04='Sub-account']/GL01d_02,,,,Account Segment Name,㈱渡辺産業
Column23,貸方税区分コード,1..1,Code,3204,/JISC03/JISC04b/JISC02c/JISC02c_04,/JISC03/JISC04b[JISC04b_GL03_06='false']/JISC02c/JISC02c_04,,,,Tax Category,00
Column24,貸方税区分名,,,,,,,,,0,対象外
Column25,貸方金額,1..1,Monetary Amount,3157,/JISC03/JISC04b/CC04w/CC04w_01,/JISC03/JISC04b[JISC04b_GL03_06='false']/CC04w/CC04w_01,,,,Functional Amount,2959035
Column26,貸方消費税額,0..1,Monetary Amount,3201,/JISC03/JISC04b/JISC02c/JISC02c_BS21_01,/JISC03/JISC04b[JISC04b_GL03_06='false']/JISC02c/JISC02c_BS21_01,,,,Tax Local Amount,0
Column27,摘要文,0..1,Text,3140,/JISC03/JISC04b/JISC04b_GL03_03,/JISC03/JISC04b[not(JISC04b_GL03_06)]/JISC04b_GL03_03,,,,Journal Entry Line Description,4月5日伝票No190株式会社　渡辺産業
Column28,数字１,,,,,,,,,0,
Column29,数字２,,,,,,,,,0,
Column30,入力プログラム区分,1..1,Identifier,3114,/JISC03/GL05b/GL05b_01,/JISC03/GL05b/GL05b_01,,,,Source Code,1
Column31,配賦元税計算,,,,,,,,,0,
Column32,配賦元集計方法,,,,,,,,,0,
Column33,配賦元集計開始日付,,,,,,,,,0,
Column34,配賦元集計終了日付,,,,,,,,,0,
Column35,配賦元管理仕訳区分,,,,,,,,,0,
Column36,配賦元部門コード,,,,,,,,,0,
Column37,配賦元部門名,,,,,,,,,0,
Column38,配賦元科目コード,,,,,,,,,0,
Column39,配賦元科目名,,,,,,,,,0,
Column40,配賦元補助コード,,,,,,,,,0,
