Account_Code,Account_Name,Beginning_Balance
111,現金,52505892
121,当座預金,9465403
131,普通預金,4268602
143,定期預金,4600000
148,定期積金,2820000
150,受取手形,77631436
159,貸倒引当金,822674000
152,売掛金,8130812723
161,有価証券,1271350
171,商品,63013226
183,短期貸付金,480000
191,仮払消費税等,2762581
244,差入保証金,1200000
213,構築物,2001693400
216,工具器具備品,953769200
232,電話加入権,512000
248,保険積立金,1528000
249,敷金,3140000
301,支払手形,52251735
312,買掛金,264051101
337,賞与引当金,32000000
322,未払金,57584692
328,未払法人税等,2864378
327,未払事業税等,1862000
336,未払消費税等,4947100
326,預り金,2309575
321,短期借入金,7842000
335,仮受消費税等,6540636
341,長期借入金,14000000
359,退職給付引当金,18560000
360,役員退任慰労金,22000000
421,資本準備金,1085000000
431,利益準備金,7200000
432,別途積立金,4830000
437,繰越利益剰余金,4956596
411,資本金,8900000000
