JP07a,JP08a,BS04c5,JP05a,BS04c6,JP05b,JP07a_GL02_01,JP07a_GL02_03,GE03dl_01,GL05c_01,BS15c_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,JP05a_01,JP05a_02,JP05a_03,GE05gP_01,GE05gS_01,JP02c_BS28_01,JP02c_BS28_02,JP06d_BS16_01,JP06d_BS16_02,JP05b_01,JP05b_02,JP05b_03,GE05hX_01,GE05h0_01,JP02d_BS28_01,JP02d_BS28_02,BS04c5_01,BS04c5_02,BS04c5_03,BS04c6_01,BS04c6_02,BS04c6_03
1,,,,,,18,2021-04-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,旅費,726,旅費交通費,,,,19500,1772,Q5,仕入10%,111,現金,,,,19500,0,00,対象外,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
2,,,,,,246,2021-04-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,旅費,726,旅費交通費,,,,10000,909,Q5,仕入10%,111,現金,,,,10000,0,00,対象外,,,,,,
2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
3,,,,,,19,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,旅費,726,旅費交通費,,,,11000,1000,Q5,仕入10%,111,現金,,,,11000,0,00,対象外,,,,,,
3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
4,,,,,,68,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,,,,,,,,トイレットペーパー他,791,雑費,,,,2970,270,Q5,仕入10%,111,現金,,,,2970,0,00,対象外,,,,,,
4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
5,,,,,,122,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,証明書発行手数料,727,通信費,,,,1050,95,Q5,仕入10%,111,現金,,,,1050,0,00,対象外,,,,,,
5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
6,,,,,,142,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,,,,,,,,高速代,740,車両費,,,,2458,223,Q5,仕入10%,111,現金,,,,13384,0,00,対象外,,,,,,
6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
6,2,,,,,,,,,,駐車代,740,車両費,,,,591,53,Q5,仕入10%,,,,,,,,,,,,,,,
6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
6,3,,,,,,,,,,ガソリン代,740,車両費,,,,4620,420,Q5,仕入10%,,,,,,,,,,,,,,,
6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
6,4,,,,,,,,,,洗車券代,740,車両費,,,,5715,519,Q5,仕入10%,,,,,,,,,,,,,,,
6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
7,,,,,,41,2021-04-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,結婚式会費,733,交際接待費,,,,12000,1090,Q5,仕入10%,111,現金,,,,12000,0,00,対象外,,,,,,
7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
8,,,,,,134,2021-04-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,用紙,754,事務用消耗品費,,,,15600,1418,Q5,仕入10%,111,現金,,,,15600,0,00,対象外,,,,,,
8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
8,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
9,,,,,,310,2021-04-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,ガソリン代,740,車両費,,,,6486,589,Q5,仕入10%,111,現金,,,,17401,0,00,対象外,,,,,,
9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
9,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
9,2,,,,,,,,,,高速代,740,車両費,,,,9715,883,Q5,仕入10%,,,,,,,,,,,,,,,
9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
9,3,,,,,,,,,,駐車代,740,車両費,,,,1200,109,Q5,仕入10%,,,,,,,,,,,,,,,
9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
10,,,,,,76,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,制服代,724,福利厚生費,,,,56000,5090,Q5,仕入10%,322,未払金,,,,56000,0,00,対象外,,,,,,
10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
10,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
11,,,,,,133,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,税理士報酬,746,支払報酬,,,,139710,12700,Q5,仕入10%,131,普通預金,,,,139710,0,00,対象外,,,,,,
11,1,,,,1,,,,,,,,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,
11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
11,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
12,,,,,,139,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,制服代,724,福利厚生費,,,,55630,5057,Q5,仕入10%,322,未払金,,,,55630,0,00,対象外,,,,,,
12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
12,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
13,,,,,,254,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,,,,,,,,4月5日伝票No190株式会社 渡辺産業,131,普通預金,,,,2959035,0,00,対象外,152,売掛金,,,,2959035,0,00,対象外,,,,,,
13,1,,1,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,,,,,,,,,,
13,1,,,,1,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,sub-account,,,,,,,,,,
13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
13,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
