JP07a,JP08a,BS04c5,JP05a,BS04c6,JP05b,JP07a_GL02_01,JP07a_GL02_03,GE03dl_01,GL05c_01,BS15c_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,JP05a_01,JP05a_02,JP05a_03,GE05gP_01,GE05gS_01,JP02c_BS28_01,JP02c_BS28_02,JP06d_BS16_01,JP06d_BS16_02,JP05b_01,JP05b_02,JP05b_03,GE05hX_01,GE05h0_01,JP02d_BS28_01,JP02d_BS28_02,BS04c5_01,BS04c5_02,BS04c5_03,BS04c6_01,BS04c6_02,BS04c6_03
1,,,,,,18,2021-04-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,19500.0,1772.0,S10,Standard 10%,10A100020,Cash and deposits,,,,19500.0,0.0,O,-,,,,,,
1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
1,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2,,,,,,246,2021-04-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,10000.0,909.0,S10,Standard 10%,10A100020,Cash and deposits,,,,10000.0,0.0,O,-,,,,,,
2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
3,,,,,,19,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,11000.0,1000.0,S10,Standard 10%,10A100020,Cash and deposits,,,,11000.0,0.0,O,-,,,,,,
3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
3,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
4,,,,,,68,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,,,,,,,,,,Toilet Paper and Others,10E201270,Miscellaneous expenses,,,,2970.0,270.0,S10,Standard 10%,10A100020,Cash and deposits,,,,2970.0,0.0,O,-,,,,,,
4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
4,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
