Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
\text version='10' \,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注文No,発注方法,発注日,納期,発注先コード,発注先名,先方担当者名,部門コード,担当者コード,摘要コード,摘要名,直送先フラグ,直送先コード,直送先名,直送先担当者名,商品コード,マスター区分,商品名,倉庫コード,入数,箱数,数量,単位,単価,発注金額,外税額,内税額,税区分,税込区分,備考,入荷数累計,規格・型番,色,ｻｲｽﾞ,計算式コード,単材積,本数,商品項目３,仕入項目１,仕入項目２,仕入項目３,税率,伝票消費税額,ﾌﾟﾛｼﾞｪｸﾄコード,注文No2,明細納期,データ区分,商品名２,単位区分,仕入税種別
1,0,20220401,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,7084,,,0,0,,0,0
1,0,20220401,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0010,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
1,0,20220401,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0030,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
1,0,20220401,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
2,0,20220402,0,0008,株式会社　山下,,020,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0020,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
3,0,20220403,0,0002,株式会社　Pole,,010,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0010,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,7084,,,0,0,,0,0
3,0,20220403,0,0002,株式会社　Pole,,010,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
3,0,20220403,0,0002,株式会社　Pole,,010,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
3,0,20220403,0,0002,株式会社　Pole,,010,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
4,0,20220403,0,0008,株式会社　山下,,040,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0040,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
5,0,20220404,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,1968,,,0,0,,0,0
6,0,20220405,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,5116,,,0,0,,0,0
6,0,20220405,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
6,0,20220405,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
7,0,20220405,0,0008,株式会社　山下,,020,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0020,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
8,0,20220406,0,0002,株式会社　Pole,,030,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0030,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,5510,,,0,0,,0,0
8,0,20220406,0,0002,株式会社　Pole,,030,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
8,0,20220406,0,0002,株式会社　Pole,,030,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
9,0,20220407,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,1574,,,0,0,,0,0
10,0,20220407,0,0008,株式会社　山下,,020,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0020,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
11,0,20220408,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,7084,,,0,0,,0,0
11,0,20220408,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
11,0,20220408,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0050,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
11,0,20220408,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
12,0,20220409,0,0008,株式会社　山下,,020,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0020,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
13,0,20220410,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,7084,,,0,0,,0,0
13,0,20220410,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0050,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
13,0,20220410,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
13,0,20220410,0,0002,株式会社　Pole,,040,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0050,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
14,0,20220411,0,0008,株式会社　山下,,020,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0020,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
15,0,20220412,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,7084,,,0,0,,0,0
15,0,20220412,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
15,0,20220412,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
15,0,20220412,0,0002,株式会社　Pole,,020,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
16,0,20220413,0,0008,株式会社　山下,,020,4004,0000,,0,,,,0032,0,ｸﾙｼｱ ﾎﾞﾃﾞｨｰｿｰﾌﾟ ﾅﾁｭｰﾌﾞ,0020,6,10,60,個,376,22560,2256,0,2,0,,0,CR-B328,,350ml,00,0,0,0,0,0,0,10,2256,,,0,0,,0,0
17,0,20220414,0,0002,株式会社　Pole,,050,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0050,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,7084,,,0,0,,0,0
17,0,20220414,0,0002,株式会社　Pole,,050,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
17,0,20220414,0,0002,株式会社　Pole,,050,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0040,12,10,120,個,164,19680,1968,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
17,0,20220414,0,0002,株式会社　Pole,,050,2002,0000,,0,,,,0075,0,ｱﾗﾔ 食器用洗剤 松の実,0020,12,8,96,個,164,15744,1574,0,2,0,,0,AR-Q094,,330ml,00,0,0,0,0,0,0,10,0,,,0,0,,0,0
