sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local,xpath
1,1,Class,,Quantity,,,,,,A class that specifies a value of measurable in UOM code.,General,0,GE01,【数量】,特定の単位での数量を指定するクラス,
2,2,Attribute,,Quantity,Value,0..1,Decimal,,,The numerical amount of a specified item or resource.,General,0,GE01_01,値,指定された項目またはリソースの数値量,gl-bus:measurableQuantity
3,2,Reference Association,,Quantity,,0..1,,,Measurement Unit,The base unit of measure used to quantify a meaured value.,General,0,GE01_02,測定単位,測定値を定量化するために使用される基本測定単位,
4,1,Class,,Measurement Unit,,,,,,A class documents the units of measure utilized across various business documents and accounting ledgers.,General,0,GE02,【測定単位】,測定値を定量化するために使用される基本測定単位,
5,2,Attribute,PK,Measurement Unit,UOM Code,1,Identifier,,,The unique code for the unit of measure used in transactions.,General,0,GE02_01,測定単位コード,測定単位のコード,gl-bus:measurableUnitOfMeasure
6,2,Attribute,,Measurement Unit,UOM Name,0..1,Name,,,The designation of the measurement unit used for quantifying materials or other entities.,General,0,GE02_02,測定単位名,測定単位の名称,
7,2,Attribute,,Measurement Unit,UOM Abbreviation,0..1,Char,,,An abbreviation representing the name of a measurement unit.,General,0,GE02_03,測定単位略語,測定単位の名称を表す略語,
8,2,Attribute,,Measurement Unit,Active,0..1,Boolean,,,The flag indicating if a unit of measure is currently employed for tracking and transactions.,General,0,GE02_04,有効インジケータ,測定単位が現在記帳や取引で使用されているかを示すフラグ,
9,1,Class,,Unit Price,,,,,,"A class that specifies the pricing structure of a single unit of a product or service, combining the monetary value with the associated quantity of measurement.",General,0,GE03,【単価】,製品やサービスの単一単位に対する価格構造を指定するクラスで、金銭的価値と関連する測定単位の組み合わせ,
10,2,Composition,,Unit Price,Value,1,,,Amount,The monetary value assigned to one unit of a specified quantity.,General,0,GE03_01,値,指定された数量の1単位に割り当てられた金銭的価値,
11,2,Composition,,Unit Price,Base,1,,,Quantity,The specific quantity or unit measurement associated with the price value.,General,0,GE03_02,基本数量,価格値に関連付けられた基本の数量,
12,1,Class,,Amount,,,,,,A class that specifies a value of money in a given currency.,General,0,GE04,【金額】,特定の通貨での金額を指定するクラス,
13,2,Attribute,,Amount,Value,0..1,Decimal,AMOUNT,,The numerical value representing a sum of money.,General,0,GE04_01,値,金額を表す数値,
14,2,Reference Association,,Amount,,0..1,,,Currency,A class holds information about different currencies.,General,0,GE04_02,通貨,異なる通貨についての情報を保持するクラス,
15,1,Class,,Currency,,,,,,A class holds information about different currencies.,General,0,GE05,【通貨】,異なる通貨についての情報を保持するクラス,
16,2,Attribute,PK,Currency,Code,1..1,Identifier,CURRENCY CODE,,The official code of the currency utilized in the accounting and/or ERP system.,General,0,GE05_01,コード,通貨の公式コード,gl-cor:defaultCurrency
17,2,Attribute,,Currency,Name,0..1,Name,Name Short,,The official name of the currency utilized in the accounting and/or ERP system.,General,0,GE05_02,名称,通貨の公式名称,
18,2,Attribute,,Currency,Minor Unit,0..1,Integer,UNIT,,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,General,0,GE05_03,補助単位,ISO 4217で定義されている通貨単位の小数点以下の桁数,
19,2,Attribute,,Currency,Active,0..1,Boolean,Indicator,,The flag indicating if a currency code is currently accepted for financial transactions.,General,0,GE05_04,有効インジケータ,通貨が現在記帳や取引で使用されているかを示すフラグ,
20,1,Class,,Phone Number,,,,,,Primary phone number of the entity.,gl-bus,0,BU01,【事業体電話番号】,事業体の主要電話番号情報。,
21,2,Attribute,,Phone Number,Description,0..1,Text,,,"Entity Phone Number Description such as Main, Investor relations.",gl-bus,0,BU01_01,事業体電話番号説明,"代表、IR用などの、事業体の電話番号の説明。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他) ",
22,2,Attribute,,Phone Number,Number,0..1,Char,,,Phone number referred to in 'phoneNumberDescription',gl-bus,0,BU01_02,事業体電話番号,phoneNumberDescriptionで示される電話番号。,
23,1,Class,,Fax Number,,,,,,Tuple for holding company fax information.,gl-bus,0,BU02,【事業体FAX番号】,事業体のFAX番号情報のタプル。,
24,2,Attribute,,Fax Number,Usage,0..1,Text,,,"Company fax number usage (e.g. orders, head office, IR)",gl-bus,0,BU02_01,事業体FAX番号用途,事業体のFAX番号の用途。(注文、本社、IRなど),
25,2,Attribute,,Fax Number,Number,0..1,Char,,,Company Fax Number,gl-bus,0,BU02_02,事業体FAX番号,事業体のFAX番号。,
26,1,Class,,Email Address,,,,,,Tuple for holding company email information.,gl-bus,0,BU03,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,
27,2,Attribute,,Email Address,Usage,0..1,Text,,,"Company email address usage (e.g. orders, head office, IR)",gl-bus,0,BU03_01,事業体Eメールアドレス用途,事業体のEメールアドレスの用途。(注文、本社、IRなど),
28,2,Attribute,,Email Address,Address,0..1,Char,,,Company Email Address,gl-bus,0,BU03_02,事業体Eメールアドレス,事業体のEメールアドレス。,
29,1,Class,,Address,,,,,,Address structure for the reporting entity,gl-bus,0,BU04,【住所】,報告事業体の住所構造体。,
30,2,Attribute,,Address,Name,0..1,Name,,,Name of organization used at this address,gl-bus,0,BU04_01,住所名,この住所で使用される組織の名前。,
31,2,Attribute,,Address,Description,0..1,Text,,,"Description of the address, such as Mailing, Physical, Investor Relations, etc.",gl-bus,0,BU04_02,住所説明,住所の説明。郵送先、実体、投資家向けなど。,
32,2,Attribute,,Address,Purpose,0..1,Char,,,"Freeform for codes like shipping, billing, mailing at address level.  Allows identification of multiple purpose addresses for each identifier.",gl-bus,0,BU04_03,住所目的,配送、請求、郵送のような、住所レベルのコードの自由記述。個々の識別子により、住所の用途を識別する。,
33,2,Attribute,,Address,Location Identifier,0..1,Char,,,A code used to identify the location and to associate it with contacts and transactions,gl-bus,0,BU04_04,所在地識別子,位置を識別したり、窓口や取引と関係付けるコード。,
34,2,Attribute,,Address,Building Number,0..1,Char,,,Building Number,gl-bus,0,BU04_05,建物番号,建物番号。,
35,2,Attribute,,Address,Street,0..1,Name,,,Street address,gl-bus,0,BU04_06,通り,住所の通り。,
36,2,Attribute,,Address,Detail,0..1,Name,,,Address Detail,gl-bus,0,BU04_07,住所詳細,住所詳細。,
37,2,Attribute,,Address,City,0..1,Name,,,City or town of the address.,gl-bus,0,BU04_08,都市,住所の都市や町。,
38,2,Attribute,,Address,State or Province,0..1,Name,,,"State, province or region of the address.",gl-bus,0,BU04_09,州,住所の州や地方。,
39,2,Attribute,,Address,Zip or Postal Code,0..1,Char,,,Zip or other postal code of the address.,gl-bus,0,BU04_10,郵便番号,住所の郵便番号。,
40,2,Attribute,,Address,Country,0..1,Char,,,Country of the address.,gl-bus,0,BU04_11,国,住所の国。,
41,2,Attribute,,Address,Active,0..1,Boolean,,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",gl-bus,0,BU04_12,住所有効性,住所が有効か無効かを示すブール値。,
42,1,Class,,Web Site,,,,,,Primary web site of the entity.,gl-bus,0,BU05,【事業体Webサイト】,事業体の代表ウェブサイト。,gl-bus:entityWebSite
43,2,Attribute,,Web Site,Description,0..1,Text,,,Description of the web site.,gl-bus,0,BU05_01,Webサイト説明,ウェブサイトの説明。,gl-bus:webSiteDescription
44,2,Attribute,,Web Site,URL,0..1,Char,,,Valid URL of the web site. Should be full URL.,gl-bus,0,BU05_02,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,gl-bus:webSiteURL
45,1,Class,,Contact,,,,,,Information about contacts.,gl-bus,0,BU06,【担当者情報】,担当者に関する情報。,
46,2,Attribute,,Contact,Prefix,0..1,Char,,,"Prefix (e.g. Dr., Mr., Mrs.)",gl-bus,0,BU06_01,敬称,敬称(Dr.、Mr.、Mrs.など),
47,2,Attribute,,Contact,Last Name,0..1,Name,,,Last or family name,gl-bus,0,BU06_02,姓,姓,
48,2,Attribute,,Contact,First Name,0..1,Name,,,First or given name,gl-bus,0,BU06_03,名,名、クリスチャンネーム,
49,2,Attribute,,Contact,Suffix,0..1,Char,,,"Suffix (e.g. MD, CPA, Jr.)",gl-bus,0,BU06_04,付加名称,付加名称(MD、CPA、Jr.など),
50,2,Attribute,,Contact,Attention Line,0..1,Name,,,Attention Line,gl-bus,0,BU06_05,アテンションライン,アテンションライン,
51,2,Attribute,,Contact,Position/Role,0..1,Name,,,Position or role,gl-bus,0,BU06_06,地位/役職,地位や役職。,
52,2,Attribute,,Contact,Role of Contact,0..1,Name,,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-bus,0,BU06_07,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計士。,
53,2,Attribute,,Contact,Location ID cross reference,0..1,Name,,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-bus,0,BU06_08,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,
54,2,Attribute,,Contact,Active,0..1,Boolean,,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",gl-bus,0,BU06_09,担当者有効性,担当者が有効か無効かを示すブール値。,
55,2,Composition,,Contact,,0..*,,,Phone Number,Contact Phone Number,gl-bus,0,BU06_10,担当者電話番号,担当者の電話番号。,
