Loendi väärtuste loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Loendi API:,https://estat.stat.ee/codelists/codelist/ORGANIZATONDESCRIPTION_enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,ORGANIZATONDESCRIPTION_enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Asutust tuvastava tunnuse kirjeldus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sektsioonide maatriks (tabeli lõpus) näitab, millistesse sektsioonidesse saab olla element sisendiks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD),EE0101001,EE0102001,EE0103001,EE0103002,EE0103003,EE0501001,"EE0201001
*Esitada juhul, kui asutust tuvastav kirjeldus on antud väärtus","EE0201002
*Esitada juhul, kui asutust tuvastav kirjeldus on antud väärtus","EE0202001
*Esitada juhul, kui asutust tuvastav kirjeldus on antud väärtus","EE0203001
*Esitada juhul, kui asutust tuvastav kirjeldus on antud väärtus"
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate,,,,,,,,,,
ARIREGISTRIKOOD,,,,Äriregistrikood,,,,,,,,,,,,,,,,,,,2022-01-01,,Jah,Jah,Jah,Jah,Jah,Jah,Jah*,Jah*,Jah*,Jah*
ISIKUKOOD,,,,Isikukood,,,,,,,,,,,,,,,,,,,2022-01-01,,,,,,,,Jah*,Jah*,Jah*,Jah*
MRR_KOOD,,,,MTA mitteresidendi registri- või isikukood,,,,,,,,,,,,,,,,,,,2022-01-01,,,,,,,,Jah*,Jah*,Jah*,Jah*
TOIMLA_KOOD,,,,Toimla kood,,,SA majutuse sektsioonides tähistab toimla kood SA poolt majutusüksusele väljastatud toimla koodi.,,,,,,,,,,,,,,,,2022-01-01,,,,Jah* - tingimuslik. Võimalusel edastada antud kood lisaks äriregistrikoodile faili päises kaasa.,Jah* - tingimuslik. Võimalusel edastada antud kood lisaks äriregistrikoodile faili päises kaasa.,Jah* - tingimuslik. Võimalusel edastada antud kood lisaks äriregistrikoodile faili päises kaasa.,,,,,
