"Universaalsed üldised andmeväljad, mis esinevad vastavalt vajadusele läbivalt erinevates taksonoomiagruppides:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,"Välja esinemine andmesektsioonides. Osade väljade esinemine on kohustuslik ja osade väljade esinemine sõltub kas andmete esinemisest või teiste andmeväljadega seotud tingimustest. Andmeväljade juurde lisatud kohustuslikku info kehtib juhul, kui perioodi osas või sündmuspõhised andmed esinesid.",Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Välja nimetus,Aegpideva klassifikaatori kood,Viide aegpideva klassifikaatori asukohale,XBRL GL element/elemendi grupp,Selgitus,"EE0101001
Palga- ja tööjõukuluandmed Statistikaametile (SA)","EE0102001
Täiendavad palga- ja tööjõukulu andmed Statistikaametile (SA)","EE0201001
Tööjõumaksude andmed Maksu- ja Tolliametile","EE0201002 
Hüvitisite, toetuste jm väljamaksete andmed Maksu- ja Tolliametile","EE0202001
TÖR andmed Maksu- ja Tolliametile","EE0203001 
Ostu ja müügi tehingute ja toimingute andmed Maksu- ja Tolliametile","EE0103001
Majutatute ja ööbimiste andmed Statistikaametile","EE0103002
Majutusasutuse ruumide ja kohtade andmed Statistikaametile","EE0103003
Majutusasutuse täiendavad andmed Statistikaametile","EE0501001
Majutatute andmed PPA-le","EE0301010 Perioodi saldod (MIKRO)
andmed Äriregistrile","EE0301020 Perioodi saldod (VA. MIKRO)
andmed Äriregistrile","EE0302010
Perioodi käibed andmed Äriregistrile","EE0104001
Ostu- ja müügitehingute ning toimingute andmed Statistikaametile (sektsioonide arv on analüüsimisel*)"
Summa (gl-cor:amount):,,,,,,,,,,,,,,,,,,
Rahasumma,,,gl-cor:amount,"Rahasumma. Esitada kahe komakoha täpsusega.
",Jah,Jah,Jah,Jah,,Jah,,,Jah,,Jah,Jah,Jah,Jah
"Tehingu osapoole andmed (gl-cor:identifierReference). Siin määratakse tehingu osapooled, tööandja, töötaja (edaspidiseks ka ostja, müüja, lepingu partner jne):",,,,,,,,,,,,,,,,,,
Tehingu osapoole kood,,,gl-cor:identifierCode ,"Isikukoodi ette on kohustuslik märkida kahekohaline riigi tähtkood (nt EE, LT, LV). 
Isikukoodi puudumisel märkida mitteresidendi kood (ilma riigi tähtkoodita). Juhul kui isik, kellel ei ole Eesti isikukoodi, töötab Eestis kuni viis päeva, siis talle isikukoodi tarvis ei ole ja väljamaksete deklareerimiseks taotleb tööandja Maksu- ja Tolliametilt töötajale mitteresidendi koodi. Mitteresidendi koodi taotlemiseks tuleb esitada Maksu- ja Tolliametile taotlus mitteresidendist väljamakse saaja Maksu- ja Tolliametis registreerimiseks.
Palgataksonoomia puhul: töötaja isikukood või MTA mitteresidendi kood, juriidilise isiku puhul äriregistrikood või selle puudumisel MTA mitteresidendi kood.
Osapoole koodi puudumisel tuleb esitada (TÖR andmete puhul ning SA-le): eesnimi, perekonnanimi ja sünniaeg (sh SA-le lisaks ka sugu). SUGU2022ap klassifikaator tuleb esitada alati ka mitteresidendikoodi puhul.
KMD puhul siseriiklike tehingute korral tehingupartneri äriregistrikood, isikukood, MTA mitteresidendi kood (KMD) ja ühendusesiseste tehingute korral tehingupartneri KMKR number (VD/VDP).",Jah,,Jah,Jah,Jah,"Jah* - tingimustlik, teatud käibemaksu liikide puhul vajalik esitada kui siseriiklike tehingute korral on tehingupartner juriidiline isik, füüsilisest isikust ettevõtja, riigi-, valla- ja linnaasutus või MTA-s mitteresidendina registreeritud juriidiline isik või kui ühendusesiseste tehingute korral on tehingupartner käibemaksukohustuslane. ",,,,,,,,
Tehingu osapoole koodi täpsustus,IDENTIFIERDESCRIPTION_enum,https://estat.stat.ee/codelists/codelist/IDENTIFIERDESCRIPTION_enum,gl-cor:identifierDescription,"Tehingu osapoole koodi (gl-cor:identifierCode) välja kirjeldus, mis viitab, mis koodiga on tegu (nt äriregistrikoodi puhul on väärtuseks ""ARIREGISTRIKOOD""). Vt täpsemalt IDENTIFIERDESCRIPTION_enum lehel.","Jah* - valikuline.
Võimalikud väärtused:
ISIKUKOOD
MRR_KOOD",,Jah* - valikuline,Jah* - valikuline,Jah* - valikuline,"Jah* - tingimustlik, teatud käibemaksu liikide puhul vajalik esitada kui siseriiklike tehingute korral on tehingupartner juriidiline isik, füüsilisest isikust ettevõtja, riigi-, valla- ja linnaasutus või MTA-s mitteresidendina registreeritud juriidiline isik või kui ühendusesiseste tehingute korral on tehingupartner käibemaksukohustuslane. ",,,,,,,,
Tehingu osapoole kategooria,IDENTIFIERCATEGORY_enum,https://estat.stat.ee/codelists/codelist/IDENTIFIERCATEGORY_enum,gl-cor:identifierCategory,"Antud väli täpsustab tehingu osapoolt. 
KMD puhul eristamaks käibemaksu tehingupartneri gruppe: füüsilised ja juriidilised isikud, sh Eestis koodita mitteresidendid ja teises liikmesriigis käibemaksukohustuslasena registreeritud/registreerimata isikud ning käibemaksugrupi liikmed. Vt täpsemalt IDENTIFIERCATEGORY_enum lehelt.",,,,,,"Jah* - tingimustlik, teatud käibemaksu liikide puhul on müügitehingute puhul vajalik esitada (võimalikud väärtused 1,2). Käibemaksugrupi liikme tehingute deklareerimiseks on vajalik käibemaksugrupi liikme tuvastamiseks kaasa panna ka tunnus 3 (kasutatav ainult käibemaksugrupi korral).",,,,,,,,
Tehingu osapoole eesnimi,,,gl-cor:identifierContactFirstName,"Palgataksonoomia puhul: Eesti isikukoodi puudumisel kuni viiepäevase töötamise korral töötaja eesnimi.

","Jah* - vajalik esitada juhul, kui ""tehingu osapoole kood"" puudub.",,,,"Jah* - vajalik esitada juhul, kui ""tehingu osapoole kood"" puudub.",,,,,Jah,,,,
Tehingu osapoole perekonnanimi,,,gl-cor:identifierContactLastName,"Palgataksonoomia puhul: Eesti isikukoodi puudumisel kuni viiepäevase töötamise korral töötaja perekonnanimi.
","Jah* - vajalik esitada juhul, kui ""tehingu osapoole kood"" puudub.",,,,"Jah* - vajalik esitada juhul, kui ""tehingu osapoole kood"" puudub.",,,,,Jah,,,,
Tehingu osapoole sünniaeg,,,gl-cor:identifierAuthorityVerificationDate,Palgataksonoomia puhul: Eesti isikukoodi puudumisel kuni viiepäevase töötamise korral sünniaeg. Sünniaja välja struktuur: YYYY-MM-DD,"Jah* - vajalik esitada juhul, kui ""tehingu osapoole kood"" puudub.",,,,"Jah* - vajalik esitada juhul, kui ""tehingu osapoole kood"" puudub.",,,,,Jah,,,,
