Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/TKL2017ap,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,TKL2017ap,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Tööjõukulu liigid,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sektsioonide maatriks (tabeli lõpus) näitab, millistesse sektsioonidesse saab olla element sisendiks. Kui Andmekoosseisu lehel on märgitud veel täiendavaid sektsioonide seoseid, kuid neid ei ole eraldi siin lehel välja toodud, siis see tähendab, et klassifikaatori elemendid võivad olla sektsiooni sisendiks täies mahus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antud klassifikaatori puhul on tabeli lõpus lisaks välja toodud ka see, milliste elementidega koos tuleb esitada ajaline info (tunnid/kalendripäevad). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD),"EE0101001
",Element on sisendiks järgnevatele Statistikaameti küsimustikele:,"Koos elemendiga on vajalik esitada lisaks mõõdetav aeg (MOODETAV_AEG).
NB! Palun pöörata tähelepanu, et  tööjõukulu ükski liik ei sisaldu teises. Koodidega A11001 ja A11003 tunnid peavad andma kokku tegelikult töötatud aja ega sisaldu üksteises. ",Mõõdetava aja (MOODETAV_AEG) ühik.
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate,,,,
1,,1,0,Brutopalk koos hüvitistega,Gross wage with benefits,Брутто-зарплата с возмещениями,,,,,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,,,,
A11001,1,2,1,Regulaarne rahaline põhitöötasu,Basic wage or salary,Регулярная денежная основная зарплата,"Töölepingus või õigusaktis kindlaks määratud tasu alusel arvestatud aja- ja tükitööpalgad. NB! Antud elemendiga koos on kohustuslik esitada ka töötunnid (seotult väljaga MOODETAV_AEG), vt täpsemalt XML näidises. ",Time wage and piecework pay calculated based on the remuneration determined in an employment contract or legal acts together with regularly paid bonus. ,Рассчитанные на основании установленной в трудовом договоре или правовом акте оплаты почасовые и сдельные заработные платы.,,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,Jah,"1462 - Palk ja tööjõud
1410 - Mees- ja naistöötajate brutotunnitasu
1089 - Töötasu struktuur
",Jah,Tunnid
A11002,1,2,1,Igakuine lisatasu ja preemia,"Monthly bonus and premium (excl. pay for overtime work, shift work, night shifts, etc.)","Регулярная ежемесячная доплата (за искл. сверхурочной работы, работы по сменам,  в ночные часы и т. п.)","Kõik regulaarselt makstavad lisatasud lisaks põhitöötasule. Regulaarse lisatasu alla kuulub iga kuu makstav preemia ja lisatasu, lisatasu rasketes ja tervistkahjustavates tingimustes töötamise eest, kvalifikatsiooni-, keele- ja staažitasu, kui arvestamise aluseks on tegelikult töötatud aeg. Siia ei kuulu ületunnitasu ega eritasu vahetustega, öötöö ja riigipühal töötamise eest, ebaregulaarsed tasud ja preemiad, mitterahaline tasu, regulaarsed kvartalipreemiad (tulemustasu) ja muud mitteregulaarsed (ühekordsed) preemiad ja lisatasud ning tasu mittetöötatud aja eest.","Regularly paid bonus includes monthly premiums and bonuses, additional remuneration for work in difficult or health damaging conditions, remuneration for qualification, language skills and seniority, if the calculation is based on the time actually worked. This does not include remuneration for overtime hours or special bonus for working in shifts, in night shifts and on public holidays, irregular payments and premiums, in-kind remuneration, regular quarterly premiums (performance pay) and other non-regular (lump sum) premiums and bonuses and payments for days not worked.","Все регулярно выплачиваемые дополнительно к основной зарплате доплаты. К регулярным доплатам относятся выплачиваемые каждый месяц премия и доплата, доплата за работу в тяжелых и вредных для здоровья условиях, плата за квалификацию, владение языком и стаж, если расчет основан на фактически отработанном времени. Сюда не относятся плата за сверхурочную работу и специальная выплата за работу по сменам, в ночные часы и государственные праздники, нерегулярные выплаты и премии, неденежные оплаты, регулярные квартальные премии (оплата по результатам) и прочие нерегулярные (единовременные) премии и доплаты, а также выплаты за неотработанное время.","Regulaarse lisatasu alla kuulub iga kuu makstav preemia ja lisatasu, lisatasu rasketes ja tervistkahjustavates tingimustes töötamise eest, kvalifikatsiooni-, keele- ja staažitasu, kui arvestamise aluseks on tegelikult töötatud aeg.","Regularly paid bonus includes monthly premiums and bonuses, additional remuneration for work in difficult or health damaging conditions, remuneration for qualification, language skills and seniority, if the calculation is based on the time actually worked.","К регулярным доплатам относятся выплачиваемые каждый месяц премия и доплата, доплата за работу в тяжелых и вредных для здоровья условиях, плата за квалификацию, владение языком и стаж, если расчет основан на фактически отработанном времени.",,,,"Siia ei kuulu ületunnitasu ega eritasu vahetustega, öötöö ja riigipühal töötamise eest, ebaregulaarsed tasud ja preemiad, mitterahaline tasu, regulaarsed kvartalipreemiad (tulemustasu) ja muud mitteregulaarsed (ühekordsed) preemiad ja lisatasud ning tasu mittetöötatud aja eest.","This does not include remuneration for overtime hours or special bonus for working in shifts, in night shifts and on public holidays, irregular payments and premiums, in-kind remuneration, regular quarterly premiums (performance pay) and other non-regular (lump sum) premiums and bonuses and payments for days not worked.","Сюда не относятся плата за сверхурочную работу и специальная выплата за работу по сменам, в ночные часы и государственные праздники, нерегулярные выплаты и премии, неденежные оплаты, регулярные квартальные премии (оплата по результатам) и прочие нерегулярные (единовременные) премии и доплаты, а также выплаты за неотработанное время.",EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1410 - Mees- ja naistöötajate brutotunnitasu
1089 - Töötasu struktuur",,
