Väljavõte klassifikaatori elementide loetelust,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/AK2008ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,AK2008ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Ametite klassifikaator,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
13,1,2,0,Põhitegevuse ja valdkondade juhid,Production and Specialized Services Managers,Руководители подразделений в сфере производства и специализированных сервисных услуг,"Põhitegevuse ja valdkondade juhid kavandavad, juhivad ja koordineerivad kaupade tootmist ning ettevõtte või organisatsiooni tegevusvaldkonna tehniliste ja kutseteenuste osutamist kas osakonnajuhataja ülesannetes või ettevõtte või organisatsiooni üldjuhi ülesannetes, juhul, kui ettevõttel või organisatsioonil ei ole hierarhilist juhtkonda. Nad vastutavad tootmise, mäenduse, ehituse, logistika, info- ja kommunikatsioonitehnoloogia, suuremahuliste põllumajandus-, metsandus- ja kalandusprotsesside eest, samuti teenuste osutamise eest tervishoius, hariduses, sotsiaalhoolekandes, panganduses ja kindlustuses ning muude tehniliste ja kutseteenuste osutamise eest.","Production and specialized services managers plan, direct and coordinate the production of the goods and the provision of the specialized professional and technical services provided by an enterprise or organization, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers. They are responsible for manufacturing, mining, construction, logistics, information and communications technology operations for large-scale agricultural, forestry and fisheries operations, and for the provision of health, education, social welfare, banking, insurance and other professional and technical services. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.
Tasks performed by workers in this sub-major group usually include: planning details of activities in terms of output, services provided, quality, quantity, cost, timeliness and labour requirements; setting standards and objectives; controlling the operation of plant and of procedures; assuring quality of the goods produced and services provided; preparing tenders and contract bids; establishing and managing budgets, monitoring costs, and adjusting activities, procedures and resources to minimize costs; overseeing the acquisition and installation of new plant and equipment; coordinating the implementation of health and safety requirements; planning and directing daily operations; overseeing the selection, training and performance of staff; preparing, or arranging for the preparation of, reports, budgets and forecasts; representing the enterprise or organization in negotiations with other agencies, and at conventions, seminars, public hearings and forums.","Руководители подразделений в сфере производства и специализированных сервисных услуг планируют, управляют и координируют производство товаров и предоставление специализированных профессиональных и технических услуг предприятием или организацией, либо в качестве руководителя отдела, либо в качестве генерального управляющего предприятием или организацией, не имеющих иерархической структуры управления. Они несут ответственность за производственную деятельность в обрабатывающей и горнодобывающей промышленности, строительстве, логистике, в сфере разработки и применения информационно-коммуникационных технологий (ИКТ), крупномасштабного сельского, лесного и рыбного хозяйств, а также в области здравоохранения, образования, социального обеспечения, банковских, страховых и других профессиональных и технических услуг. Уровень компетенций большинства занятий, включенных в данную подгруппу, требует квалификации, соответствующей четвертому квалификационному уровню МСКЗ. 
Задачи, выполняемые работниками данной подгруппы, обычно включают в себя: детальное планирование деятельности, касающейся выпуска продукции, предоставляемых услуг, качества, количества, стоимости, своевременности и потребности в рабочей силе; установление стандартов и определение задач; контроль работы оборудования и технологических процессов; обеспечение качества товаров и услуг; подготовку тендеров и контрактных заявок; разработку и управление бюджетами, контроль затрат и корректировку мероприятий, процедур и ресурсов с целью минимизации затрат; надзор за приобретением и установкой новых машин и оборудования; координацию деятельности по охране здоровья и обеспечению безопасности труда; планирование и руководство повседневной деятельностью; контроль подбора, подготовки и использования персонала; подготовку или организацию подготовки отчетов, бюджетов и прогнозов; представительство от имени предприятия или организации в переговорах с другими учреждениями, а также на съездах, семинарах, общественных слушаниях и форумах.","Sellesse all-pearühma kuuluvad ametid on liigitatud järgmistesse allrühmadesse:
131 Põllumajandus-, metsandus- ja kalandusjuhid
132 Töötleva ja mäetööstuse ning ehitus- ja turustusjuhid
133 IKT-juhid
134 Kutseteenuste juhid","Occupations in this sub-major group are classified into the following minor groups:
131 Production Managers in Agriculture, Forestry and Fisheries
132 Manufacturing, Mining, Construction and Distribution Managers
133 Information and Communications Technology Services Managers
134 Professional Services Managers","Занятия данной подгруппы подразделяются на следующие малые группы:
131 Руководители подразделений в сельском, лесном и рыбном хозяйствах
132 Руководители подразделений (управляющие) в промышленности, строительстве, на транспорте и в других сферах
133 Руководители служб и подразделений в сфере информационнокоммуникационных технологий
134 Руководители служб в сфере социальных услуг",,,,,,,,,,,2017-12-01 00:00:00,
134,13,3,0,Kutseteenuste juhid,Professional Services Managers,Руководители служб в сфере социальных услуг,"Kutseteenuste juhid kavandavad, juhivad ja koordineerivad lastehoiu, tervishoiu, hoolekande, hariduse jm kutseteenuste osutamist ning juhatavad finantsvahendus- ja kindlustusteenuseid osutavate institutsioonide filiaale.","Professional services managers plan, direct and coordinate the provision of child care, health, welfare, education and other professional services, and manage the branches of institutions providing financial and insurance services.
Tasks performed usually include: formulating policies and plans for the provision of services and operation of establishments; setting standards and objectives; developing and implementing programmes and services to meet the needs of clients; directing and coordinating the allocation of resources; liaising with parents, boards, funding bodies, the community representatives and related agencies to discuss areas of cooperation and coordination; monitoring and controlling expenditure; overseeing the selection, development and performance of staff; preparing, or arranging for the preparation of, reports, budgets and forecasts; representing the organization in negotiations with other agencies, and at conventions, seminars, public hearings and forums.","Руководители служб и подразделений в сфере образования, здравоохранения и социального обеспечения планируют, управляют и координируют работу по обеспечению ухода за детьми, в сфере здравоохранения, социального обеспечения, образования и других профессиональных услуг, а также управляют филиалами или подразделениями учреждений, предоставляющими финансовые и страховые услуги. 
Выполняемые обязанности работников данной малой группы обычно включают: разработку стратегий и планов по предоставлению услуг и деятельности учреждений; постановку целей и разработку стандартов; разработку и реализацию программ и услуг для удовлетворения потребностей клиентов; руководство и координацию распределения ресурсов; поддержание связей с родителями, органами управления, финансовыми органами, представителями общественности и соответствующими учреждениями для обсуждения вопросов сотрудничества и координации деятельности; мониторинг и контроль расходов; контроль подбора, развития и использования персонала; подготовка или организация подготовки отчетов, бюджетов и прогнозов; представительство от имени организации на переговорах с другими учреждениями, на съездах, семинарах, общественных слушаниях и форумах.","Sellesse allrühma kuuluvad ametid on liigitatud järgmistesse ametirühmadesse:
1341 Lapsehoiuteenuste juhid
1342 Tervishoiuteenuste juhid
1343 Vanurite hooldusteenuste juhid
1344 Sotsiaalhoolekande teenuste juhid
1345 Haridus- ja koolitusteenuste juhid
1346 Finantsvahendus- ja kindlustusteenuste juhid
1349 Kutseteenuste juhid, mujal liigitamata","Occupations in this minor group are classified into the following unit groups:
1341 Child Care Services Managers
1342 Health Services Managers
1343 Aged Care Services Managers
1344 Social Welfare Managers
1345 Education Managers
1346 Financial and Insurance Services Branch Managers
1349 Professional Services Managers Not Elsewhere Classified","Занятия данной малой группы подразделяются на следующие начальные группы:
1341 Руководители служб по работе и уходу за детьми
1342 Руководители служб в сфере здравоохранения
1343 Руководители служб по уходу за престарелыми
1344 Руководители служб в сфере социального обеспечения
1345 Руководители служб и подразделений в сфере образования
1346 Руководители служб и подразделений в сфере финансовой деятельности и страхования
1349 Руководители служб в сфере социальных услуг, не входящие в другие группы",,,,,,,,,,,2017-12-01 00:00:00,
1345,134,4,0,Haridus- ja koolitusteenuste juhid,Education Managers,Руководители служб и подразделений в сфере образования,"Haridus- ja koolitusteenuste juhid kavandavad, juhivad, koordineerivad ja hindavad haridusteenuste, alg- ja keskkoolide, ülikoolide kolledžite, teaduskondade ja osakondade ning teiste haridus- ja koolitusasutuste haridus- ja haldustöö aspekte.
Tööülesanded on:
a) haridusametkondade ja valitsusasutuste poolt kehtestatud raamistikul põhinevate õppekavade kindlaksmääramine;
b) kooli töötulemuste ja õpilaste vastuvõtu jälgimist ja hindamist võimaldavate süsteemide ja kordade kasutuselevõtmine;
c) õpilaste vastuvõtmise ja haridusteenustega seotud haldus- ja kontoritöö tegevuste juhtimine;
d) haldustegevuste, näiteks eelarve planeerimise, aruannete koostamise ning varustusele, seadmetele ja teenustele tehtavate kulude kontrollimine;
e) õpetajate, õppejõudude ja haldustöötajate, samuti õpilaste juhtimine ja juhendamine;
f) õpetajate ja lektorite töö hindamine klassiruumide külastamise, õpetamismeetodite vaatluse, õpieesmärkide analüüsi ja õppematerjalide läbivaatamise teel;
g) õppekava edendamine ning teenuse või asutuse esindamine kogukonnas;
h) haridusrajatiste hoolduse järele valvamine;
i) distsipliinireeglite väljatöötamine ja kehtestamine õpilastele ja õpetajatele ohutu ja õppimist soodustava keskkonna loomiseks;
j) täiendavaks rahastamiseks meetodite leidmine ja kasutamine koostöös lapsevanemate, kogukonnarühmade ja toetajatega;
k) töötajate valiku, väljaõppe ja juhendamise kontrollimine.","Education managers plan, direct, coordinate and evaluate the educational and administrative aspects of education services, primary and secondary schools, colleges and faculties and departments in universities and other educational institutions.
Tasks include –
(a) determining educational programmes based on frameworks established by education authorities and governing bodies;
(b) implementing systems and procedures to monitor school performance and student enrolments;
(c) directing administrative and clerical activities concerning student admissions and educational services;
(d) controlling administrative operations such as budget planning, report preparation, and expenditure on supplies, equipment and services;
(e) providing leadership and guidance to teaching, academic and administrative staff as well as to students;
(f) evaluating the work of teachers and lecturers by visiting classrooms, observing teaching methods, reviewing instructional objectives and examining learning materials;
(g) promoting the educational programme, and representing the service or institution in the wider community;
(h) supervising the maintenance of educational facilities;
(i) developing and enforcing a disciplinary code to create a safe and conducive environment for students and teachers;
(j) organizing and implementing methods of raising additional funds in conjunction with parent and community groups and sponsors;
(k) controlling selection, training and supervision of staff.","Руководители служб и подразделений в сфере образования, планируют, управляют, координируют и оценивают образовательные и административные аспекты предоставления образовательных услуг в начальных и средних школах, колледжах, факультетах и кафедрах в университетах и других учебных заведениях. 
В их обязанности входит: 
(а)  разработка образовательных программ, основанных на стандартах, установленных органами образования и органами управления образованием; 
(б)  внедрение систем и процедур контроля за работой школьников и студентов; 
(в)  управление административной и технической деятельностью, касающейся приема студентов и оказания образовательных услуг; 
(г)  контроль административной деятельности по планированию бюджета, подготовке отчетов и учету расходов на канцелярские принадлежности, оборудование и услуги; 
(д)  выполнение функций руководства для учителей и преподавателей, академического и административного персонала, а также для студентов; 
(е)  оценка работы учителей и преподавателей с помощью показателей посещаемости, изучения методов обучения, оценки методик и целей обучения и изучения учебных материалов; 
(ж)  продвижение образовательных программ и представительство службы или учреждения в обществе в целом; 
(з)  контроль деятельности образовательных учреждений; 
(и)  разработка и обеспечение соблюдения дисциплинарного кодекса для создания безопасной и благоприятной среды для студентов и преподавателей; 
(к)  организация и использование методов привлечения дополнительных средств в союзе с родителями, общественными группами и спонсорами; 
(л)  контроль подбора, обучения и наблюдение за персоналом. ",Dekaan (ülikool); kolledži direktor; koolidirektor; õppealajuhataja,College director; dean (university); head teacher; school principal,Декан (университет); директор колледжа; директор школы; завуч,,,,,,,,,,,2017-12-01 00:00:00,
13450001,1345,5,1,Kolledži direktor,College director,Директор колледжа,,,,,,,,,,,,,,,,,2017-12-01 00:00:00,
2,,1,0,Tippspetsialistid,Professionals,Специалисты-профессионалы,"Tippspetsialistid laiendavad olemasolevaid teadmisi, rakendavad teaduslikke või kunstilisi kontseptsioone ja teooriaid, õpetavad eelnimetatut süstemaatilisel viisil või tegelevad nimetatud tegevuste mis tahes kombinatsiooniga.","Professionals increase the existing stock of knowledge; apply scientific or artistic concepts and theories; teach about the foregoing in a systematic manner; or engage in any combination of these activities. Competent performance in most occupations in this major group requires skills at the fourth ISCO skill level.
Tasks performed by professionals usually include: conducting analysis and research, and developing concepts, theories and operational methods; advising on or applying existing knowledge related to physical sciences, mathematics, engineering and technology, life sciences, medical and health services, social sciences and humanities; teaching the theory and practice of one or more disciplines at different educational levels; teaching and educating persons with learning difficulties or special needs; providing various business, legal and social services; creating and performing works of art; providing spiritual guidance; preparing scientific papers and reports. Supervision of other workers may be included.","Специалисты-профессионалы увеличивают существующий объем знаний, применяют на практике научные и художественные концепции и теории, занимаются систематическим обучением этим знаниям, а также могут сочетать эти виды деятельности в различных комбинациях. Уровень компетенций большинства занятий, включенных в данную основную группу, требует квалификации, соответствующей четвертому квалификационному уровню МСКЗ. 
Обязанности специалистов-профессионалов обычно включают: проведение анализа и научно-исследовательских работ, разработку концепций, теорий и методов; консультирование или применение существующих знаний в области физических наук, математики, техники и технологии, в области наук о жизни, медицинских услуг и услуг в области здравоохранения, общественных и гуманитарных наук; преподавание теории и практики одной или более дисциплин на различных ступенях образования; обучение и воспитание людей, испытывающих затруднения в обучении, или лиц с особыми потребностями; оказание различных деловых, юридических и социальных услуг; создание и исполнение произведений искусства; осуществление духовного наставничества; подготовку научных документов и отчетов. Обязанности могут включать в себя руководство другими работниками.
","Sellesse pearühma kuuluvad ametid on liigitatud järgmistesse all-pearühmadesse:
21 Loodus- ja tehnikateaduste tippspetsialistid
22 Tervishoiu tippspetsialistid
23 Pedagoogika tippspetsialistid
24 Äri ja halduse tippspetsialistid
25 ITK tippspetsialistid
26 Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid","Occupations in this major group are classified into the following sub-major groups:
21 Science and Engineering Professionals
22 Health Professionals
23 Teaching Professionals
24 Business and Administration Professionals
25 Information and Communications Technology Professionals
26 Legal, Social and Cultural Professionals","Занятия данной основной группы подразделяются на следующие подгруппы:
21 Специалисты-профессионалы в области науки и техники
22 Специалисты-профессионалы в области здравоохранения
23 Специалисты-профессионалы в области образования
24 Специалисты-профессионалы в сфере бизнеса и администрирования
25 Специалисты-профессионалы по информационно-коммуникационным технологиям (ИКТ)
26 Специалисты-профессионалы в области права, гуманитарных областей и культуры",,,,,,,,,,,2017-12-01 00:00:00,
