code,qname,name,description
A,uncl_5305:A,Mixed tax rate,Code specifying that the rate is based on mixed tax.
AA,uncl_5305:AA,Lower rate,Tax rate is lower than standard rate.
AB,uncl_5305:AB,Exempt for resale,A tax category code indicating the item is tax exempt when the item is bought for future resale.
AC,uncl_5305:AC,Value Added Tax (VAT) not now due for payment,A code to indicate that the Value Added Tax (VAT) amount which is due on the current invoice is to be paid on receipt of a separate VAT payment request.
AD,uncl_5305:AD,Value Added Tax (VAT) due from a previous invoice,A code to indicate that the Value Added Tax (VAT) amount of a previous invoice is to be paid.
AE,uncl_5305:AE,VAT Reverse Charge,Code specifying that the standard VAT rate is levied from the invoicee.
B,uncl_5305:B,Transferred (VAT),VAT not to be paid to the issuer of the invoice but directly to relevant tax authority.
C,uncl_5305:C,Duty paid by supplier,Duty associated with shipment of goods is paid by the supplier; customer receives goods with duty paid.
D,uncl_5305:D,Value Added Tax (VAT) margin scheme - travel agents,Indication that the VAT margin scheme for travel agents is applied.
E,uncl_5305:E,Exempt from tax,Code specifying that taxes are not applicable.
F,uncl_5305:F,Value Added Tax (VAT) margin scheme - second-hand goods,Indication that the VAT margin scheme for second-hand goods is applied.
G,uncl_5305:G,"Free export item, tax not charged",Code specifying that the item is free export and taxes are not charged.
H,uncl_5305:H,Higher rate,Code specifying a higher rate of duty or tax or fee.
I,uncl_5305:I,Value Added Tax (VAT) margin scheme - works of art,Margin scheme  Works of art Indication that the VAT margin scheme for works of art is applied.
J,uncl_5305:J,Value Added Tax (VAT) margin scheme - collectors items and,antiques Indication that the VAT margin scheme for collectors items and antiques is applied.
K,uncl_5305:K,VAT exempt for EEA intra-community supply of goods and,services A tax category code indicating the item is VAT exempt due to an intra-community supply in the European Economic Area.
L,uncl_5305:L,Canary Islands general indirect tax,"Impuesto General Indirecto Canario (IGIC) is an indirect tax levied on goods and services supplied in the Canary Islands (Spain) by traders and professionals, as well as on import of goods."
M,uncl_5305:M,"Tax for production, services and importation in Ceuta and","Melilla Impuesto sobre la Producción, los Servicios y la Importación (IPSI) is an indirect municipal tax, levied on the production, processing and import of all kinds of movable tangible property, the supply of services and the transfer of immovable property located in the cities of Ceuta and Melilla."
N,uncl_5305:N,standard rate additional VAT,standard VAT calculated for an additional taxable base when the additional taxable base is not included in the document totals
O,uncl_5305:O,Services outside scope of tax,Code specifying that taxes are not applicable to the services.
S,uncl_5305:S,Standard rate,Code specifying the standard rate.
Z,uncl_5305:Z,Zero rated goods,"Code specifying that the goods are at a zero rate. Data Element Cross Reference DataElement 5305 is used in the following Batch Segments: TAX Copyright United Nations, all rights reserved UN Economic Commission for Europe Palais des Nations, CH-1211 Geneva 10, Switzerland Tel: +41-22 917 1366 Fax: +41-22 917 0037 E-mail: TradeMaster@unece.org UN/EDIFACT Directories"
