sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,,,,,,,,,,,
16,1,Abstract Class,,Binary File,,,,,"A computer file or program stored in a binary format used in the AAA (Accounting And Audit) archiving domain.
A computer file or program stored in the AAA (Accounting And Audit) entry binary format.
A computer file stored in binary format for the AAA (Accounting And Audit) journal book.
A computer file stored in a binary format used in the Fisheries Language for Universal eXchange (FLUX).
An identified computer file or program stored in a binary format.
A specified computer file or program stored in a binary format.",Abstract Class,,,UN2002,,,,,,,,,,,,
8606,2,Attribute,,Binary File,Identification, Identifier,,0..1,"The identifier for this AAA archive binary file.
The identifier for this AAA entry binary file.
The identifier for this AAA journal book binary file.
An identifier for this identified binary file.
A unique identifier for this specified binary file.",Abstract Class,,,UN2003_01,5,,,,,,,,,,,
8607,2,Attribute,,Binary File,Title, Text,,0..1,"The title, expressed as text, for this AAA archive binary file.
The title, expressed as text, for this AAA entry binary file.
The title, expressed as text, for this AAA journal book binary file.
The title, expressed as text, for this FLUX binary file.
A title, expressed as text, for this identified binary file.
A title, expressed as text, for this specified binary file.",Abstract Class,,,UN2003_02,6,,,,,,,,,,,
8608,2,Attribute,,Binary File,Author Name, Text,,0..1,"The author name, expressed as text, of this AAA archive binary file.
An author name, expressed as text, of this AAA entry binary file.
An author name, expressed as text, of this AAA journal book binary file.
A name of an author, expressed as text, of this identified binary file.
A name of an author, expressed as text, of this specified binary file.",Abstract Class,,,UN2003_03,5,,,,,,,,,,,
8609,2,Attribute,,Binary File,Version, Identifier,,0..1,"The version identifier for this AAA archive binary file.
The version identifier for this AAA entry binary file.
The version identifier for this AAA journal book binary file.
A version identifier for this identified binary file.
The unique version identifier for this specified binary file.",Abstract Class,,,UN2003_04,5,,,,,,,,,,,
8610,2,Attribute,,Binary File,File Name, Text,,0..1,"The file name, expressed as text, of this AAA archive binary file.
The name, expressed as text, of this AAA entry binary file.
The name, expressed as text, of this AAA journal book binary file.
The file name, expressed as text, of this identified binary file.
The file name, expressed as text, of this specified binary file.",Abstract Class,,,UN2003_05,5,,,,,,,,,,,
8611,2,Attribute,,Binary File,Included, Binary Object,,0..1,"The included binary object for this AAA archive binary file.
A binary object included in this AAA entry binary file.
A binary object included in this AAA journal book binary file.
The included binary object for this FLUX binary file.
The included binary object for this identified binary file.
A binary object included in this specified binary file.",Abstract Class,,,UN2003_06,6,,,,,,,,,,,
8612,2,Attribute,,Binary File,Access, Text,,0..1,"The access information, expressed as text, for this AAA archive binary file, such as security and download parameters.
The access information, expressed as text, for this AAA entry binary file such as security and download parameters.
The access information, expressed as text, for this AAA journal book binary file, such as security and download parameters.
Access information, expressed as text, for this identified binary file, such as security and download parameters.
Access information, expressed as text, for this specified binary file, such as security and download parameters.",Abstract Class,,,UN2003_07,5,,,,,,,,,,,
8613,2,Attribute,,Binary File,Description, Text,,0..1,"The textual description of this AAA archive binary file.
The textual description of this AAA entry binary file.
The textual description of this AAA journal book binary file.
The textual description of this FLUX binary file.
A textual description of this identified binary file.
A textual description of this specified binary file.",Abstract Class,,,UN2003_08,6,,,,,,,,,,,
8614,2,Attribute,,Binary File,Size, Measure,,0..1,"The measure of the size of this AAA archive binary file.
The measure of the size of this AAA entry binary file.
The measure of the size of this AAA journal book binary file.
The measure of the size of this FLUX binary file.
The measure of the size of this identified binary file.
The measure of the size of this specified binary file.",Abstract Class,,,UN2003_09,6,,,,,,,,,,,
36,1,Abstract Class,,Certificate,,,,,"Legal proof of ownership or worthiness of an AAA (Accounting And Audit) archive.
The AAA (Accounting And Audit) wrap label delivered by a trusted third party to assess the compliance of a product or a service with an agreed standard.
A legal proof of ownership, worthiness or qualification to operate an agricultural item.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence about the identity of an animal or a batch of animals.
The label delivered by a trusted third party to assess the compliance of a product or a service with an agreed standard.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence about the product.
A proof related to the Rapid Alert System for Food and Feed (RASFF).
A piece of written, printed or electronic matter that provides information or evidence that an organization has met required organizational criteria.
A piece of written, printed or electronic matter that provides information or evidence that a process has met required criteria.
A piece of written, printed or electronic matter that provides information or evidence that a product batch has met required criteria.
A document issued by a government, public organization or association to certify a property of a person, entity, process or object.",Abstract Class,,,UN2004,,,,,,,,,,,,
