Term,General description
Binary File,"A computer file or program stored in a binary format."
Certificate,"A document or data record that provides official evidence of ownership, identity, qualification, or compliance with stated criteria."
Document,"Written, printed, or electronic matter (and its associated data) that provides information or evidence and may be exchanged or stored."
Location,"A physical place that may be specified, referenced, or used for an activity, process, or purpose."
Note,"A textual or coded remark or additional information."
Party,"An individual, group, or organisation that has a role in a business or administrative context."
Software,"Computer programs and related operating information used to perform tasks or support processes."
Accounting Account,"An account used to record and classify debits and credits for accounting purposes."
Contact,"A person, department, or point of contact for communication between parties."
Financial Account,"An arrangement or account in which monetary debits and credits from transactions are recorded."
Financial Institution,"An organisation that provides financial services and processes financial transactions."
Organization,"A structured entity (e.g., business, public body, charity) that acts as a legal or operational unit."
Person,"An individual human being with a specified role or responsibility."
Report,"A compilation of information presented to inform, evidence, or document results, status, or performance."
Tax,"A compulsory levy or duty imposed by an authority, or the amounts and system used to calculate it."
Payment,"The discharge of an obligation by transferring funds or securities between parties."
Address,"Information that specifies where a person or organisation may be reached (physical or postal)."
Communication,"The exchange of messages or information between persons and/or organisations, including contact details enabling that exchange."
Period,"A span of time defined by a start and end point (dates and/or times)."
Process,"A sequence of operations or events that produces, transforms, handles, or disposes of something."
Product,"A good or service produced by human or natural effort, or treated as a tradeable deliverable."
Instructions,"Information that tells someone how to handle, perform, control, or respond to a situation or activity."
Country Sub-Division,"An administrative or geographic region within a country (e.g., state, province, county)."
Material,"A substance or matter used as an input, output, or waste in a process."
Characteristic,"A defining attribute or property of an object, process, organisation, or item."
Contract,"An agreement between parties, typically enforceable by law, that defines obligations and terms."
Event,"An occurrence or happening at a particular time, often significant to a process, movement, or record."
Batch,"A group of items (e.g., animals, products, substances) treated or managed together."
Identity,"Information that uniquely identifies an entity, object, record, or item."
Trade Delivery,"Shipping arrangements and movement information for delivering goods or services."
Package,"A self-contained wrapping or container used to hold or transport goods."
Status,"Information indicating the condition, state, or stage of something."
Measurement,"A quantified value (or range) determined by measuring a property such as mass, volume, or temperature."
Geographical Coordinate,"Latitude/longitude (and optionally altitude) that identifies a position on the Earth."
Price,"A monetary amount at which something is or may be bought, sold, or charged."
Facility,"A place, structure, or space designed to provide services or support activities."
Registration,"The process and recorded information for enrolment or official entry in a register."
Trade Agreement,"Contractual terms governing a trade relationship or transaction."
Trade Transaction,"A set of related trade activities and information, including agreement, delivery, and settlement aspects."
Trade Line Item,"Information specific to a single item or line within a trade document or transaction."
Trade Settlement,"Information enabling financial reconciliation and settlement of a trade transaction."
Monetary Summation,"A set of monetary totals and subtotals summarising amounts for a document or settlement."
Balance Out,"Offset information ensuring totals (such as debits and credits) reconcile to zero difference."
Adjustment,"A correction or modification made to reflect actual conditions or resolve discrepancies."
Parameter,"A fixed or specified condition/value that defines how something operates or is interpreted in context."
Temperature,"A temperature value or range, often specifying required conditions for handling or storage."
Transport Equipment,"Equipment used to contain, protect, secure, or carry cargo during transport."
Transport Means,"A vehicle or conveyance used to move people or goods (e.g., truck, ship)."
Transport Movement,"The physical carriage or conveyance of goods or objects from one place to another."
Classification,"A systematic arrangement into categories based on defined criteria."
Country,"A geopolitical area (nation) that may be specified or referenced for trade or administrative purposes."
Currency Exchange,"Conversion of one currency to another and the related exchange-rate information."
Route,"A way or course taken from one location to another."
Complex Description,"An aggregation of descriptive characteristics that together define a complex profile or specification."
Query,"A formal request for information or data retrieval."
Certification,"The process of confirming, by assessment, that an item, process, or organisation meets specified requirements."
