code,qname,name,description
1,uncl_4461:_1,Instrument not defined,Not defined legally enforceable agreement between two or more parties (expressing a contractual right or a right to the payment of money).
2,uncl_4461:_2,Automated clearing house credit,A credit transaction made through the automated clearing house system.
3,uncl_4461:_3,Automated clearing house debit,A debit transaction made through the automated clearing house system.
4,uncl_4461:_4,ACH demand debit reversal,A request to reverse an ACH debit transaction to a demand deposit account.
5,uncl_4461:_5,ACH demand credit reversal,A request to reverse a credit transaction to a demand deposit account.
6,uncl_4461:_6,ACH demand credit,A credit transaction made through the ACH system to a demand deposit account.
7,uncl_4461:_7,ACH demand debit,A debit transaction made through the ACH system to a demand deposit account.
8,uncl_4461:_8,Hold,Indicates that the bank should hold the payment for collection by the beneficiary or other instructions.
9,uncl_4461:_9,National or regional clearing,Indicates that the payment should be made using the national or regional clearing.
10,uncl_4461:_10,In cash,"Payment by currency (including bills and coins) in circulation, including checking account deposits."
11,uncl_4461:_11,ACH savings credit reversal,A request to reverse an ACH credit transaction to a savings account.
12,uncl_4461:_12,ACH savings debit reversal,A request to reverse an ACH debit transaction to a savings account.
13,uncl_4461:_13,ACH savings credit,A credit transaction made through the ACH system to a savings account.
14,uncl_4461:_14,ACH savings debit,A debit transaction made through the ACH system to a savings account.
15,uncl_4461:_15,Bookentry credit,A credit entry between two accounts at the same bank branch. Synonym: house credit.
16,uncl_4461:_16,Bookentry debit,A debit entry between two accounts at the same bank branch. Synonym: house debit.
17,uncl_4461:_17,ACH demand cash concentration/disbursement (CCD) credit,A credit transaction made through the ACH system to a demand deposit account using the CCD payment format.
18,uncl_4461:_18,ACH demand cash concentration/disbursement (CCD) debit,A debit transaction made through the ACH system to a demand deposit account using the CCD payment format.
19,uncl_4461:_19,ACH demand corporate trade payment (CTP) credit,A credit transaction made through the ACH system to a demand deposit account using the CTP payment format.
20,uncl_4461:_20,Cheque,Payment by a pre-printed form on which instructions are given to an account holder (a bank or building society) to pay a stated sum to a named recipient.
21,uncl_4461:_21,Banker's draft,Issue of a banker's draft in payment of the funds.
22,uncl_4461:_22,Certified banker's draft,Cheque drawn by a bank on itself or its agent. A person who owes money to another buys the draft from a bank for cash and hands it to the creditor who need have no fear that it might be dishonoured.
23,uncl_4461:_23,Bank cheque (issued by a banking or similar establishment),"Payment by a pre-printed form, which has been completed by a financial institution, on which instructions are given to an account holder (a bank or building society) to pay a stated sum to a named recipient."
24,uncl_4461:_24,Bill of exchange awaiting acceptance,Bill drawn by the creditor on the debtor but not yet accepted by the debtor.
25,uncl_4461:_25,Certified cheque,Payment by a pre-printed form stamped with the paying bank's certification on which instructions are given to an account holder (a bank or building society) to pay a stated sum to a named recipient .
26,uncl_4461:_26,Local cheque,Indicates that the cheque is given local to the recipient.
27,uncl_4461:_27,ACH demand corporate trade payment (CTP) debit,A debit transaction made through the ACH system to a demand deposit account using the CTP payment format.
