version,sme_nr,mbie_nr,level,identifier,UNID,acronym,class_term,sequence,multiplicity,multiplicity_SME,property_term,representation_term,associated_class,short_name,definition,label_local,definition_local,code_list,attribute,DEN,name,element,xpath
v1,298,1799,1,,UN01003138,ABIE,Branch_ Financial Institution,0,,,,,,Branch Financial Institution,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.",金融機関支店クラス,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,,,Branch_ Financial Institution. Details,PaymentMeansPayeeCreditorBranchFinancialInstitutionDetails,BranchFinancialInstitution,
v1,299,1800,2,,UN01003139,BBIE,Branch_ Financial Institution,1,0..1,0..1,Identification,Identifier,,ID,The unique identifier for this branch of a financial institution.,金融機関支店番号,金融機関のこの支店の一意ID,,,Branch_ Financial Institution. Identification. Identifier,PaymentMeansPayeeCreditorSub-DivisionBranchFinancialInstitutionID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution/ID
v1,300,1801,2,,UN01003140,BBIE,Branch_ Financial Institution,2,0..1,0..1,Name,Text,,Name,"The name, expressed as text, for this branch of a financial institution.",金融機関支店名,金融機関のこの支店の、文字で表現された名前,,,Branch_ Financial Institution. Name. Text,PaymentMeansPayeeCreditorSub-DivisionBranchFinancialInstitutionName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution/Name
,,1802,,,UN01003141,ASBIE,Branch_ Financial Institution,1,0..1,0..0,Location,,Financial Institution_ Address,Address,The location address for this branch of a financial institution.,,,,,Branch_ Financial Institution. Location. Financial Institution_ Address,,LocationAddress,
v1,29,2179,1,,UN01005861,ASMA,CIIH_ Exchanged_ Document,0,,,,,,CIIH Exchanged Document,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",インボイス文書クラス,インボイス文書に関する情報項目のクラス,,,CIIH_ Exchanged_ Document. Details,SMEConsolidatedSelfInvoiceExchangedDocumentDetails,CIIHExchangedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument
v1/v3,30,2180,2,PK,UN01005862,BBIE,CIIH_ Exchanged_ Document,1,1..1,1..1,Identification,Identifier,,ID,The unique identifier of this CIIH exchanged document.,インボイス文書ID,インボイス文書を識別する文書ID,,,CIIH_ Exchanged_ Document. Identification. Identifier,ExchangedDocumentID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ID
v1,31,2181,2,,UN01005863,BBIE,CIIH_ Exchanged_ Document,2,0..n,0..1,Name,Text,,Name,"A name, expressed as text, of this CIIH exchanged document.",インボイス文書名,インボイス文書の文書名称,,,CIIH_ Exchanged_ Document. Name. Text,ExchangedDocumentName,Name,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/Name
v1,32,2182,2,,UN01005864,BBIE,CIIH_ Exchanged_ Document,3,0..1,0..1,Type,Code,,Type Code,The code specifying the type of CIIH exchanged document.,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",UNCL1001,,CIIH_ Exchanged_ Document. Type. Code,ExchangedDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/TypeCode
v1/v3,33,2183,2,,UN01005865,BBIE,CIIH_ Exchanged_ Document,4,1..1,1..1,Issue,Date Time,,Issue Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,日時様式 ISO8601,,CIIH_ Exchanged_ Document. Issue. Date Time,ExchangedDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IssueDateTime
,,2184,,,UN01005866,BBIE,CIIH_ Exchanged_ Document,5,0..1,0..0,Copy,Indicator,,Copy Indicator,The indication of whether or not this CIIH exchanged document is a copy.,,,UNCL4366,,CIIH_ Exchanged_ Document. Copy. Indicator,,CopyIndicator,
,,2185,,,UN01005867,BBIE,CIIH_ Exchanged_ Document,6,0..1,0..0,Purpose,Text,,Purpose Text,"The purpose, expressed as text, of this CIIH exchanged document.",,,UNCL1160,,CIIH_ Exchanged_ Document. Purpose. Text,,PurposeText,
v4.3,34,2186,2,,UN01005868,BBIE,CIIH_ Exchanged_ Document,7,0..n,0..1,Language,Identifier,,Language Code,A unique identifier for a language used in this CIIH exchanged document.,インボイス文書言語ID,インボイス文書が使用する言語のID,"言語コード
ISO639",,CIIH_ Exchanged_ Document. Language. Identifier,ExchangedDocumentLanguageID,LanguageID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/LanguageID
