version,sequence,UNID,acronym,level,label_local,type,depth,name,multiplicity,definition_local,DEN,definition,code_list,xpath
v4.3,1,,MA,0,コア仕入明細（検収）書,,,SMECoreSelfInvoice,－,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）,SME_ Core Self Invoice,,,/SMECoreSelfInvoice
v1,2,UN01005479,ASMA,1,取引設定クラス,,,,0..1,メッセージの設定内容に関する情報からなるクラス,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",,
v1,3,UN01005480,BBIE,2,取引ID,field,1,ExchangedDocumentContextTransactionID,0..1,メッセージがやり取りされる取引識別番号,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,The identifier of a specified transaction in this CI exchanged document context.,,/SMECoreSelfInvoice/CIExchangedDocumentContext/SpecifiedTransactionID
v1/v2,4,UN01012746,BBIE,2,処理日時,field,1,ExchangedDocumentContextTransactionDateTime,0..1,メッセージがやり取りされる日時,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/ProcessingTransactionDateTime
v1,5,UN01005481,ASBIE,2,取引設定内容/取引プロセスグループ,,,,1..1,取引設定内容の取引プロセスに関する情報,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,A business process CI document context parameter specified for this CI exchanged document context.,,
v1,7,UN01005472,BBIE,3,取引プロセスID,field,1,ExchangedBusinessProcessDocumentContextParameterID,0..1,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,JECxxxx,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/ID
v1,8,UN01005473,BBIE,3,取引プロセス名,field,1,ExchangedBusinessProcessDocumentContextParameterValueText,0..1,取引プロセスの名称,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/Value
v1,9,UN01005474,ASBIE,3,取引プロセス/バージョングループ,,,,1..1,取引プロセスのバージョンに関する情報,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,,
v1,11,UN01005476,BBIE,4,バージョンID,field,1,BusinessProcessContextParameterDocumentVersionID,0..1,取引プロセスのバージョン識別番号,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,12,UN01005478,BBIE,4,バージョン発行日,field,1,BusinessProcessContextParameterDocumentVersionIssueDateTime,0..1,取引プロセスのバージョン発行日,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
