version,sme_nr,mbie_nr,level,property_type,class_term,sequence,multiplicity,multiplicity_sme,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,label_sme,label_csv,definition_sme,label_ja,definition_ja,UNID,acronym,DEN,definition,short_name,element,XML_element_name
v1,301.0,1799,1,Class,Branch_ Financial Institution (Applicable/Specified/Payee_ Specified/Sub-Division),,,,,,,,ram:BranchFinancialInstitutionType,,,,金融機関支店クラス,金融機関支店クラス,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,支店金融機関,銀行、住宅金融組合、信用組合、証券会社、または類似の事業における部門。主に金融サービスおよび金融取引を提供するために設立される。,UN01003138,ABIE,Branch_ Financial Institution. Details,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.",Branch Financial Institution,,
v1,302.0,1800,2,Attribute,Branch_ Financial Institution (Applicable/Specified/Payee_ Specified/Sub-Division),1,0..1,0..1,PK,Identification,Identifier,D24A TDED 3433 Institution name code <Code specifying the name of an institution.> (an..11) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3433.htm,udt:IDType,,,,金融機関支店番号,金融機関支店番号,金融機関のこの支店の一意ID,ID,金融機関の支店を識別する固有の識別子。,UN01003139,BBIE,Branch_ Financial Institution. Identification. Identifier,The unique identifier for this branch of a financial institution.,ID,ID,ID
v1,303.0,1801,2,Attribute,Branch_ Financial Institution (Applicable/Specified/Payee_ Specified/Sub-Division),2,0..1,0..1,,Name,Text,D24A TDED 3432 Institution name <Name of an institution.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3432.htm,udt:TextType,,,,金融機関支店名,金融機関支店名,金融機関のこの支店の、文字で表現された名前,名前,金融機関の支店の名称（テキスト表記）。,UN01003140,BBIE,Branch_ Financial Institution. Name. Text,"The name, expressed as text, for this branch of a financial institution.",Name,Name,Name
,,1802,,Composition,Branch_ Financial Institution (Applicable/Specified/Payee_ Specified/Sub-Division),1,0..1,0..0,,,,,,Financial Institution_ Address (Location),,,,,,,,UN01003141,ASBIE,Branch_ Financial Institution. Location. Financial Institution_ Address,The location address for this branch of a financial institution.,Address,LocationAddress,
v1,29.0,2179,1,Class,CIIH_ Exchanged_ Document,,,,,,,,ram:CIIHExchangedDocumentType,,,,インボイス文書グループ,インボイス文書,インボイス文書に関する情報項目のグループ,CIIH交換文書,書面、印刷物、または電子形式で2つ以上の事業者間で交換される、インボイスヘッダのデータ集合。,UN01005861,ABIE,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,CIIHExchangedDocument,CIIHExchangedDocument
v1/v3,30.0,2180,2,Attribute,CIIH_ Exchanged_ Document,1,1..1,1..1,PK,Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,インボイス文書ID,インボイス文書ID,インボイス文書を識別する文書ID,ID,CIIHの取引文書の固有識別子。,UN01005862,BBIE,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,ID,ID,ID
v1,31.0,2181,2,Attribute,CIIH_ Exchanged_ Document,2,0..n,0..1,,Name,Text,D24A TDED 1000 Document name <Name of a document.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1000.htm,udt:TextType,,,,インボイス文書名,インボイス文書名,インボイス文書の文書名称,名前,CIIHの取引文書の名称（テキストで表現）。,UN01005863,BBIE,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",Name,Name,Name
v1,32.0,2182,2,Attribute,CIIH_ Exchanged_ Document,3,0..1,0..1,,Type,Invoice_ Document_ Code,UNCL1001 D24Aと一致. / UNTDED 1001 Document name code <Code specifying the document name.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1001.htm | XMLSchema /uncefact/codelist/standard/UNECE_DocumentNameCode_Invoice_D23A.xsd,qdt:InvoiceDocumentCodeType,,,,インボイス文書タイプコード,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",タイプコード,交換されるCIIHの文書の種類を指定するコード。,UN01005864,BBIE,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,Type Code,TypeCode,TypeCode
v1/v3,33.0,2183,2,Attribute,CIIH_ Exchanged_ Document,4,1..1,1..1,,Issue,Date Time,"日時様式 ISO8601 / D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf",udt:DateTimeType,,,,インボイス文書発効日,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,発行日時,CIIHの取引文書の発行日、時刻、日付時刻、またはその他の日付時刻値。,UN01005865,BBIE,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Issue Date Time,IssueDateTime,IssueDateTime
,,2184,,Attribute,CIIH_ Exchanged_ Document,5,0..1,0..0,,Copy,Indicator,TDED4366,,,,,,,,,,UN01005866,BBIE,CIIH_ Exchanged_ Document. Copy. Indicator,The indication of whether or not this CIIH exchanged document is a copy.,Copy Indicator,CopyIndicator,
