nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_sme,label_csv,definition_sme,multiplicity_sme,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,accounting,JP PINT v1.0,Id,Business Term,Card.
,,JP00000000,MA,SME_ Consolidated Self Invoice,,,,,,,,,,,,,,統合仕入明細書,統合仕入明細（検収）書,発注者が受注者に交付する統合仕入明細文書（メッセージ）,1..1,,,v4/v4.3,,,,,,,,,,,,,,
2,ヘッダ部,JPSxxxxxxxx,ASMA,,SME_ Consolidated Self Invoice. Specified. CI_ Exchanged Document_ Context,,,,,,,,,,,,,取引設定グループ,,メッセージの設定内容に関する情報からなるグループ,0..1,,,v1,,　 ,  　 , 　 ,,△,△,△,△,,,,,
,,UN01005479,ABIE,,CI_ Exchanged Document_ Context. Details,,,,,,,,,,,,,取引設定クラス,,メッセージの設定内容に関する情報からなるグループ,,,,v1,,,,,,,,,,,,,,
3,ヘッダ部,UN01005480,BBIE,,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,,,,,,,,,,,,取引ID,取引ID,メッセージがやり取りされる取引識別番号,0..1,,,v1,, 　 ,  　 , 　 ,,△,△,△,△,,,,,
4,ヘッダ部,UN01012746,BBIE,,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,,,,,,,,,,,,処理日時,処理日時,メッセージがやり取りされる日時,0..1,,,v1/v2,,, , 　 ,,△,△,△,△,,,,,
,,UN01005481,ASBIE,,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,取引設定内容/取引プロセスグループ,,取引設定内容の取引プロセスに関する情報,1..1,,,v1,,,,,,,,,,,,,,
,,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引プロセス設定クラス,,取引プロセスに関する情報のクラス,,,,v1,,,,,,,,,,,,,,
7,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引プロセスID,取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",0..1,,,v1,JECxxxx D24A定義なし,JEC,"ID値
固定入力",SMEConsolidatedSelfInvoice,,△,△,△,△,,☆,IBT-023,> Business process type,1..1
8,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引プロセス名,取引プロセス名,取引プロセスの名称,0..1,,,v1,,, 　 , 　 ,,△,△,△,△,,,,,
,,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,取引プロセス/バージョングループ,,取引プロセスのバージョンに関する情報,1..1,,,v1,,,,,,,,,,,,,,
,,UN01005475,ABIE,,,,CI_ Document_ Version. Details,,,,,,,,,,,バージョンクラス,,バージョンに関する情報のクラス,,,,v1,,,,,,,,,,,,,,
11,ヘッダ部,UN01005476,BBIE,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,,バージョンID,取引プロセスバージョンID,取引プロセスのバージョン識別番号,0..1,,,v1,, ,"ID値
固定入力",v4.3　,,△,△,△,△,,☆,IBT-024,> Specification identifier,1..1
12,ヘッダ部,UN01005478,BBIE,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,,バージョン発行日,取引プロセスバージョン発行日,取引プロセスのバージョン発行日,0..1,,,v1,,, 　 , 　 ,,△,△,△,△,,,,,
,,UN01005483,ASBIE,,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,取引設定内容/取引シナリオグループ,,取引設定内容の取引シナリオに関する情報,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引シナリオ設定クラス,,取引シナリオに関する情報のクラス,,,,v1,,,,,,,,,,,,,,
15,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引シナリオID,取引シナリオID,取引シナリオの識別番号,0..1,,,v1,,     ,,,,△,△,△,△,,,,,
16,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引シナリオ名,取引シナリオ名,取引シナリオの名称,0..1,,,v1,,,,,,△,△,△,△,,,,,
,,UN01005484,ASBIE,,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,取引設定内容/アプリケーショングループ,,取引設定内容のアプリケーションに関する情報,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,アプリケーション設定クラス,,アプリケーションに関する情報のクラス,,,,v1,,,,,,,,,,,,,,
19,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,アプリケーションID,アプリケーションID,"業務アプリケーションが実装する業界・業種識別番号
標準仕様書３．１．２項、および１１．３節を参照",0..1,,,v1,,     ,,,,△,△,△,△,,,,,
20,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,アプリケーション名,アプリケーション名,業務アプリケーションが実装する業界・業種名称,0..1,,,v1,,, 　 , 　 ,,△,△,△,△,,,,,
,,UN01005486,ASBIE,,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,取引設定内容/ドメイングループ,,取引設定内容のドメインの情報に関する情報,1..1,,,v1,,,,,,,,,,,,,,
,,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,ドメイン設定クラス,,JEC業界横断EDIメッセージドメインに関する情報のクラス,,,,v1,,,,,,,,,,,,,,
23,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,ドメインID,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",0..1,,,v1,JECxxxx D24A定義なし,JEC,"ID値
固定入力",JPSSMED,,△,△,△,△,,,,,
24,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,ドメイン名,ドメイン名,SIPSが付与したメッセージドメイン名称,0..1,,,v1,,, 　 , 　 ,,△,△,△,△,,,,,
,,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,ドメイン/バージョングループ,,ドメインのバージョンに関する情報,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005475,ABIE,,,,CI_ Document_ Version. Details,,,,,,,,,,,バージョンクラス,,バージョンに関する情報のクラス,,,,v1,,,,,,,,,,,,,,
27,ヘッダ部,UN01005476,BBIE,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,,バージョンID,バージョンID,ドメインのバージョン識別番号,0..1,,,v1,,     ,, 　 ,,△,△,△,△,,,,,
28,ヘッダ部,UN01005478,BBIE,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,,バージョン発行日,バージョン発行日,ドメインのバージョン発行日,0..1,,,v1,,, 　 , 　 ,,△,△,△,△,,,,,
29,ヘッダ部,JPSxxxxxxxx,ASMA,,SME_ Consolidated Self Invoice. Specified. CIIH_ Exchanged_ Document,,,,,,,,,,,,,インボイス文書グループ,,インボイス文書に関する情報項目のグループ,1..1,,,v1,,　 , 　 , 　 ,,○,○,○,○,,,,,
,,UN01005861,ABIE,,CIIH_ Exchanged_ Document. Details,,,,,,,,,,,,,文書情報クラス,,インボイス文書に関する情報項目のグループ,,,,v1,,,,,,,,,,,,,,
30,ヘッダ部,UN01005862,BBIE,,,CIIH_ Exchanged_ Document. Identification. Identifier,,,,,,,,,,,,インボイス文書ID,インボイス文書ID,インボイス文書を識別する文書ID,1..1,,,v1/v3,TDED1004,　 , 　 , 　 ,156,○,○,○,○,,☆,IBT-001,Invoice number,1..1
31,ヘッダ部,UN01005863,BBIE,,,CIIH_ Exchanged_ Document. Name. Text,,,,,,,,,,,,インボイス文書名,インボイス文書名,インボイス文書の文書名称,0..1,,,v1,TDED1000,,  ,     ,請求書,●,●,●,●,,,     ,     ,     
32,ヘッダ部,UN01005864,BBIE,,,CIIH_ Exchanged_ Document. Type. Code,,,,,,,,,,,,インボイス文書タイプコード,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",0..1,,,v1,TDED1001,UN/CEFACT,"コード値
選択入力","デフォルト＝385
（統合請求書）",380,●,●,●,●,,☆,IBT-003,Invoice type code,1..1
33,ヘッダ部,UN01005865,BBIE,,,CIIH_ Exchanged_ Document. Issue. Date Time,,,,,,,,,,,,インボイス文書発効日,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1..1,,,v1/v3,TDED2007,ISO,  ,YYYY-MM-DD,45223,○,○,○,○,,☆,IBT-002,Invoice issue date,1..1
34,ヘッダ部,UN01005868,BBIE,,,CIIH_ Exchanged_ Document. Language. Identifier,,,,,,,,,,,,インボイス文書言語ID,インボイス文書言語ID,インボイス文書が使用する言語のID,0..1,,,v4.3,TDED3453,ISO,"コード値
選択入力","デフォルト
＝JP",,●,●,●,●,,,,,
35,ヘッダ部,UN01005869,BBIE,,,CIIH_ Exchanged_ Document. Purpose. Code,,,,,,,,,,,,インボイス文書目的コード,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,0..1,,,v2,TDED1225,UN/CEFACT,"コード値
選択入力",デフォルト＝９（新規）,,▼,▼,▼,▼,,,,,
36,ヘッダ部,UN01005874,BBIE,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,,,,,,,,,,,,インボイス文書履歴ID,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,0..1,,,v4,TDED1004,  ,  ,  ,,▼,▼,▼,▼,,,,,
37,ヘッダ部,UN01005875,BBIE,,,CIIH_ Exchanged_ Document. Category. Code,,,,,,,,,,,,インボイス文書類型コード,インボイス文書類型コード,,0..1,,,v4,TDED1003,JEC,"コード値
選択入力","デフォルト＝3
（日本円取引）",,＊,＊,＊,＊,,,,,
38,ヘッダ部,UN01014636,BBIE,,,CIIH_ Exchanged_ Document. Subtype. Code,,,,,,,,,,,,インボイス文書サブタイプコード,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",0..1,,,v4,,JEC,"コード値
選択入力","デフォルト＝38501
（統合請求書）",,●,●,●,●,,,,,
,,UN01005876,ASBIE,,,CIIH_ Exchanged_ Document. Included. CI_ Note,,,,,,,,,,,,文書情報注釈グループ,インボイス文書注釈,インボイス文書に含まれる注釈。,0..n,,,v1,,,,,,,,,,,,,,
,,UN01005557,ABIE,,,CI_ Note. Details,,,,,,,,,,,,文書情報注釈クラス,,インボイス文書の注釈を記述するためのクラス,,,,v1,,,,,,,,,,,,,,
41,ヘッダ部,UN01005558,BBIE,,,,CI_ Note. Subject. Text,,,,,,,,,,,インボイス文書注釈表題,インボイス文書注釈表題,注釈内容の表題を示す。,0..1,,,v1,,,  ,  ,,＊,＊,＊,＊,,,,,
42,ヘッダ部,UN01005560,BBIE,,,,CI_ Note. Content. Text,,,,,,,,,,,インボイス文書注釈内容,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,0..1,,,v1,D24A TDED 4440 Free text <Free form text.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred4440.htm,,  ,  ,,＊,＊,＊,＊,,★,IBT-022,Invoice note,0..1
43,ヘッダ部,UN01005562,BBIE,,,,CI_ Note. Identification. Identifier,,,,,,,,,,,インボイス文書注釈ID,インボイス文書注釈ID,注釈の識別ID,0..1,,,v1,,  ,  ,  ,,△,△,△,△,,,,,
