version,sme_nr,UNID,acronym,type,level,label_local,multiplicity,multiplicity_SME,mbie_nr,class_term,sequence,identifier,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v4/v4.3,1,,MA,C,0,統合仕入明細（検収）書,,,0,SME_ Consolidated Self Invoice,0,,,,,発注者が受注者に交付する統合仕入明細（検収）文書（メッセージ）,,,SME_ Consolidated Self Invoice,,,SMEConsolidatedSelfInvoice,SMEConsolidatedSelfInvoice,/SMEConsolidatedSelfInvoice
v1,2,UN01005479,ASMA,C,1,取引設定クラス,,,3448,CI_ Exchanged Document_ Context,0,,,,,メッセージの設定内容に関する情報からなるクラス,,,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",CI Document Context,SMEConsolidatedSelfInvoiceExchangedDocumentContextDetails,CIExchangedDocumentContext,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext
v1,3,UN01005480,BBIE,A,2,取引ID,0..1,0..1,3449,CI_ Exchanged Document_ Context,1,,Specified_ Transaction,Identifier,,メッセージがやり取りされる取引識別番号,,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,The identifier of a specified transaction in this CI exchanged document context.,Transaction ID,ExchangedDocumentContextTransactionID,SpecifiedTransactionID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SpecifiedTransactionID
v1/v2,4,UN01012746,BBIE,A,2,処理日時,0..1,0..1,3450,CI_ Exchanged Document_ Context,2,,Processing_ Transaction,Date Time,,メッセージがやり取りされる日時,,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",Transaction Processing Date Time,ExchangedDocumentContextTransactionDateTime,ProcessingTransactionDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ProcessingTransactionDateTime
v1,5,UN01005481,ASBIE,C,2,取引設定内容/取引プロセスグループ,0..n,1..1,3452,CI_ Exchanged Document_ Context,1,,Business Process_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引プロセスに関する情報,,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,A business process CI document context parameter specified for this CI exchanged document context.,Business Process,ExchangedDocumentContextBusinessProcessDocumentContextParameter,BusinessProcessSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter
v1,7,UN01005472,BBIE,A,3,取引プロセスID,0..1,0..1,3424,CI_ Document Context_ Parameter,1,,Identification,Identifier,,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedBusinessProcessDocumentContextParameterID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/ID
v1,8,UN01005473,BBIE,A,3,取引プロセス名,0..1,0..1,3425,CI_ Document Context_ Parameter,2,,Value,Text,,取引プロセスの名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedBusinessProcessDocumentContextParameterValueText,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/Value
v1,9,UN01005474,ASBIE,C,3,取引プロセス/バージョングループ,0..1,1..1,3426,CI_ Document Context_ Parameter,1,,Specified,,CI_ Document_ Version,取引プロセスのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedBusinessProcessDocumentContextParameterDocumentVersion,SpecifiedCIDocumentVersion,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion
v1,11,UN01005476,BBIE,A,4,バージョンID,0..1,0..1,3445,CI_ Document_ Version,1,,Identification,Identifier,,取引プロセスのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,BusinessProcessContextParameterDocumentVersionID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,12,UN01005478,BBIE,A,4,バージョン発行日,0..1,0..1,3447,CI_ Document_ Version,3,,Issue,Date Time,,取引プロセスのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,BusinessProcessContextParameterDocumentVersionIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
