seq,layer,UNID,kind,level,DEN
1,ヘッダ部,,MA,1,SME_ Core Self Invoice
2,ヘッダ部,UN01005479,ASMA,1,CI_ Exchanged Document_ Context. Details
3,ヘッダ部,UN01005480,BBIE,2,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier
4,ヘッダ部,UN01012746,BBIE,2,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time
5,ヘッダ部,UN01005481,ASBIE,2,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter
6,ヘッダ部,UN01005471,ABIE,3,CI_ Document Context_ Parameter. Details
7,ヘッダ部,UN01005472,BBIE,4,CI_ Document Context_ Parameter. Identification. Identifier
8,ヘッダ部,UN01005473,BBIE,4,CI_ Document Context_ Parameter. Value. Text
9,ヘッダ部,UN01005474,ASBIE,4,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version
10,ヘッダ部,UN01005475,ABIE,5,CI_ Document_ Version. Details
11,ヘッダ部,UN01005476,BBIE,6,CI_ Document_ Version. Identification. Identifier
12,ヘッダ部,UN01005478,BBIE,6,CI_ Document_ Version. Issue. Date Time
13,ヘッダ部,UN01005483,ASBIE,2,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter
14,ヘッダ部,UN01005471,ABIE,3,CI_ Document Context_ Parameter. Details
15,ヘッダ部,UN01005472,BBIE,4,CI_ Document Context_ Parameter. Identification. Identifier
16,ヘッダ部,UN01005473,BBIE,4,CI_ Document Context_ Parameter. Value. Text
17,ヘッダ部,UN01005484,ASBIE,2,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter
18,ヘッダ部,UN01005471,ABIE,3,CI_ Document Context_ Parameter. Details
19,ヘッダ部,UN01005472,BBIE,4,CI_ Document Context_ Parameter. Identification. Identifier
20,ヘッダ部,UN01005473,BBIE,4,CI_ Document Context_ Parameter. Value. Text
21,ヘッダ部,UN01005486,ASBIE,2,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter
22,ヘッダ部,UN01005471,ABIE,3,CI_ Document Context_ Parameter. Details
23,ヘッダ部,UN01005472,BBIE,4,CI_ Document Context_ Parameter. Identification. Identifier
24,ヘッダ部,UN01005473,BBIE,4,CI_ Document Context_ Parameter. Value. Text
25,ヘッダ部,UN01005474,ASBIE,4,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version
26,ヘッダ部,UN01005475,ABIE,5,CI_ Document_ Version. Details
27,ヘッダ部,UN01005476,BBIE,6,CI_ Document_ Version. Identification. Identifier
28,ヘッダ部,UN01005478,BBIE,6,CI_ Document_ Version. Issue. Date Time
29,ヘッダ部,UN01005861,ASMA,1,CIIH_ Exchanged_ Document. Details
30,ヘッダ部,UN01005862,BBIE,2,CIIH_ Exchanged_ Document. Identification. Identifier
31,ヘッダ部,UN01005863,BBIE,2,CIIH_ Exchanged_ Document. Name. Text
32,ヘッダ部,UN01005864,BBIE,2,CIIH_ Exchanged_ Document. Type. Code
33,ヘッダ部,UN01005865,BBIE,2,CIIH_ Exchanged_ Document. Issue. Date Time
34,ヘッダ部,UN01005869,BBIE,2,CIIH_ Exchanged_ Document. Purpose. Code
35,ヘッダ部,UN01005874,BBIE,2,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier
36,ヘッダ部,UN01014636,BBIE,2,CIIH_ Exchanged_ Document. Subtype. Code
37,ヘッダ部,UN01005876,ASBIE,2,CIIH_ Exchanged_ Document. Included. CI_ Note
38,ヘッダ部,UN01005557,ABIE,3,CI_ Note. Details
39,ヘッダ部,UN01005560,BBIE,4,CI_ Note. Content. Text
40,ヘッダ部,UN01012702,ASBIE,2,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document
41,ヘッダ部,UN01005579,ABIE,3,CI_ Referenced_ Document. Details
42,ヘッダ部,UN01005580,BBIE,4,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier
43,ヘッダ部,UN01005581,BBIE,4,CI_ Referenced_ Document. URI_ Identification. Identifier
44,ヘッダ部,UN01005582,BBIE,4,CI_ Referenced_ Document. Issue. Date Time
45,ヘッダ部,UN01009672,BBIE,4,CI_ Referenced_ Document. Type. Code
46,ヘッダ部,UN01014899,BBIE,4,CI_ Referenced_ Document. Subtype. Code
