sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,attribute,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AH,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,,,
1,ヘッダ部,,MA,SME_ Core Self Invoice,,,,,,,,,,,,,,コア仕入明細（検収）書,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）,－,,v4.3, ,,  ,,  ,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
2,ヘッダ部,UN01005479,ASMA,CI_ Exchanged Document_ Context. Details,,,,,,,,,,,,,,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,0..1,,v1,  ,,  ,,　,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
3,ヘッダ部,UN01005480,BBIE,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,,,,,,,,,,,,,取引ID,メッセージがやり取りされる取引識別番号,0..1,,v1,  ,,  ,, ,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
4,ヘッダ部,UN01012746,BBIE,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,,,,,,,,,,,,,処理日時,メッセージがやり取りされる日時,0..1,,v1/v2,,,,, ,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
5,ヘッダ部,UN01005481,ASBIE,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,1..1,,v1, ,, ,, ,,△,△,△,△,,☆,,IBG-02,PROCESS CONTROL,1..1,,,,,,,,,,,,,,,,,,,,
6,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引プロセス設定クラス,取引プロセスに関する情報のクラス, -,,v1, ,, ,, ,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
7,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",0..1,,v1,JECxxxx,,JEC,"ID値
固定入力",,,△,△,△,△,,☆,1,IBT-023,?  Business process type,1..1,,,,,,,,,,,,,,,,,,,,
8,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引プロセス名,取引プロセスの名称,0..1,,v1,,,,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
9,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,1..1,,v1,  ,,  ,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
10,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - ,,v1,  ,,  ,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
11,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,バージョンID,取引プロセスのバージョン識別番号,0..1,,v1, ,, ,"ID値
固定入力",,,△,△,△,△,,☆,1,IBT-024,?  Specification identifier,1..1,,,,,,,,,,,,,,,,,,,,
12,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,バージョン発行日,取引プロセスのバージョン発行日,0..1,,v1,,,,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
13,ヘッダ部,UN01005483,ASBIE,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,0..1,,v1,  ,,  ,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
14,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引シナリオ設定クラス,取引シナリオに関する情報のクラス, -,,v1,  ,,  ,,,,　　,　　,　　,　　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
15,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引シナリオID,取引シナリオの識別番号,0..1,,v1,  ,,     ,"ID値
固定入力",,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
16,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引シナリオ名,取引シナリオの名称,0..1,,v1,,,,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
17,ヘッダ部,UN01005484,ASBIE,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,0..1,,v1,  ,,  ,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
18,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,アプリケーション設定クラス,アプリケーションに関する情報のクラス, -,,v1,  ,,  ,,,,　,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
19,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,アプリケーションID,業務アプリケーションが実装する業界・業種識別番号,0..1,,v1,  ,,     ,"ID値
固定入力",,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
20,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,アプリケーション名,業務アプリケーションが実装する業界・業種名称,0..1,,v1,,,,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
21,ヘッダ部,UN01005486,ASBIE,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,1..1,,v1,  ,,  ,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
22,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス, -,,v1,  ,,  ,,,,　,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
23,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",0..1,,v1,JECxxxx,,JEC,"ID値
固定入力",,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
24,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,ドメイン名,SIPSが付与したメッセージドメイン名称,0..1,,v1,,,,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
25,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,ドメイン/バージョングループ,ドメインのバージョンに関する情報,0..1,,v1,  ,,  ,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
26,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - ,,v1,  ,,  ,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
27,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,バージョンID,ドメインのバージョン識別番号,0..1,,v1,  ,,     ,"ID値
固定入力",,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
28,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,バージョン発行日,ドメインのバージョン発行日,0..1,,v1,,,,,,,△,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
29,ヘッダ部,UN01005861,ASMA,CIIH_ Exchanged_ Document. Details,,,,,,,,,,,,,,インボイス文書クラス,インボイス文書に関する情報項目のクラス,1..1,,v1,  ,,  ,,,,○　  ,○　  ,○　  ,○　  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
30,ヘッダ部,UN01005862,BBIE,,CIIH_ Exchanged_ Document. Identification. Identifier,,,,,,,,,,,,,インボイス文書ID,インボイス文書を識別する文書ID,1..1,,v1/v3,  ,,     ,,,,○,○,○,○,※,☆,1,IBT-001,Invoice number,1..1,,,,,,,,,,,,,,,,,,,,
31,ヘッダ部,UN01005863,BBIE,,CIIH_ Exchanged_ Document. Name. Text,,,,,,,,,,,,,インボイス文書名,インボイス文書の文書名称,0..1,,v1,,,,,,,＊,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ヘッダ部,UN01005864,BBIE,,CIIH_ Exchanged_ Document. Type. Code,,,,,,,,,,,,,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",0..1,,v1,UNCL1001,,UN/CEFACT,"コード値
選択入力",,,●,●,●,●,※,☆,,IBT-003,Invoice type code,1..1,,,,,,,,,,,,,,,,,,,,
33,ヘッダ部,UN01005865,BBIE,,CIIH_ Exchanged_ Document. Issue. Date Time,,,,,,,,,,,,,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1..1,,v1/v3,,,,,,,○,○,○,○,※,☆,1,IBT-002,Invoice issue date,1..1,,,,,,,,,,,,,,,,,,,,
34,ヘッダ部,UN01005868,BBIE,,CIIH_ Exchanged_ Document. Language. Identifier,,,,,,,,,,,,,インボイス文書言語識別子,インボイス文書が使用する言語の識別子,0..1,,v4.3,,"言語コード
ISO639",ISO,"コード値
選択入力","デフォルト
＝JP",,●,●,●,●,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ヘッダ部,UN01005869,BBIE,,CIIH_ Exchanged_ Document. Purpose. Code,,,,,,,,,,,,,インボイス文書目的コード,インボイス文書の発行者がインボイス文書の目的（新規、変更、取消、打切り）を管理するために付番したコード,0..1,,v2,UNCL1225,,UN/CEFACT,"コード値
選択入力",,,▼,▼,▼,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
36,ヘッダ部,UN01005874,BBIE,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,,,,,,,,,,,,,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,0..1,,v4,  ,,  ,  ,,,▼,▼,▼,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
37,ヘッダ部,UN01005875,BBIE,,CIIH_ Exchanged_ Document. Category. Code,,,,,,,,,,,,,インボイス文書類型コード,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",0..1,,v4,JECxxxx,,JEC,"コード値
選択入力",,,●,●,●,●,,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
38,ヘッダ部,UN01014636,BBIE,,CIIH_ Exchanged_ Document. Subtype. Code,,,,,,,,,,,,,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",0..1,,v4,JECxxxx,,JEC,"コード値
選択入力",,,●,●,●,●,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
39,ヘッダ部,UN01005876,ASBIE,,CIIH_ Exchanged_ Document. Included. CI_ Note,,,,,,,,,,,,,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,0..n,,v1,  ,,  ,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
40,ヘッダ部,UN01005557,ABIE,,,CI_ Note. Details,,,,,,,,,,,,インボイス文書注釈クラス,インボイス文書の注釈を記述するためのクラス, -,,v1,  ,,  ,,,, , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
41,ヘッダ部,UN01005558,BBIE,,,,CI_ Note. Subject. Text,,,,,,,,,,,インボイス文書注釈表題,注釈内容の表題を示す。,0..1,,v1,,,,  ,,,＊,＊,＊,＊,,,,ｒ,  ,  ,,,,,,,,,,,,,,,,,,,,
42,ヘッダ部,UN01005560,BBIE,,,,CI_ Note. Content. Text,,,,,,,,,,,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,0..1,,v1,,,,,,,＊,＊,＊,＊,,★,,IBT-022,Invoice note,0..1,,,,,,,,,,,,,,,,,,,,
