version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,seq,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v4.3,1,0,C,,,MA,コア仕入明細（検収）書,－,0,SME_ Core Self Invoice,,,,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）,,,SME_ Core Self Invoice,,,SMECoreSelfInvoice,SMECoreSelfInvoice,/SMECoreSelfInvoice
v1,2,1,C,,UN01005479,ASMA,取引設定クラス,0..1,3447,CI_ Exchanged Document_ Context,,,,メッセージの設定内容に関する情報からなるクラス,,,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",CI Document Context,SMECoreSelfInvoiceExchangedDocumentContextDetails,CIExchangedDocumentContext,/SMECoreSelfInvoice/CIExchangedDocumentContext
v1,3,2,A,,UN01005480,BBIE,取引ID,0..1,3448,CI_ Exchanged Document_ Context,I,_,,メッセージがやり取りされる取引識別番号,,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,The identifier of a specified transaction in this CI exchanged document context.,Transaction ID,ExchangedDocumentContextTransactionID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I
v1/v2,4,2,A,,UN01012746,BBIE,処理日時,0..1,3449,CI_ Exchanged Document_ Context,I,_,,メッセージがやり取りされる日時,,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",Transaction Processing Date Time,ExchangedDocumentContextTransactionDateTime,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I
v1,5,2,C,,UN01005481,ASBIE,取引設定内容/取引プロセスグループ,1..1,3451,CI_ Exchanged Document_ Context,I,,_,取引設定内容の取引プロセスに関する情報,,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,A business process CI document context parameter specified for this CI exchanged document context.,Business Process,ExchangedDocumentContextBusinessProcessDocumentContextParameter,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I
v1,7,3,A,,UN01005472,BBIE,取引プロセスID,0..1,3423,CI_ Document Context_ Parameter,I,_,,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedIDocumentContextParameterID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,8,3,A,,UN01005473,BBIE,取引プロセス名,0..1,3424,CI_ Document Context_ Parameter,I,_,,取引プロセスの名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedIDocumentContextParameterValueText,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,9,3,C,,UN01005474,ASBIE,取引プロセス/バージョングループ,1..1,3425,CI_ Document Context_ Parameter,I,,_,取引プロセスのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedIDocumentContextParameterDocumentVersion,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,11,4,A,,UN01005476,BBIE,バージョンID,0..1,3444,CI_ Document_ Version,I,_,,取引プロセスのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,IDocumentVersionID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I
v1,12,4,A,,UN01005478,BBIE,バージョン発行日,0..1,3446,CI_ Document_ Version,I,_,,取引プロセスのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,IDocumentVersionIssueDateTime,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I
v1,13,2,C,,UN01005483,ASBIE,取引設定内容/取引シナリオグループ,0..1,3453,CI_ Exchanged Document_ Context,I,,_,取引設定内容の取引シナリオに関する情報,,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,A scenario CI document context parameter specified for this CI exchanged document context.,Scenario,ExchangedDocumentContextScenarioDocumentContextParameter,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I
v1,15,3,A,,UN01005472,BBIE,取引シナリオID,0..1,3423,CI_ Document Context_ Parameter,I,_,,取引シナリオの識別番号,,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedIDocumentContextParameterID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,16,3,A,,UN01005473,BBIE,取引シナリオ名,0..1,3424,CI_ Document Context_ Parameter,I,_,,取引シナリオの名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedIDocumentContextParameterValueText,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,17,2,C,,UN01005484,ASBIE,取引設定内容/アプリケーショングループ,0..1,3454,CI_ Exchanged Document_ Context,I,,_,取引設定内容のアプリケーションに関する情報,,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,An application CI document context parameter specified for this CI exchanged document context.,Application,ExchangedDocumentContextApplicationDocumentContextParameter,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I
v1,19,3,A,,UN01005472,BBIE,アプリケーションID,0..1,3423,CI_ Document Context_ Parameter,I,_,,業務アプリケーションが実装する業界・業種識別番号,,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedIDocumentContextParameterID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,20,3,A,,UN01005473,BBIE,アプリケーション名,0..1,3424,CI_ Document Context_ Parameter,I,_,,業務アプリケーションが実装する業界・業種名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedIDocumentContextParameterValueText,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,21,2,C,,UN01005486,ASBIE,取引設定内容/ドメイングループ,1..1,3456,CI_ Exchanged Document_ Context,I,,_,取引設定内容のドメインの情報に関する情報,,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,A subset CI document context parameter specified for this CI exchanged document context.,Subset,ExchangedDocumentContextSubsetDocumentContextParameter,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I
v1,23,3,A,,UN01005472,BBIE,ドメインID,0..1,3423,CI_ Document Context_ Parameter,I,_,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン=JPSSMED",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedIDocumentContextParameterID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,24,3,A,,UN01005473,BBIE,ドメイン名,0..1,3424,CI_ Document Context_ Parameter,I,_,,SIPSが付与したメッセージドメイン名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedIDocumentContextParameterValueText,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,25,3,C,,UN01005474,ASBIE,ドメイン/バージョングループ,0..1,3425,CI_ Document Context_ Parameter,I,,_,ドメインのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedIDocumentContextParameterDocumentVersion,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I
v1,27,4,A,,UN01005476,BBIE,バージョンID,0..1,3444,CI_ Document_ Version,I,_,,ドメインのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,IDocumentVersionID,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I
v1,28,4,A,,UN01005478,BBIE,バージョン発行日,0..1,3446,CI_ Document_ Version,I,_,,ドメインのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,IDocumentVersionIssueDateTime,I,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I
v1,29,1,C,,UN01005861,ASMA,インボイス文書クラス,1..1,2178,CIIH_ Exchanged_ Document,,,,インボイス文書に関する情報項目のクラス,,,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,SMECoreSelfInvoiceExchangedDocumentDetails,CIIHExchangedDocument,/SMECoreSelfInvoice/CIIHExchangedDocument
v1/v3,30,2,A,,UN01005862,BBIE,インボイス文書ID,1..1,2179,CIIH_ Exchanged_ Document,I,I,,インボイス文書を識別する文書ID,,,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,ID,ExchangedDocumentID,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v1,31,2,A,,UN01005863,BBIE,インボイス文書名,0..1,2180,CIIH_ Exchanged_ Document,I,I,,インボイス文書の文書名称,,,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",Name,ExchangedDocumentName,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v1,32,2,A,,UN01005864,BBIE,インボイス文書タイプコード,0..1,2181,CIIH_ Exchanged_ Document,I,I,,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",UNCL1001,,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,Type Code,ExchangedDocumentTypeCode,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v1/v3,33,2,A,,UN01005865,BBIE,インボイス文書発効日,1..1,2182,CIIH_ Exchanged_ Document,I,I,,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,,,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Issue Date Time,ExchangedDocumentIssueDateTime,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v4.3,34,2,A,,UN01005868,BBIE,インボイス文書言語ID,0..1,2185,CIIH_ Exchanged_ Document,I,I,,インボイス文書が使用する言語のID,"言語コード
ISO639",,CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,Language Code,ExchangedDocumentLanguageID,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v2,35,2,A,,UN01005869,BBIE,インボイス文書目的コード,0..1,2186,CIIH_ Exchanged_ Document,I,I,,インボイス文書の発行者がインボイス文書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UNCL1225,,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Purpose Code,ExchangedDocumentPurposeCode,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v4,36,2,A,,UN01005874,BBIE,インボイス文書履歴ID,0..1,2191,CIIH_ Exchanged_ Document,I,I,,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,Previous Revision ID,ExchangedDocumentPreviousRevisionID,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v4,37,2,A,,UN01005875,BBIE,インボイス文書類型コード,0..1,2192,CIIH_ Exchanged_ Document,I,I,,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",JECxxxx,,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,Category Code,ExchangedDocumentCategoryCode,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v4,38,2,A,,UN01014636,BBIE,インボイス文書サブタイプコード,0..1,2195,CIIH_ Exchanged_ Document,I,I,,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",JECxxxx,,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,Subtype Code,ExchangedDocumentSubtypeCode,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v1,39,2,C,,UN01005876,ASBIE,インボイス文書／注釈グループ,0..n,2197,CIIH_ Exchanged_ Document,I,,I,インボイス文書に含まれる注釈。,,,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,Note,ExchangedDocumentNote,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v1,41,3,A,,UN01005558,BBIE,インボイス文書注釈表題,0..1,3578,CI_ Note,I,_,,注釈内容の表題を示す。,,,CI_ Note. Subject. Text,"The subject, expressed as text, of this CI note.",Subject Text,ExchangedDocumentIINoteSubjectText,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v1,42,3,A,,UN01005560,BBIE,インボイス文書注釈内容,0..1,3580,CI_ Note,I,_,,注釈項目毎の内容情報を入力するフリースペース。,,,CI_ Note. Content. Text,"Content, expressed as text, of this CI note.",Content Text,ExchangedDocumentIINoteContentText,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v1,43,3,A,,UN01005562,BBIE,インボイス文書注釈ID,0..1,3582,CI_ Note,I,_,,注釈の識別ID,,,CI_ Note. Identification. Identifier,The unique identifier for this CI note.,ID,ExchangedDocumentIINoteID,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v4,44,2,C,,UN01012702,ASBIE,インボイス文書／参照文書グループ,0..n,2200,CIIH_ Exchanged_ Document,I,,I,インボイス文書が参照する文書のグループ,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ExchangedDocumentReferenceDocument,II,/SMECoreSelfInvoice/CIIHExchangedDocument/II
v4,46,3,A,,UN01005580,BBIE,（鑑ヘッダ参照）文書ID,1..1,3614,CI_ Referenced_ Document,I,_,,インボイス文書が参照する参照文書のID,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,The issuer assigned identifier for this CI referenced document.,Issuer Assigned ID,ExchangedIIReferencedDocumentIssuerAssignedID,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v4.2,47,3,A,,UN01005581,BBIE,（鑑ヘッダ参照）文書URL_ID,0..1,3615,CI_ Referenced_ Document,I,_,,インボイス文書が参照する文書が所在するURL_ID,,,CI_ Referenced_ Document. URI_ Identification. Identifier,The unique Uniform Resource Identifier (URI) for this CI referenced document.,URI,ExchangedIIReferencedDocumentURIID,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v4,48,3,A,,UN01005582,BBIE,（鑑ヘッダ参照）文書発行日,0..1,3616,CI_ Referenced_ Document,I,_,,インボイス文書が参照する参照文書の発行日,,,CI_ Referenced_ Document. Issue. Date Time,The date or date time for the issuance of this CI referenced document.,Issue Date Time,ExchangedIIReferencedDocumentIssueDateTime,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v4,49,3,A,,UN01009672,BBIE,（鑑ヘッダ参照）文書タイプコード,0..1,3627,CI_ Referenced_ Document,I,_,,インボイス文書が参照する参照文書の文書タイプを識別するコード,UNCL1001,,CI_ Referenced_ Document. Type. Code,The code specifying the type of CI referenced document.,Type Code,ExchangedIIReferencedDocumentTypeCode,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
v4,50,3,A,,UN01014899,BBIE,（鑑ヘッダ参照）文書サブタイプコード,0..1,3635,CI_ Referenced_ Document,I,_,,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,JECxxxx,,CI_ Referenced_ Document. Subtype. Code,A code specifying a subtype of this CI referenced document.,Subtype Code,ExchangedIIReferencedDocumentSubtypeCode,I,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I
