version,sequence,level,type,identifier,label_local,representation_term,multiplicity,code_list,attribute,definition_local,acronym,UNID,class_term,id,path,semantic_path,abbreviation_path,label,definition,name,element,xpath,
v4/v4.3,1,1,C,,コア仕入明細（検収）書,,0..*, ,,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）,MA,JP00000000,SME Core Self Invoice,JP00a,/JP00a,$.SME Core Self Invoice,SmeCorSelfInvc,SME Core Self Invoice,#N/A,SME Core Self Invoice,SMECoreSelfInvoice,/SMECoreSelfInvoice,1
v1,2,2,C,,取引設定クラス,,0..1,  ,,メッセージの設定内容に関する情報からなるクラス,ASMA,UN01005479,CI Exchanged Document Context,UN01a,/JP00a/UN01a,$.SME Core Self Invoice.CI Exchanged Document Context,SmeCorSelfInvc.CiExchndDocmntContxt,CI Exchanged Document Context,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",Context,CIExchangedDocumentContext,/SMECoreSelfInvoice/CIExchangedDocumentContext,2
v1,3,3,A,,取引ID,Identifier,0..1,  ,,メッセージがやり取りされる取引識別番号,BBIE,UN01005480,CI Exchanged Document Context,UN01a_1,/JP00a/UN01a_1,$.SME Core Self Invoice.CI Exchanged Document Context.Specified Transaction,SmeCorSelfInvc.CiExchndDocmntContxt.SpecfdTransctn,Specified Transaction ID,The identifier of a specified transaction in this CI exchanged document context.,Specified Transaction,SpecifiedTransactionID,/SMECoreSelfInvoice/CIExchangedDocumentContext/SpecifiedTransactionID,2
v1/v2,4,3,A,,処理日時,Date Time,0..1,日時様式ISO8601,,メッセージがやり取りされる日時,BBIE,UN01012746,CI Exchanged Document Context,UN01a_2,/JP00a/UN01a_2,$.SME Core Self Invoice.CI Exchanged Document Context.Processing Transaction,SmeCorSelfInvc.CiExchndDocmntContxt.ProcssngTransctn,Processing Transaction Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",Processing Transaction,ProcessingTransactionDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/ProcessingTransactionDateTime,2
v1,5,3,C,,取引設定内容/取引プロセスグループ,,1..1,  ,,取引設定内容の取引プロセスに関する情報,ABIE,UN01005471,Business Process Specified CI Document Context Parameter,UN01a_UN02a,/JP00a/UN01a_UN02a,$.SME Core Self Invoice.CI Exchanged Document Context.Business Process Specified CI Document Context Parameter,SmeCorSelfInvc.CiExchndDocmntContxt.BusnssProcssSpecfdCiDocmntContxtParmtr,Business Process Specified CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,Business ProcessParameter,BusinessProcessSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter,2
v1,6,4,A,,ドメインID,Identifier,0..1,JECxxxx,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",BBIE,UN01005472,Business Process Specified CI Document Context Parameter,UN01a_UN02a_1,/JP00a/UN01a_UN02a_1,$.SME Core Self Invoice.CI Exchanged Document Context.Business Process Specified CI Document Context Parameter.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.BusnssProcssSpecfdCiDocmntContxtParmtr.Idntfn,ID,The unique identifier of this CI document context parameter.,Business Process Parameter ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/ID,2
v1,7,4,A,,ドメイン名,Text,0..1,,ISO639言語コード,SIPSが付与したメッセージドメイン名称,BBIE,UN01005473,Business Process Specified CI Document Context Parameter,UN01a_UN02a_2,/JP00a/UN01a_UN02a_2,$.SME Core Self Invoice.CI Exchanged Document Context.Business Process Specified CI Document Context Parameter.Value,SmeCorSelfInvc.CiExchndDocmntContxt.BusnssProcssSpecfdCiDocmntContxtParmtr.Val,Value ,"The value, expressed as text, of this CI document context parameter.",Business Process Parameter Value Text,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/Value,2
v1,8,4,C,,取引プロセス/バージョングループ,,1..1,  ,,取引プロセスのバージョンに関する情報,ABIE,UN01005475,Specified CI Document Version,UN01a_UN02a_UN03a,/JP00a/UN01a_UN02a_UN03a,$.SME Core Self Invoice.CI Exchanged Document Context.Business Process Specified CI Document Context Parameter.Specified CI Document Version,SmeCorSelfInvc.CiExchndDocmntContxt.BusnssProcssSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn,Specified CI Document Version,A specific variant of a Cross Industry (CI) document.,Business ProcessParameter Version,SpecifiedCIDocumentVersion,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion,2
v1,9,5,A,,バージョンID,Identifier,0..1,  ,,ドメインのバージョン識別番号,BBIE,UN01005476,Specified CI Document Version,UN01a_UN02a_UN03a_1,/JP00a/UN01a_UN02a_UN03a_1,$.SME Core Self Invoice.CI Exchanged Document Context.Business Process Specified CI Document Context Parameter.Specified CI Document Version.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.BusnssProcssSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Idntfn,ID,The unique identifier for this CI document version.,Business ProcessParameter Version. ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID,2
v1,10,5,A,,バージョン発行日,Date Time,0..1,日時様式 ISO8601,,ドメインのバージョン発行日,BBIE,UN01005478,Specified CI Document Version,UN01a_UN02a_UN03a_2,/JP00a/UN01a_UN02a_UN03a_2,$.SME Core Self Invoice.CI Exchanged Document Context.Business Process Specified CI Document Context Parameter.Specified CI Document Version.Issue,SmeCorSelfInvc.CiExchndDocmntContxt.BusnssProcssSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Iss,Issue Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Business ProcessParameter Version Issue Date Time,IssueDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime,2
