ADD/CHG/DEP/WDR,Unique UN Assigned ID, ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC,"Dictionary Entry Name
(auto generated)","Definition
Mandatory",Working comments and instructions,Publication comments,Object Class Term Qualifier(s),Object Class Term,Property Term Qualifier(s),Property Term,Datatype Qualifier(s),Representation Term,Qualified Data Type UID,Associated Object Class Term Qualifier(s),Associated Object Class,Business Term(s),Usage Rule(s),Sequence Number,Occurrence Min,Occurrence Max,"Context Categories
Mandatory for BIE's",,,,,,,,,,,,,,,,,,,,,,,,"Facets
To restrict the set of values of Content Component or Supplementary Components",,,,,,,,,,,,,,,Example(s),BIE/CC/DT Version,Ref Library Version,Submitter,Ref Component UN ID,Ref CR ID,Unique submitter ID,CR Status Date,CR Status,TBG17 Comment,TDED,Submitted Definition,Submitter Comment,Submitted DEN,Submission Row Number,Unique CC/BIE ID,CR Storage Date,Publication Refs -- Source
,TBG17 Only,"START HERE
Press Enter","Keep the rows together
Adjust selected rows with Ctrl-a","Enable macro's with Ctrl-e
Disable macro's with Ctrl-d",Optional,Optional,Optional for BIE,Mandatory,"Optional for 
BBIE, ASBIE","Mandatory for 
BBIE, ASBIE, BCC, ASCC","Optional for BBIE
Each separated by an 
underscore and a space",Mandatory for BBIE and BCC,,Optional for ASBIE,Mandatory for ASBIE and ASCC,Optional,Optional,"Mandatory for BBIE, ASBIE, BCC, ASCC, SC","Mandatory for 
BBIE, ASBIE, BCC, ASCC",,"Business Process
Value                     Meaning           Class. Scheme",,,"Product
Value                     Meaning           Class. Scheme",,,"Industry
Value                     Meaning           Class. Scheme",,,"Region (Geopolitical)
Value                     Meaning           Class. Scheme",,,"Official Constraints
Value                     Meaning           Class. Scheme",,,"Role
Value                     Meaning           Class. Scheme",,,"Supporting Role
Value                     Meaning           Class. Scheme",,,"System Constraints
Value                     Meaning           Class. Scheme",,,Expression,Length,Min length,Max length,Enumeration,Total Digits,Fractional Digits,Min Inclusive,Max Inclusive,Min Exclusive,Max Exclusive,Expression Type,Restriction Value, White Space,,Optional,See note,Mandatory for submitter,Mandatory,"Mandatory for CHG, WDR, DEP",Mandatory for Withdrawal,Mandatory,,,,Optional,,,,,,,
,,DT,,Complex Data Type containing Supplemental Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,,Content Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,,Supplemental Component contained within the Data Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000001,DT,Amount. Type,,,,,,,,,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Amount. Content,A number of monetary units specified in a currency where the unit of currency is explicit or implied.,,,0,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Amount. Currency. Identifier,The currency of the amount.,,,0,Amount,,Currency,,Identifier,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Amount. Currency Code List Version. Identifier,The version of the UN/ECE rec. 9 code list.,,,0,Amount,,Currency Code List Version,,Identifier,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000002,DT,Binary Object. Type,,,,,,,,,Binary Object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Binary Object. Content,A set of finite-length sequences of binary octets.,,,0,Binary Object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
