version,sme_nr,mbie_nr,level,property_type,class_term,sequence,identifier,property_term,multiplicity,multiplicity_SME,representation_term,code_list,attribute,associated_class,label_local,definition_local,UNID,acronym,DEN,definition,short_name,name,element,xpath
v1,298,1799,1,Class,Branch_ Financial Institution,0,,,,,,,,,金融機関支店クラス,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,UN01003138,ABIE,Branch_ Financial Institution. Details,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.",Branch Financial Institution,PaymentMeansPayeeCreditorBranchFinancialInstitutionDetails,BranchFinancialInstitution,
v1,299,1800,2,Attribute,Branch_ Financial Institution,1,,Identification,0..1,0..1,Identifier,,,,金融機関支店番号,金融機関のこの支店の一意ID,UN01003139,BBIE,Branch_ Financial Institution. Identification. Identifier,The unique identifier for this branch of a financial institution.,ID,PaymentMeansPayeeCreditorSub-DivisionBranchFinancialInstitutionID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution/ID
v1,300,1801,2,Attribute,Branch_ Financial Institution,2,,Name,0..1,0..1,Text,,,,金融機関支店名,金融機関のこの支店の、文字で表現された名前,UN01003140,BBIE,Branch_ Financial Institution. Name. Text,"The name, expressed as text, for this branch of a financial institution.",Name,PaymentMeansPayeeCreditorSub-DivisionBranchFinancialInstitutionName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution/Name
,,1802,,Composition,Branch_ Financial Institution,1,,Location,0..1,0..0,,,,Financial Institution_ Address,,,UN01003141,ASBIE,Branch_ Financial Institution. Location. Financial Institution_ Address,The location address for this branch of a financial institution.,Address,,LocationAddress,
v1,29,2179,1,Class,CIIH_ Exchanged_ Document,0,,,,,,,,,インボイス文書クラス,インボイス文書に関する情報項目のクラス,UN01005861,ASMA,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,SMEConsolidatedSelfInvoiceExchangedDocumentDetails,CIIHExchangedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument
v1/v3,30,2180,2,Attribute,CIIH_ Exchanged_ Document,1,PK,Identification,1..1,1..1,Identifier,,,,インボイス文書ID,インボイス文書を識別する文書ID,UN01005862,BBIE,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,ID,ExchangedDocumentID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ID
v1,31,2181,2,Attribute,CIIH_ Exchanged_ Document,2,,Name,0..n,0..1,Text,,,,インボイス文書名,インボイス文書の文書名称,UN01005863,BBIE,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",Name,ExchangedDocumentName,Name,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/Name
v1,32,2182,2,Attribute,CIIH_ Exchanged_ Document,3,,Type,0..1,0..1,Code,UNCL1001,,,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",UN01005864,BBIE,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,Type Code,ExchangedDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/TypeCode
v1/v3,33,2183,2,Attribute,CIIH_ Exchanged_ Document,4,,Issue,1..1,1..1,Date Time,日時様式 ISO8601,,,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,UN01005865,BBIE,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Issue Date Time,ExchangedDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IssueDateTime
,,2184,,Attribute,CIIH_ Exchanged_ Document,5,,Copy,0..1,0..0,Indicator,UNCL4366,,,,,UN01005866,BBIE,CIIH_ Exchanged_ Document. Copy. Indicator,The indication of whether or not this CIIH exchanged document is a copy.,Copy Indicator,,CopyIndicator,
,,2185,,Attribute,CIIH_ Exchanged_ Document,6,,Purpose,0..1,0..0,Text,UNCL1160,,,,,UN01005867,BBIE,CIIH_ Exchanged_ Document. Purpose. Text,"The purpose, expressed as text, of this CIIH exchanged document.",Purpose Text,,PurposeText,
v4.3,34,2186,2,Attribute,CIIH_ Exchanged_ Document,7,,Language,0..n,0..1,Identifier,"言語コード
ISO639",,,インボイス文書言語ID,インボイス文書が使用する言語のID,UN01005868,BBIE,CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,Language Code,ExchangedDocumentLanguageID,LanguageID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/LanguageID
v2,35,2187,2,Attribute,CIIH_ Exchanged_ Document,8,,Purpose,0..1,0..1,Code,UNCL1225,,,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UN01005869,BBIE,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Purpose Code,ExchangedDocumentPurposeCode,PurposeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PurposeCode
,,2188,,Attribute,CIIH_ Exchanged_ Document,9,,Revision,0..1,0..0,Date Time,,,,,,UN01005870,BBIE,CIIH_ Exchanged_ Document. Revision. Date Time,"The date, time, date time or other date time value for the revision of this CIIH exchanged document.",Revision Date Time,,RevisionDateTime,
,,2189,,Attribute,CIIH_ Exchanged_ Document,10,,Version_ Identification,0..1,0..0,Identifier,UNCL1004,,,,,UN01005871,BBIE,CIIH_ Exchanged_ Document. Version_ Identification. Identifier,The unique identifier for the version of this CIIH exchanged document.,Version ID,,VersionID,
,,2190,,Attribute,CIIH_ Exchanged_ Document,11,,Global_ Identification,0..1,0..0,Identifier,UNCL1004,,,,,UN01005872,BBIE,CIIH_ Exchanged_ Document. Global_ Identification. Identifier,The unique global identifier for this CIIH exchanged document.,Global ID,,GlobalID,
,,2191,,Attribute,CIIH_ Exchanged_ Document,12,,Revision_ Identification,0..1,0..0,Identifier,UNCL1004,,,,,UN01005873,BBIE,CIIH_ Exchanged_ Document. Revision_ Identification. Identifier,The unique identifier of the revision of this CIIH exchanged document.,Revision ID,,RevisionID,
v4,36,2192,2,Attribute,CIIH_ Exchanged_ Document,13,,Previous Revision_ Identification,0..1,0..1,Identifier,,,,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,UN01005874,BBIE,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,Previous Revision ID,ExchangedDocumentPreviousRevisionID,PreviousRevisionID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PreviousRevisionID
v4,37,2193,2,Attribute,CIIH_ Exchanged_ Document,14,,Category,0..1,0..1,Code,JECxxxx,,,インボイス文書類型コード,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",UN01005875,BBIE,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,Category Code,ExchangedDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/CategoryCode
,,2194,,Attribute,CIIH_ Exchanged_ Document,15,,Control Requirement,0..1,0..0,Indicator,,,,,,UN01006038,BBIE,CIIH_ Exchanged_ Document. Control Requirement. Indicator,The indication of whether or not there is a control requirement for this CIIH exchanged document.,Control Requirement Indicator,,ControlRequirementIndicator,
,,2195,,Attribute,CIIH_ Exchanged_ Document,16,,Response Reason,0..1,0..0,Code,,,,,,UN01014635,BBIE,CIIH_ Exchanged_ Document. Response Reason. Code,The code specifying the response reason of this CIIH exchanged document.,Response Reason Code,,ResponseReasonCode,
v4,38,2196,2,Attribute,CIIH_ Exchanged_ Document,17,,Subtype,0..1,0..1,Code,JECxxxx,,,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",UN01014636,BBIE,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,Subtype Code,ExchangedDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/SubtypeCode
