Version,UNID,Acronym,Dictionary Entry Name,ObjectClassQualifierTerm,ObjectClassTerm,Cardinality,PropertyTerm,PrimaryRepresentationTerm,XML datatype,AssociatedObjectClassQualifierTerm,AssociatedObjectClassTerm,XML element name,Definition
1.0,UN01007721,BBIE,AAA_ Accounting Account Dimension. Ranking. Numeric,AAA,Accounting Account Dimension,1,Ranking,Numeric,udt:NumericType,,,RankingNumeric,"The ranking number for this dimension, such as three, in this AAA accounting account."
1.0,UN01007722,BBIE,AAA_ Accounting Account Dimension. Identification. Identifier,AAA,Accounting Account Dimension,1,Identification,Identifier,udt:IDType,,,ID,The unique identifier for this AAA accounting account dimension.
1.0,UN01007723,BBIE,AAA_ Accounting Account Dimension. Name. Text,AAA,Accounting Account Dimension,0..1,Name,Text,udt:TextType,,,Name,"The name, expressed as text, for this AAA accounting account dimension."
1.0,UN01007724,BBIE,AAA_ Accounting Account Dimension. Field Length. Numeric,AAA,Accounting Account Dimension,1,Field Length,Numeric,udt:NumericType,,,FieldLengthNumeric,"The length, expressed in a number of characters, of the field for this AAA accounting account dimension."
1.0,UN01007741,BBIE,AAA_ Address. Identification. Identifier,AAA,Address,0..1,Identification,Identifier,udt:IDType,,,ID,The unique identifier for this AAA address.
1.0,UN01007742,BBIE,AAA_ Address. Postcode. Code,AAA,Address,0..1,Postcode,Code,udt:CodeType,,,PostcodeCode,The code specifying the postcode in this AAA address.
1.0,UN01007743,BBIE,AAA_ Address. Line One. Text,AAA,Address,0..1,Line One,Text,udt:TextType,,,LineOne,"The first free form line, expressed as text, of this AAA address."
1.0,UN01007744,BBIE,AAA_ Address. Line Two. Text,AAA,Address,0..1,Line Two,Text,udt:TextType,,,LineTwo,"The second free form line, expressed as text, of this AAA address."
1.0,UN01007745,BBIE,AAA_ Address. Line Three. Text,AAA,Address,0..1,Line Three,Text,udt:TextType,,,LineThree,"The third free form line, expressed as text, of this AAA address."
1.0,UN01007746,BBIE,AAA_ Address. City Name. Text,AAA,Address,0..1,City Name,Text,udt:TextType,,,CityName,"The name, expressed as text, of the city, town or village in this AAA address."
1.0,UN01007747,BBIE,AAA_ Address. Country. Identifier,AAA,Address,0..1,Country,Identifier,udt:IDType,,,CountryID,The unique identifier of a country in this AAA address.
1.0,UN01007748,BBIE,AAA_ Address. City Sub-Division Name. Text,AAA,Address,0..1,City Sub-Division Name,Text,udt:TextType,,,CitySubDivisionName,"The name, expressed as text, of the sub-division of a city for this AAA address."
1.0,UN01007749,BBIE,AAA_ Address. Country Name. Text,AAA,Address,0..1,Country Name,Text,udt:TextType,,,CountryName,"The name, expressed as text, of the country in this AAA address."
1.0,UN01007750,BBIE,AAA_ Address. Country Sub-Division Name. Text,AAA,Address,0..1,Country Sub-Division Name,Text,udt:TextType,,,CountrySubDivisionName,"The name, expressed as text, of the sub-division of the country for this AAA address."
1.0,UN01007751,BBIE,AAA_ Address. Format. Code,AAA,Address,0..1,Format,Code,qdt:AddressFormatTypeCodeType,,,FormatCode,"The code specifying the format of this AAA address, such as a fiscal address format, postal address format."
1.0,UN01007752,BBIE,AAA_ Address. Post Office Box. Text,AAA,Address,0..1,Post Office Box,Text,udt:TextType,,,PostOfficeBox,"The post office box, expressed as text, of this AAA address."
1.0,UN01007753,BBIE,AAA_ Address. Operation Centre. Text,AAA,Address,0..1,Operation Centre,Text,udt:TextType,,,OperationCentre,"The operation centre, expressed as text, of this AAA address, such as Cedex in France."
1.0,UN01009070,BBIE,AAA Archive_ Archive Parameter. Input. Date Time,AAA Archive,Archive Parameter,0..1,Input,Date Time,udt:DateTimeType,,,InputDateTime,"The date, time, date time, or other date time value of the input of this AAA archive parameter."
1.0,UN01009071,BBIE,AAA Archive_ Archive Parameter. Scheduled Destruction. Date Time,AAA Archive,Archive Parameter,0..1,Scheduled Destruction,Date Time,udt:DateTimeType,,,ScheduledDestructionDateTime,"The scheduled destruction date, time, date time, or other date time value for this AAA archive parameter."
1.0,UN01009072,BBIE,AAA Archive_ Archive Parameter. Prescription. Date Time,AAA Archive,Archive Parameter,0..1,Prescription,Date Time,udt:DateTimeType,,,PrescriptionDateTime,"The prescription date, time, date time, or other date time value for this AAA archive parameter."
1.0,UN01009073,BBIE,AAA Archive_ Archive Parameter. Destruction Authorization Level. Identifier,AAA Archive,Archive Parameter,0..1,Destruction Authorization Level,Identifier,udt:IDType,,,DestructionAuthorizationLevelID,The identifier of the authorization level for the destruction for this AAA archive parameter.
1.0,UN01009074,ASBIE,AAA Archive_ Archive Parameter. Input Responsible. AAA Archive_ Party,AAA Archive,Archive Parameter,0..1,Input Responsible,,ram:AAAArchivePartyType,AAA Archive,Party,InputResponsibleAAAArchiveParty,The party responsible for the input of this AAA archive parameter.
1.0,UN01009075,ASBIE,AAA Archive_ Archive Parameter. Destruction Responsible. AAA Archive_ Party,AAA Archive,Archive Parameter,0..1,Destruction Responsible,,ram:AAAArchivePartyType,AAA Archive,Party,DestructionResponsibleAAAArchiveParty,The party responsible for the destruction of this AAA archive parameter.
1.0,UN01009076,ASBIE,AAA Archive_ Archive Parameter. Trusted Third Party. AAA Archive_ Authentication,AAA Archive,Archive Parameter,0..1,Trusted Third Party,,ram:AAAArchiveAuthenticationType,AAA Archive,Authentication,TrustedThirdPartyAAAArchiveAuthentication,The authentication of the trusted third party for this AAA archive parameter.
1.0,UN01009077,ASBIE,AAA Archive_ Archive Parameter. Agent. AAA Archive_ Authentication,AAA Archive,Archive Parameter,0..1,Agent,,ram:AAAArchiveAuthenticationType,AAA Archive,Authentication,AgentAAAArchiveAuthentication,The authentication of the agent for this AAA archive parameter.
1.0,UN01009159,BBIE,AAA Archive_ Authentication. Actual. Date Time,AAA Archive,Authentication,0..1,Actual,Date Time,udt:DateTimeType,,,ActualDateTime,"The actual date, time, date time, or other date time value of this AAA archive authentication."
1.0,UN01009160,BBIE,AAA Archive_ Authentication. Identification. Identifier,AAA Archive,Authentication,0..1,Identification,Identifier,udt:IDType,,,ID,The identifier for this AAA archive authentication.
1.0,UN01009161,BBIE,AAA Archive_ Authentication. Statement. Text,AAA Archive,Authentication,0..1,Statement,Text,udt:TextType,,,Statement,"The statement, expressed as text, for this AAA archive authentication."
1.0,UN01009162,BBIE,AAA Archive_ Authentication. Information. Text,AAA Archive,Authentication,0..1,Information,Text,udt:TextType,,,Information,"Information, expressed as text, for this AAA archive authentication."
1.0,UN01009163,BBIE,AAA Archive_ Authentication. Signatory. Text,AAA Archive,Authentication,0..n,Signatory,Text,udt:TextType,,,Signatory,"A signatory, expressed as text, for this AAA archive authentication."
1.0,UN01009178,BBIE,AAA Archive_ Binary File. Identification. Identifier,AAA Archive,Binary File,0..1,Identification,Identifier,udt:IDType,,,ID,The identifier for this AAA archive binary file.
1.0,UN01009179,BBIE,AAA Archive_ Binary File. Title. Text,AAA Archive,Binary File,0..1,Title,Text,udt:TextType,,,Title,"The title, expressed as text, for this AAA archive binary file."
1.0,UN01009180,BBIE,AAA Archive_ Binary File. Author Name. Text,AAA Archive,Binary File,0..1,Author Name,Text,udt:TextType,,,AuthorName,"The author name, expressed as text, of this AAA archive binary file."
1.0,UN01009181,BBIE,AAA Archive_ Binary File. Version. Identifier,AAA Archive,Binary File,0..1,Version,Identifier,udt:IDType,,,VersionID,The version identifier for this AAA archive binary file.
1.0,UN01009182,BBIE,AAA Archive_ Binary File. File Name. Text,AAA Archive,Binary File,0..1,File Name,Text,udt:TextType,,,FileName,"The file name, expressed as text, of this AAA archive binary file."
1.0,UN01009183,BBIE,AAA Archive_ Binary File. Included. Binary Object,AAA Archive,Binary File,0..1,Included,Binary Object,udt:BinaryObjectType,,,IncludedBinaryObject,The included binary object for this AAA archive binary file.
1.0,UN01009184,BBIE,AAA Archive_ Binary File. Access. Text,AAA Archive,Binary File,0..1,Access,Text,udt:TextType,,,Access,"The access information, expressed as text, for this AAA archive binary file, such as security and download parameters."
1.0,UN01009185,BBIE,AAA Archive_ Binary File. Description. Text,AAA Archive,Binary File,0..1,Description,Text,udt:TextType,,,Description,The textual description of this AAA archive binary file.
1.0,UN01009186,BBIE,AAA Archive_ Binary File. Size. Measure,AAA Archive,Binary File,0..1,Size,Measure,udt:MeasureType,,,SizeMeasure,The measure of the size of this AAA archive binary file.
1.0,UN01009187,ASBIE,AAA Archive_ Binary File. Access Availability. AAA_ Period,AAA Archive,Binary File,0..n,Access Availability,,ram:AAAPeriodType,AAA,Period,AccessAvailabilityAAAPeriod,An access availability period to this AAA archive binary file.
1.0,UN01009079,BBIE,AAA Archive_ Bundle Collection. Identification. Identifier,AAA Archive,Bundle Collection,0..1,Identification,Identifier,udt:IDType,,,ID,The identifier for this AAA archive bundle collection.
1.0,UN01009080,BBIE,AAA Archive_ Bundle Collection. Comment. Text,AAA Archive,Bundle Collection,0..1,Comment,Text,udt:TextType,,,Comment,"The comment, expressed as text, for this AAA archive bundle collection."
1.0,UN01009081,BBIE,AAA Archive_ Bundle Collection. Agent Assigned Archive. Identifier,AAA Archive,Bundle Collection,0..1,Agent Assigned Archive,Identifier,udt:IDType,,,AgentAssignedArchiveID,The AAA archive identifier assigned by the agent for this bundle collection.
1.0,UN01009082,BBIE,AAA Archive_ Bundle Collection. Agent Archive Delivery. Date Time,AAA Archive,Bundle Collection,0..1,Agent Archive Delivery,Date Time,udt:DateTimeType,,,AgentArchiveDeliveryDateTime,"The date, time, date time, or other date time value of the delivery of the AAA archive by the agent for this bundle collection."
1.0,UN01009083,BBIE,AAA Archive_ Bundle Collection. Owner Assigned Archive. Identifier,AAA Archive,Bundle Collection,0..1,Owner Assigned Archive,Identifier,udt:IDType,,,OwnerAssignedArchiveID,The AAA archive identifier assigned by the owner for this bundle collection.
