Nr,UNID,Acronym,DEN,Definition,Publication comments,Object Class Term Qualifier(s),Object Class Term,Property Term Qualifier(s),Property Term,Datatype Qualifier(s),Representation Term,Qualified Data Type UID,Associated Object Class Term Qualifier(s),Associated Object Class,Business Term(s),Usage Rule(s),Sequence Number,Occurrence Min,Occurrence Max,Context Categories,Example(s),Version,Ref Library Version,Submitter Name,Ref Component UN ID,Unique submitter ID,CR Status Date,CR Status,Library Maintenance Comment,TDED,Submitted Definition,Submitter Comment,Submitted DEN,Publication Refs -- Source,Short Name
1,UN01009069,ABIE,AAA Archive_ Archive Parameter. Details,The set of parameters linked with this AAA (Accounting And Audit) archive.,,AAA Archive,Archive Parameter,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Parameter
2,UN01009070,BBIE,AAA Archive_ Archive Parameter. Input. Date Time,"The date, time, date time, or other date time value of the input of this AAA archive parameter.",,AAA Archive,Archive Parameter,,Input,,Date Time,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Input Date Time
3,UN01009071,BBIE,AAA Archive_ Archive Parameter. Scheduled Destruction. Date Time,"The scheduled destruction date, time, date time, or other date time value for this AAA archive parameter.",,AAA Archive,Archive Parameter,,Scheduled Destruction,,Date Time,,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Scheduled Destruction Date Time
4,UN01009072,BBIE,AAA Archive_ Archive Parameter. Prescription. Date Time,"The prescription date, time, date time, or other date time value for this AAA archive parameter.",,AAA Archive,Archive Parameter,,Prescription,,Date Time,,,,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Prescription Date Time
5,UN01009073,BBIE,AAA Archive_ Archive Parameter. Destruction Authorization Level. Identifier,The identifier of the authorization level for the destruction for this AAA archive parameter.,,AAA Archive,Archive Parameter,,Destruction Authorization Level,,Identifier,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Destruction Authorization Level ID
6,UN01009074,ASBIE,AAA Archive_ Archive Parameter. Input Responsible. AAA Archive_ Party,The party responsible for the input of this AAA archive parameter.,,AAA Archive,Archive Parameter,,Input Responsible,,,,AAA Archive,Party,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Input Responsible Party
7,UN01009075,ASBIE,AAA Archive_ Archive Parameter. Destruction Responsible. AAA Archive_ Party,The party responsible for the destruction of this AAA archive parameter.,,AAA Archive,Archive Parameter,,Destruction Responsible,,,,AAA Archive,Party,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Destruction Responsible Party
8,UN01009076,ASBIE,AAA Archive_ Archive Parameter. Trusted Third Party. AAA Archive_ Authentication,The authentication of the trusted third party for this AAA archive parameter.,,AAA Archive,Archive Parameter,,Trusted Third Party,,,,AAA Archive,Authentication,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Trusted Third Party Authentication
9,UN01009077,ASBIE,AAA Archive_ Archive Parameter. Agent. AAA Archive_ Authentication,The authentication of the agent for this AAA archive parameter.,,AAA Archive,Archive Parameter,,Agent,,,,AAA Archive,Authentication,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Agent Authentication
10,UN01009158,ABIE,AAA Archive_ Authentication. Details,An AAA (Accounting And Audit) proof that something in an archive is genuine.,,AAA Archive,Authentication,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Authentication
