code,qname,name,description
1,uncl_4465:_1,Agreed settlement,An adjustment made based on an agreement between partners.
2,uncl_4465:_2,Below specification goods,Goods of inferior quality.
3,uncl_4465:_3,Damaged goods,An adjustment due to the damage of goods.
4,uncl_4465:_4,Short delivery,An adjustment made because the delivered quantity was less than expected.
5,uncl_4465:_5,Price query,An adjustment due to a price query.
6,uncl_4465:_6,Proof of delivery required,The buyer requires that proof of delivery be made before payment.
7,uncl_4465:_7,Payment on account,Buyer is to make payment later.
8,uncl_4465:_8,Returnable container charge included,Adjustment made to deduct the returnable container charge.
9,uncl_4465:_9,Invoice error,Invoice not in accordance with the order.
10,uncl_4465:_10,Costs for draft,Cost of draft has been deducted from payment.
11,uncl_4465:_11,Bank charges,Bank charges have been deducted from payment.
12,uncl_4465:_12,Agent commission,Agent commission has been deducted from payment.
13,uncl_4465:_13,Counter claim,Buyer claims an existing (financial) obligation from seller which (partly) offsets the outstanding invoice(s).
14,uncl_4465:_14,Wrong delivery,Delivery not according to specifications.
15,uncl_4465:_15,Goods returned to agent,Goods returned to agent.
16,uncl_4465:_16,Goods partly returned,Goods partly returned.
17,uncl_4465:_17,Transport damage,Goods damaged in transit.
18,uncl_4465:_18,Goods on consignment,Buyer does not accept invoice(s) charge as it relates to goods where the ownership remains with the seller until sold.
19,uncl_4465:_19,Trade discount,Trade discount deducted from payment.
20,uncl_4465:_20,Deduction for late delivery,Penalty amount deducted for later delivery.
21,uncl_4465:_21,Advertising costs,Advertising costs deducted from payment.
22,uncl_4465:_22,Customs duties,Customs duties deducted from payment.
23,uncl_4465:_23,Telephone and postal costs,Telephone and postal costs deducted from payment.
24,uncl_4465:_24,Repair costs,Repair costs deducted from payment.
25,uncl_4465:_25,Attorney fees,Attorney fees deducted from payment.
26,uncl_4465:_26,Taxes,Taxes deducted from payment.
27,uncl_4465:_27,Reclaimed deduction,Buyer reclaims an unspecified deduction from the invoice(s) (to be) paid.
28,uncl_4465:_28,See separate advice,Buyer or seller refers to separate correspondence about a related shipment(s) and/or invoice(s) and/or a payment(s).
29,uncl_4465:_29,Buyer refused to take delivery,Buyer refused to take delivery.
30,uncl_4465:_30,Direct payment to seller,Buyer states to have paid to seller.
31,uncl_4465:_31,Buyer disagrees with due date,Buyer disagrees with due date.
32,uncl_4465:_32,Goods not delivered,Buyer has not received the goods.
